NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD247	NNN	845	0.8029236197471619	0.004172256	Yes	
row_1	FAS	NNN	1140	0.7386080026626587	0.016253063	Yes	
row_2	APBB1	NNN	1581	0.6809338331222534	0.024509037	Yes	
row_3	BCAT1	NNN	2226	0.6221604943275452	0.027925568	Yes	
row_4	RPL3L	NNN	2241	0.6206622123718262	0.042051855	Yes	
row_5	CD8B	NNN	2730	0.577264666557312	0.04708981	Yes	
row_6	CD79A	NNN	2854	0.5696938633918762	0.058177494	Yes	
row_7	IFNAR2	NNN	3572	0.5263158082962036	0.058130737	Yes	
row_8	WAS	NNN	3863	0.5056179761886597	0.06488727	Yes	
row_9	TAP2	NNN	4004	0.4968129098415375	0.07399821	Yes	
row_10	CD7	NNN	4683	0.4770645499229431	0.07347668	Yes	
row_11	IL12A	NNN	4914	0.47089824080467224	0.08045292	Yes	
row_12	HLA-DOA	NNN	5179	0.4652908444404602	0.08671951	Yes	
row_13	CD3G	NNN	5676	0.45459452271461487	0.08878187	Yes	
row_14	EIF4G3	NNN	5786	0.44995182752609253	0.09733692	Yes	
row_15	SIT1	NNN	5821	0.44816309213638306	0.10712967	Yes	
row_16	STAT1	NNN	6478	0.4186871349811554	0.105632216	Yes	
row_17	PRKCG	NNN	6590	0.4141686260700226	0.11332496	Yes	
row_18	ABI1	NNN	6999	0.39691445231437683	0.11555313	Yes	
row_19	PRKCB	NNN	7759	0.3700305223464966	0.1111729	Yes	
row_20	GCNT1	NNN	8124	0.36017945408821106	0.11330126	Yes	
row_21	GPR65	NNN	8558	0.3509400188922882	0.114039004	Yes	
row_22	CCL11	NNN	8583	0.3509400188922882	0.1217521	Yes	
row_23	MAP3K7	NNN	8950	0.34201374650001526	0.12342591	Yes	
row_24	GZMB	NNN	9301	0.33065715432167053	0.12510975	Yes	
row_25	IL16	NNN	9348	0.32881370186805725	0.13193554	Yes	
row_26	IL4R	NNN	9367	0.32838982343673706	0.13922904	Yes	
row_27	CD4	NNN	9377	0.32823896408081055	0.14667255	Yes	
row_28	CCR1	NNN	9488	0.3279237151145935	0.15238623	Yes	
row_29	TRAT1	NNN	9504	0.3279237151145935	0.15972012	Yes	
row_30	CXCR3	NNN	10274	0.32046937942504883	0.15402226	Yes	
row_31	HIF1A	NNN	11034	0.3022209703922272	0.1480726	Yes	
row_32	IL1B	NNN	11498	0.2885143458843231	0.14685386	Yes	
row_33	CD47	NNN	11755	0.28141361474990845	0.14900112	Yes	
row_34	IGSF6	NNN	11942	0.27718567848205566	0.15224433	Yes	
row_35	PSMB10	NNN	11951	0.27697300910949707	0.15851836	Yes	
row_36	F2R	NNN	12052	0.2742123603820801	0.16315946	Yes	
row_37	CD80	NNN	12411	0.27401089668273926	0.1633958	Yes	
row_38	HLA-DQA1	NNN	12702	0.27401089668273926	0.16479185	Yes	
row_39	CCL19	NNN	13077	0.27401089668273926	0.16475531	Yes	
row_40	ELANE	NNN	13788	0.27401089668273926	0.15898842	Yes	
row_41	BRCA1	NNN	14115	0.27104833722114563	0.15970193	Yes	
row_42	MRPL3	NNN	14217	0.2679807245731354	0.16418175	Yes	
row_43	DYRK3	NNN	14257	0.26702597737312317	0.16969687	Yes	
row_44	IFNGR1	NNN	14358	0.26445096731185913	0.17411204	Yes	
row_45	ICAM1	NNN	14387	0.2638850808143616	0.17974205	Yes	
row_46	IL4	NNN	14460	0.2618381381034851	0.18457429	Yes	
row_47	IRF4	NNN	14659	0.25648432970046997	0.18713373	Yes	
row_48	LYN	NNN	15048	0.2480296641588211	0.1862571	Yes	
row_49	IFNGR2	NNN	15279	0.24326756596565247	0.18796489	Yes	
row_50	HLA-DMB	NNN	15551	0.23740647733211517	0.18883778	Yes	
row_51	LY75	NNN	15792	0.23160763084888458	0.19010516	Yes	
row_52	IRF7	NNN	15836	0.23057682812213898	0.19470844	Yes	
row_53	NCK1	NNN	16055	0.22495943307876587	0.19619715	Yes	
row_54	INHBB	NNN	16058	0.22493886947631836	0.2013692	Yes	
row_55	HLA-DMA	NNN	16099	0.22384800016880035	0.2058679	Yes	
row_56	HCLS1	NNN	16111	0.22354352474212646	0.21085416	Yes	
row_57	MMP9	NNN	16148	0.22249720990657806	0.21538982	Yes	
row_58	LCK	NNN	16158	0.2222222238779068	0.2203796	Yes	
row_59	C2	NNN	16441	0.21562522649765015	0.22056077	Yes	
row_60	UBE2D1	NNN	16655	0.21084991097450256	0.2218082	Yes	
row_61	GLMN	NNN	16889	0.20499108731746674	0.22257891	Yes	
row_62	ELF4	NNN	17369	0.19373348355293274	0.21889365	Yes	
row_63	IL18	NNN	17452	0.1915053129196167	0.2219275	Yes	
row_64	EIF3A	NNN	18109	0.1804027110338211	0.214915	Yes	
row_65	ZAP70	NNN	18255	0.17672857642173767	0.21653242	Yes	
row_66	TLR2	NNN	18283	0.1760810762643814	0.2201473	Yes	
row_67	SOCS5	NNN	18430	0.17236681282520294	0.2216467	Yes	
row_68	AKT1	NNN	18555	0.16911517083644867	0.22344604	Yes	
row_69	MTIF2	NNN	18783	0.16426244378089905	0.22337644	Yes	
row_70	CFP	NNN	18980	0.15937909483909607	0.22372252	Yes	
row_71	CD40	NNN	19216	0.1538662165403366	0.22327586	No	
row_72	GALNT1	NNN	19812	0.14222222566604614	0.21642002	No	
row_73	ABCE1	NNN	19881	0.1403864026069641	0.21850951	No	
row_74	PTPN6	NNN	20324	0.12840977311134338	0.21394336	No	
row_75	TLR1	NNN	20607	0.12178059667348862	0.21195252	No	
row_76	DEGS1	NNN	20628	0.12153372168540955	0.2144243	No	
row_77	TIMP1	NNN	21053	0.11186561733484268	0.20978223	No	
row_78	F2	NNN	21080	0.11108233779668808	0.21190977	No	
row_79	MAP4K1	NNN	21332	0.10488346964120865	0.21005654	No	
row_80	IL7	NNN	21382	0.10362887382507324	0.21161933	No	
row_81	TPD52	NNN	21405	0.10328292101621628	0.21363458	No	
row_82	ACVR2A	NNN	21648	0.0967550203204155	0.21174672	No	
row_83	RPS3A	NNN	22098	0.08656446635723114	0.20609269	No	
row_84	RIPK2	NNN	22230	0.0828617587685585	0.20577635	No	
row_85	CD3E	NNN	22395	0.08198890089988708	0.20487699	No	
row_86	IL2RA	NNN	22398	0.08198890089988708	0.2067405	No	
row_87	IKBKB	NNN	22526	0.0808364674448967	0.20644549	No	
row_88	HLA-E	NNN	22675	0.07718120515346527	0.20570773	No	
row_89	TAPBP	NNN	22749	0.0754195898771286	0.2062083	No	
row_90	IL2RG	NNN	23077	0.06749051809310913	0.20219348	No	
row_91	CD86	NNN	23187	0.06451798975467682	0.20182778	No	
row_92	EIF3D	NNN	23479	0.06323345005512238	0.19832839	No	
row_93	IL15	NNN	23503	0.06236964091658592	0.19937967	No	
row_94	FGR	NNN	23642	0.057746581733226776	0.19836265	No	
row_95	FASLG	NNN	23848	0.05171603336930275	0.1960634	No	
row_96	UBE2N	NNN	24029	0.04683544486761093	0.19407755	No	
row_97	IL2RB	NNN	24100	0.044483158737421036	0.19391328	No	
row_98	ST8SIA4	NNN	24160	0.0429416224360466	0.19390093	No	
row_99	CCND3	NNN	24382	0.03691983222961426	0.19098634	No	
row_100	TAP1	NNN	24484	0.0341753326356411	0.1900548	No	
