NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLH	NNN	1064	0.7549753785133362	0.008309704	Yes	
row_1	REV3L	NNN	2717	0.5785883069038391	4.21978E-4	Yes	
row_2	AK1	NNN	3075	0.5512305498123169	0.013643839	Yes	
row_3	ERCC4	NNN	3139	0.5461801886558533	0.031698793	Yes	
row_4	SMAD5	NNN	3755	0.5125921964645386	0.039170947	Yes	
row_5	ERCC8	NNN	4118	0.4900881052017212	0.05016625	Yes	
row_6	XPC	NNN	6191	0.430244117975235	0.029926062	Yes	
row_7	AGO4	NNN	6716	0.4092930853366852	0.03533114	Yes	
row_8	DCTN4	NNN	6816	0.4047441780567169	0.047819205	Yes	
row_9	VPS37D	NNN	6997	0.39697158336639404	0.05865476	Yes	
row_10	ERCC1	NNN	7545	0.37600716948509216	0.06250215	Yes	
row_11	RRM2B	NNN	7669	0.3721349537372589	0.07343919	Yes	
row_12	NME4	NNN	7844	0.3664674460887909	0.08330866	Yes	
row_13	PRIM1	NNN	7850	0.3663654029369354	0.096054435	Yes	
row_14	BRF2	NNN	7929	0.36415451765060425	0.10747881	Yes	
row_15	ARL6IP1	NNN	8851	0.3449646234512329	0.103865795	Yes	
row_16	RFC3	NNN	8920	0.3427332937717438	0.11471035	Yes	
row_17	GTF2H5	NNN	9078	0.3376018702983856	0.12385858	Yes	
row_18	TK2	NNN	9189	0.33376288414001465	0.13367327	Yes	
row_19	BOLA2	NNN	9328	0.32974621653556824	0.14287013	Yes	
row_20	LIG1	NNN	10122	0.3247358500957489	0.14072986	Yes	
row_21	MRPL40	NNN	10189	0.322563499212265	0.15090212	Yes	
row_22	POLL	NNN	10265	0.32057568430900574	0.16085137	Yes	
row_23	NPR2	NNN	10286	0.32016098499298096	0.17172335	Yes	
row_24	NFX1	NNN	10635	0.3132530152797699	0.17676406	Yes	
row_25	POLR2A	NNN	10661	0.31252628564834595	0.18728344	Yes	
row_26	TAF9	NNN	10739	0.31011277437210083	0.1968322	Yes	
row_27	GTF2B	NNN	10844	0.3063550889492035	0.20578924	Yes	
row_28	POM121	NNN	10899	0.3051491677761078	0.21555609	Yes	
row_29	TP53	NNN	10951	0.3039103150367737	0.22533065	Yes	
row_30	TAF6	NNN	10983	0.3030983507633209	0.23541762	Yes	
row_31	POLR3C	NNN	10990	0.3030080795288086	0.24592742	Yes	
row_32	SRSF6	NNN	11073	0.3011423647403717	0.2550768	Yes	
row_33	RNMT	NNN	11232	0.2967967689037323	0.2627789	Yes	
row_34	NUDT21	NNN	11402	0.2913443446159363	0.2701026	Yes	
row_35	POLA1	NNN	12046	0.27437615394592285	0.26875472	Yes	
row_36	DDB2	NNN	14400	0.26341503858566284	0.23788333	Yes	
row_37	CANT1	NNN	14509	0.2609051465988159	0.24518046	Yes	
row_38	DDB1	NNN	14538	0.2601676285266876	0.253815	Yes	
row_39	RAD51	NNN	14806	0.25313442945480347	0.2581305	Yes	
row_40	ADA	NNN	15149	0.24467337131500244	0.26087162	Yes	
row_41	POLD3	NNN	15325	0.2420753836631775	0.26636752	Yes	
row_42	DGCR8	NNN	15764	0.232259139418602	0.26703796	Yes	
row_43	RFC5	NNN	15889	0.22922144830226898	0.2729528	Yes	
row_44	NT5C3A	NNN	15919	0.22817431390285492	0.2804498	Yes	
row_45	SDCBP	NNN	16095	0.2239939272403717	0.2853125	Yes	
row_46	HCLS1	NNN	16111	0.22354352474212646	0.2928859	Yes	
row_47	PCNA	NNN	16282	0.21952910721302032	0.2976774	Yes	
row_48	ERCC3	NNN	16511	0.21414686739444733	0.30129206	Yes	
row_49	TAF1C	NNN	16847	0.20583172142505646	0.30279213	Yes	
row_50	TARBP2	NNN	16913	0.20437178015708923	0.30884206	Yes	
row_51	POLR2E	NNN	16959	0.20308616757392883	0.31518778	Yes	
row_52	RPA3	NNN	17179	0.1971471756696701	0.31836045	Yes	
row_53	POLB	NNN	17517	0.19026824831962585	0.31928137	Yes	
row_54	POLR2K	NNN	17572	0.18888798356056213	0.32497647	Yes	
row_55	RPA2	NNN	17862	0.18657854199409485	0.32658613	Yes	
row_56	TYMS	NNN	18067	0.1812966763973236	0.32945925	Yes	
row_57	POLA2	NNN	18149	0.1793185919523239	0.3343591	Yes	
row_58	UPF3B	NNN	18213	0.177755206823349	0.33951095	Yes	
row_59	ADCY6	NNN	18300	0.17551444470882416	0.3441924	Yes	
row_60	GTF2H3	NNN	18479	0.1713665872812271	0.3471608	Yes	
row_61	BCAM	NNN	18553	0.16915617883205414	0.3518411	Yes	
row_62	USP11	NNN	18651	0.16711492836475372	0.3560409	Yes	
row_63	ERCC2	NNN	18669	0.16671070456504822	0.3615898	Yes	
row_64	POLR3GL	NNN	18781	0.16430556774139404	0.36545265	Yes	
row_65	STX3	NNN	18825	0.16305765509605408	0.37043056	Yes	
row_66	DUT	NNN	19034	0.15814365446567535	0.37242466	Yes	
row_67	RFC4	NNN	19102	0.156678706407547	0.3767702	Yes	
row_68	TSG101	NNN	19195	0.15448787808418274	0.38061297	Yes	
row_69	DGUOK	NNN	19270	0.15293118357658386	0.38470796	Yes	
row_70	VPS37B	NNN	19512	0.14749661087989807	0.38576683	Yes	
row_71	AAAS	NNN	19563	0.14625892043113708	0.39003715	Yes	
row_72	SNAPC5	NNN	19692	0.14469453692436218	0.39292347	Yes	
row_73	NT5C	NNN	19754	0.1432351917028427	0.39690042	Yes	
row_74	NELFCD	NNN	19866	0.1408209204673767	0.3999408	Yes	
row_75	IMPDH2	NNN	20033	0.13623875379562378	0.40188342	Yes	
row_76	RAD52	NNN	20140	0.13358400762081146	0.40475553	Yes	
row_77	POLR2C	NNN	20227	0.1312406063079834	0.4078864	Yes	
row_78	GTF2F1	NNN	20264	0.12970353662967682	0.41181546	Yes	
row_79	CSTF3	NNN	20953	0.11393013596534729	0.40408155	Yes	
row_80	ZNF707	NNN	20958	0.11376248300075531	0.4079976	Yes	
row_81	ZWINT	NNN	20963	0.11370331048965454	0.4119116	Yes	
row_82	FEN1	NNN	21047	0.11214246600866318	0.41442472	Yes	
row_83	SEC61A1	NNN	21189	0.10873010754585266	0.41582996	Yes	
row_84	GTF2H1	NNN	21413	0.10312944650650024	0.41564173	Yes	
row_85	RFC2	NNN	21572	0.0989684984087944	0.4164154	Yes	
row_86	EIF1B	NNN	21695	0.09575142711400986	0.4176899	Yes	
row_87	SUPT4H1	NNN	22131	0.08549855649471283	0.41327155	Yes	
row_88	TMED2	NNN	22238	0.08246416598558426	0.4143533	Yes	
row_89	UMPS	NNN	22533	0.08069032430648804	0.4121693	Yes	
row_90	GTF3C5	NNN	22538	0.08062515407800674	0.41492483	Yes	
row_91	TAF10	NNN	22660	0.0774691179394722	0.41557604	Yes	
row_92	RAE1	NNN	22684	0.07699400931596756	0.41788062	Yes	
row_93	CETN2	NNN	22691	0.07690136879682541	0.42047164	Yes	
row_94	DAD1	NNN	22703	0.07668133080005646	0.42296976	Yes	
row_95	NUDT9	NNN	22846	0.07384882867336273	0.42313635	Yes	
row_96	POLD1	NNN	23034	0.06912442296743393	0.42237064	Yes	
