NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TFRC	NNN	1102	0.7472103834152222	-3.715061E-4	Yes	
row_1	STAG1	NNN	2899	0.5662602782249451	-0.017040335	Yes	
row_2	PMS2	NNN	3520	0.5298138856887817	-0.014551479	Yes	
row_3	GINS4	NNN	3909	0.5021520853042603	-0.008787954	Yes	
row_4	CBX5	NNN	4592	0.4817473590373993	-0.008541586	Yes	
row_5	PLK4	NNN	4661	0.4782082438468933	0.0020890874	Yes	
row_6	SHMT1	NNN	4958	0.4695751965045929	0.008618447	Yes	
row_7	BARD1	NNN	5636	0.4569045305252075	0.008337581	Yes	
row_8	RAD51AP1	NNN	5662	0.45571866631507874	0.019147115	Yes	
row_9	MSH2	NNN	5719	0.45262786746025085	0.02935175	Yes	
row_10	BUB1B	NNN	5745	0.45154258608818054	0.040058322	Yes	
row_11	CHEK2	NNN	5877	0.4450942277908325	0.048798114	Yes	
row_12	BRCA2	NNN	6121	0.43344271183013916	0.055340514	Yes	
row_13	ASF1B	NNN	6183	0.4305904805660248	0.064916536	Yes	
row_14	UBR7	NNN	6369	0.4238099157810211	0.0722106	Yes	
row_15	LBR	NNN	6490	0.4180690050125122	0.08047168	Yes	
row_16	MLH1	NNN	6591	0.41410717368125916	0.08897617	Yes	
row_17	E2F8	NNN	6978	0.39738765358924866	0.0921908	Yes	
row_18	CIT	NNN	6989	0.3970833122730255	0.101810485	Yes	
row_19	TOP2A	NNN	7365	0.382488489151001	0.10484537	Yes	
row_20	MMS22L	NNN	7443	0.3799285590648651	0.11289943	Yes	
row_21	CENPE	NNN	7599	0.3742457330226898	0.11948312	Yes	
row_22	ZW10	NNN	7748	0.3705027401447296	0.12609391	Yes	
row_23	RRM2	NNN	7854	0.3662530481815338	0.13333325	Yes	
row_24	MCM4	NNN	8141	0.35973337292671204	0.13732497	Yes	
row_25	CDKN2C	NNN	8209	0.35779228806495667	0.14500381	Yes	
row_26	PRKDC	NNN	8342	0.35299649834632874	0.15145585	Yes	
row_27	NUP205	NNN	8404	0.3511619567871094	0.15907353	Yes	
row_28	SMC4	NNN	8619	0.3505900204181671	0.16406775	Yes	
row_29	HMMR	NNN	8805	0.34630292654037476	0.16945085	Yes	
row_30	MKI67	NNN	8912	0.3430042862892151	0.17609996	Yes	
row_31	RFC3	NNN	8920	0.3427332937717438	0.18443078	Yes	
row_32	RFC1	NNN	9024	0.33946073055267334	0.19104367	Yes	
row_33	NUP153	NNN	9353	0.3287140727043152	0.1935543	Yes	
row_34	MCM5	NNN	10046	0.32658374309539795	0.18980451	Yes	
row_35	WDR90	NNN	10103	0.325214147567749	0.19686772	Yes	
row_36	LIG1	NNN	10122	0.3247358500957489	0.20456721	Yes	
row_37	HELLS	NNN	10184	0.322652667760849	0.21148199	Yes	
row_38	SMC1A	NNN	10296	0.31986284255981445	0.21747525	Yes	
row_39	MCM6	NNN	10326	0.31918373703956604	0.22485025	Yes	
row_40	TIPIN	NNN	10542	0.31598514318466187	0.22897422	Yes	
row_41	MYBL2	NNN	10583	0.31471094489097595	0.23605134	Yes	
row_42	XPO1	NNN	10630	0.31345680356025696	0.24299522	Yes	
row_43	ATAD2	NNN	10702	0.311340868473053	0.24946055	Yes	
row_44	TP53	NNN	10951	0.3039103150367737	0.252724	Yes	
row_45	NBN	NNN	11322	0.29372259974479675	0.2536556	Yes	
row_46	NUDT21	NNN	11402	0.2913443446159363	0.2594915	Yes	
row_47	TCF19	NNN	11437	0.2905431091785431	0.26607507	Yes	
row_48	CDKN1A	NNN	11500	0.28848427534103394	0.27213037	Yes	
row_49	PSIP1	NNN	11565	0.2865590453147888	0.27810407	Yes	
row_50	ING3	NNN	11787	0.28042492270469666	0.28124896	Yes	
row_51	RAD50	NNN	14011	0.2720813751220703	0.25004473	Yes	
row_52	BRCA1	NNN	14115	0.27104833722114563	0.25497088	Yes	
row_53	PRIM2	NNN	14164	0.2694191634654999	0.26079488	Yes	
row_54	USP1	NNN	14360	0.2644447684288025	0.2639892	Yes	
