NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RASAL2	NNN	2089	0.639229416847229	-0.0202049	Yes	
row_1	DMD	NNN	2838	0.5709012150764465	-0.019189311	Yes	
row_2	STAG1	NNN	2899	0.5662602782249451	-0.0065528695	Yes	
row_3	MEIS1	NNN	3602	0.5243530869483948	-0.0058756815	Yes	
row_4	KIF15	NNN	3758	0.5125325918197632	0.003844629	Yes	
row_5	PLK4	NNN	4661	0.4782082438468933	-2.0140142E-6	Yes	
row_6	EGF	NNN	4788	0.47245800495147705	0.009246146	Yes	
row_7	BARD1	NNN	5636	0.4569045305252075	0.005823545	Yes	
row_8	STIL	NNN	5913	0.4434053599834442	0.011812856	Yes	
row_9	BRCA2	NNN	6121	0.43344271183013916	0.018738534	Yes	
row_10	MTF2	NNN	6134	0.43281617760658264	0.02897453	Yes	
row_11	CASP8AP2	NNN	6250	0.4278244972229004	0.037333604	Yes	
row_12	LBR	NNN	6490	0.4180690050125122	0.043342717	Yes	
row_13	EXO1	NNN	6664	0.41147130727767944	0.050318204	Yes	
row_14	CDC27	NNN	6792	0.4059297442436218	0.05794448	Yes	
row_15	ARID4A	NNN	6990	0.39704298973083496	0.064162634	Yes	
row_16	TOP2A	NNN	7365	0.382488489151001	0.06701123	Yes	
row_17	CENPE	NNN	7599	0.3742457330226898	0.07206554	Yes	
row_18	DBF4	NNN	7783	0.36904990673065186	0.077847175	Yes	
row_19	E2F1	NNN	8112	0.3604797124862671	0.08094933	Yes	
row_20	CDKN2C	NNN	8209	0.35779228806495667	0.08794306	Yes	
row_21	SMC4	NNN	8619	0.3505900204181671	0.08942531	Yes	
row_22	ATRX	NNN	8637	0.3499910235404968	0.097578086	Yes	
row_23	RPS6KA5	NNN	8752	0.3479401469230652	0.1040272	Yes	
row_24	HMMR	NNN	8805	0.34630292654037476	0.11149413	Yes	
row_25	CUL5	NNN	8882	0.3438059687614441	0.118491545	Yes	
row_26	MKI67	NNN	8912	0.3430042862892151	0.12627114	Yes	
row_27	SLC7A1	NNN	8976	0.3409969210624695	0.1334225	Yes	
row_28	ABL1	NNN	9006	0.3397524654865265	0.14112364	Yes	
row_29	E2F2	NNN	9132	0.33551469445228577	0.14708543	Yes	
row_30	SMC2	NNN	9167	0.3345690369606018	0.15457627	Yes	
row_31	NUP98	NNN	9251	0.3321404755115509	0.16117291	Yes	
row_32	CENPF	NNN	9262	0.33180877566337585	0.16900647	Yes	
row_33	MCM5	NNN	10046	0.32658374309539795	0.16353162	Yes	
row_34	ORC5	NNN	10171	0.32306376099586487	0.1692101	Yes	
row_35	TTK	NNN	10275	0.32045358419418335	0.17518376	Yes	
row_36	SMC1A	NNN	10296	0.31986284255981445	0.1825586	Yes	
row_37	MCM6	NNN	10326	0.31918373703956604	0.18976358	Yes	
row_38	MYBL2	NNN	10583	0.31471094489097595	0.19298953	Yes	
row_39	XPO1	NNN	10630	0.31345680356025696	0.19976644	Yes	
row_40	HMGN2	NNN	10703	0.31133097410202026	0.2060487	Yes	
row_41	TROAP	NNN	10752	0.3096568286418915	0.21269985	Yes	
row_42	CDC7	NNN	10763	0.30912235379219055	0.21998614	Yes	
row_43	NUSAP1	NNN	10882	0.30564677715301514	0.2253468	Yes	
row_44	NUP50	NNN	10962	0.303566575050354	0.2313224	Yes	
row_45	E2F3	NNN	10963	0.30353787541389465	0.2386445	Yes	
row_46	HIF1A	NNN	11034	0.3022209703922272	0.2447411	Yes	
row_47	RBL1	NNN	11047	0.3017442524433136	0.25181532	Yes	
row_48	KIF23	NNN	11237	0.29664474725723267	0.25574803	Yes	
row_49	PRC1	NNN	11461	0.2895950675010681	0.2589309	Yes	
row_50	WRN	NNN	11557	0.28679952025413513	0.26422915	Yes	
row_51	SMAD3	NNN	11619	0.2851143181324005	0.27006656	Yes	
row_52	CENPA	NNN	12032	0.2747989296913147	0.26966938	Yes	
row_53	SLC38A1	NNN	13940	0.2739587128162384	0.24375695	Yes	
row_54	YTHDC1	NNN	14003	0.2722790837287903	0.2492677	Yes	
row_55	MAPK14	NNN	14122	0.2705598771572113	0.25378197	Yes	
row_56	PRIM2	NNN	14164	0.2694191634654999	0.25958186	Yes	
row_57	SRSF10	NNN	14186	0.2687814235687256	0.26570746	Yes	
row_58	POLQ	NNN	14187	0.2686915993690491	0.272189	Yes	
row_59	FOXN3	NNN	14243	0.26724138855934143	0.2776976	Yes	
