NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACSL6	NNN	387	0.9456479549407959	0.013478782	Yes	
row_1	UCP2	NNN	854	0.8024096488952637	0.022568908	Yes	
row_2	TFRC	NNN	1102	0.7472103834152222	0.034221902	Yes	
row_3	XK	NNN	1303	0.7107009887695312	0.04590125	Yes	
row_4	IGSF3	NNN	1661	0.6716476082801819	0.054073848	Yes	
row_5	ANK1	NNN	1954	0.6551246643066406	0.06300415	Yes	
row_6	TMCC2	NNN	2459	0.6038647294044495	0.06723053	Yes	
row_7	NFE2	NNN	2544	0.5948453545570374	0.07842824	Yes	
row_8	TFDP2	NNN	2598	0.5893254280090332	0.090037435	Yes	
row_9	FBXO34	NNN	2658	0.5827457308769226	0.10140459	Yes	
row_10	SPTB	NNN	2670	0.5817738175392151	0.11356972	Yes	
row_11	SLC30A1	NNN	3067	0.5519176721572876	0.11853499	Yes	
row_12	RHD	NNN	3133	0.5466371178627014	0.12903313	Yes	
row_13	KAT2B	NNN	3794	0.5102705955505371	0.12861176	Yes	
row_14	MBOAT2	NNN	3843	0.5076310634613037	0.13857162	Yes	
row_15	CLCN3	NNN	3970	0.4988616704940796	0.14701504	Yes	
row_16	KHNYN	NNN	4011	0.49601417779922485	0.15686466	Yes	
row_17	BMP2K	NNN	4642	0.4792383015155792	0.15629601	Yes	
row_18	AQP3	NNN	4728	0.4750937819480896	0.164934	Yes	
row_19	ARHGEF12	NNN	4978	0.4683067500591278	0.17063096	Yes	
row_20	ABCG2	NNN	5145	0.4652908444404602	0.17767939	Yes	
row_21	SLC4A1	NNN	5645	0.45667487382888794	0.17886578	Yes	
row_22	YPEL5	NNN	5791	0.4497701823711395	0.18594281	Yes	
row_23	FOXO3	NNN	5829	0.44787245988845825	0.19482142	Yes	
row_24	ALDH6A1	NNN	6097	0.43486765027046204	0.1995014	Yes	
row_25	ACP5	NNN	6110	0.4342218339443207	0.20851652	Yes	
row_26	EPB41	NNN	6569	0.41493865847587585	0.20951596	Yes	
row_27	KDM7A	NNN	6602	0.4137019217014313	0.21775429	Yes	
row_28	SLC11A2	NNN	6653	0.41173845529556274	0.22564396	Yes	
row_29	MXI1	NNN	6676	0.41029641032218933	0.23398054	Yes	
row_30	CDC27	NNN	6792	0.4059297442436218	0.24063835	Yes	
row_31	CLIC2	NNN	6894	0.40111684799194336	0.24743271	Yes	
row_32	ISCA1	NNN	7200	0.38985615968704224	0.2505089	Yes	
row_33	ARL2BP	NNN	7359	0.382755845785141	0.2559413	Yes	
