NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TFRC	NNN	1102	0.7472103834152222	4.2591397E-5	Yes	
row_1	PLOD2	NNN	2026	0.64626145362854	5.9309986E-4	Yes	
row_2	BCAT1	NNN	2226	0.6221604943275452	0.012883808	Yes	
row_3	SC5D	NNN	2464	0.6034014821052551	0.024053516	Yes	
row_4	ADD3	NNN	3123	0.5476951003074646	0.026638733	Yes	
row_5	STARD4	NNN	3421	0.5359494090080261	0.03508468	Yes	
row_6	VLDLR	NNN	3480	0.5322496294975281	0.047513485	Yes	
row_7	DHCR7	NNN	3769	0.5116633772850037	0.055500675	Yes	
row_8	INSIG1	NNN	3899	0.5026999115943909	0.06597363	Yes	
row_9	HMGCS1	NNN	4754	0.47355183959007263	0.06334693	Yes	
row_10	PDK1	NNN	4969	0.4685610234737396	0.07150958	Yes	
row_11	CTH	NNN	5587	0.45968881249427795	0.07257541	Yes	
row_12	HMGCR	NNN	5639	0.45686614513397217	0.08322319	Yes	
row_13	ACSL3	NNN	5659	0.4558584690093994	0.09439132	Yes	
row_14	SYTL2	NNN	5871	0.4455718994140625	0.102025576	Yes	
row_15	IGFBP5	NNN	6062	0.4360755980014801	0.10977859	Yes	
row_16	SCD	NNN	6542	0.41602808237075806	0.11209732	Yes	
row_17	EGLN3	NNN	6589	0.414170503616333	0.12175401	Yes	
row_18	DHFR	NNN	6755	0.4078311324119568	0.12922136	Yes	
row_19	HK2	NNN	7267	0.3870166838169098	0.13026296	Yes	
row_20	DHCR24	NNN	7662	0.37222766876220703	0.13292715	Yes	
row_21	RRM2	NNN	7854	0.3662530481815338	0.13890289	Yes	
row_22	CXCR4	NNN	7889	0.36552295088768005	0.14753783	Yes	
row_23	MCM4	NNN	8141	0.35973337292671204	0.15232591	Yes	
row_24	GGA2	NNN	8380	0.35192781686782837	0.15713891	Yes	
row_25	NUP205	NNN	8404	0.3511619567871094	0.16559944	Yes	
row_26	AK4	NNN	8707	0.3492051064968109	0.16925229	Yes	
row_27	ACACA	NNN	8763	0.3476347029209137	0.17707813	Yes	
row_28	PHGDH	NNN	8858	0.3446239233016968	0.18416291	Yes	
row_29	FADS2	NNN	8971	0.34117648005485535	0.1908538	Yes	
row_30	GAPDH	NNN	9169	0.33444246649742126	0.19592527	Yes	
row_31	ACLY	NNN	9209	0.33299633860588074	0.20365494	Yes	
row_32	PIK3R3	NNN	9357	0.32860344648361206	0.20943195	Yes	
row_33	PFKL	NNN	9358	0.3285597562789917	0.21771494	Yes	
row_34	LDLR	NNN	9384	0.32809585332870483	0.22555985	Yes	
row_35	FADS1	NNN	10316	0.31938406825065613	0.21773334	Yes	
row_36	PSAT1	NNN	11023	0.3024260997772217	0.2133167	Yes	
row_37	SLC1A4	NNN	11423	0.29079893231391907	0.21384281	Yes	
row_38	ELOVL6	NNN	11477	0.2890811264514923	0.22022662	Yes	
