NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOTCH3	NNN	81	1.2425278425216675	0.15072462	Yes	
row_1	MAML2	NNN	1315	0.7067893147468567	0.21627508	Yes	
row_2	ST3GAL6	NNN	3817	0.5087491869926453	0.2360174	Yes	
row_3	NOTCH1	NNN	5928	0.4429600238800049	0.25435612	Yes	
row_4	PRKCA	NNN	6428	0.4211081266403198	0.29741877	Yes	
row_5	DTX1	NNN	7198	0.3899204432964325	0.33207163	Yes	
row_6	FZD1	NNN	7672	0.37205591797828674	0.3695718	Yes	
row_7	FZD7	NNN	7890	0.3654835820198059	0.41062135	Yes	
row_8	LFNG	NNN	10010	0.3278486132621765	0.4147158	Yes	
row_9	DTX4	NNN	11973	0.27647891640663147	0.41519207	Yes	
row_10	PSENEN	NNN	15059	0.2476370483636856	0.39303842	Yes	
row_11	HES1	NNN	16606	0.2122182846069336	0.3927234	Yes	
row_12	HEYL	NNN	16846	0.2058423012495041	0.41385654	Yes	
row_13	CUL1	NNN	16879	0.20525451004505157	0.4384382	Yes	
row_14	PSEN2	NNN	17040	0.20089618861675262	0.46030945	Yes	
row_15	NOTCH2	NNN	17170	0.1972789168357849	0.4822651	Yes	
row_16	FBXW11	NNN	17357	0.19398334622383118	0.5028479	Yes	
row_17	TCF7L2	NNN	18354	0.17411763966083527	0.5072229	Yes	
row_18	KAT2A	NNN	20513	0.12437479197978973	0.48574615	No	
row_19	DTX2	NNN	21647	0.09675914794206619	0.4783214	No	
row_20	APH1A	NNN	21972	0.09028375148773193	0.48386297	No	
row_21	SKP1	NNN	22145	0.08505868166685104	0.49135002	No	
row_22	FZD5	NNN	23081	0.06736698001623154	0.48369476	No	
row_23	ARRB1	NNN	23526	0.06140214577317238	0.48365992	No	
row_24	JAG1	NNN	25467	0.0019980589859187603	0.4509102	No	
row_25	RBX1	NNN	47040	-0.020650917664170265	0.086554915	No	
row_26	WNT5A	NNN	47837	-0.04697684198617935	0.07876764	No	
row_27	DLL1	NNN	48043	-0.0538567379117012	0.08187392	No	
row_28	PPARD	NNN	48507	-0.07186593860387802	0.082796864	No	
row_29	SAP30	NNN	49863	-0.09958014637231827	0.071941815	No	
row_30	CCND1	NNN	53091	-0.24104073643684387	0.046565644	No	
row_31	WNT2	NNN	56440	-0.4166666567325592	0.04063056	No	
