NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC23A2	NNN	1117	0.7436287999153137	0.012201655	Yes	
row_1	EPHX2	NNN	1481	0.6927033066749573	0.035104427	Yes	
row_2	SEMA3C	NNN	1658	0.6722143888473511	0.060331225	Yes	
row_3	PEX11B	NNN	2117	0.6342015862464905	0.07916005	Yes	
row_4	CADM1	NNN	2582	0.5909705758094788	0.09607159	Yes	
row_5	FABP6	NNN	2949	0.5618628859519958	0.11342978	Yes	
row_6	ABCB4	NNN	3348	0.539628267288208	0.12930952	Yes	
row_7	ATXN1	NNN	4119	0.49007299542427063	0.13677411	Yes	
row_8	UGT2B17	NNN	4347	0.4823181927204132	0.15315944	Yes	
row_9	ABCB9	NNN	4641	0.47941431403160095	0.16829897	Yes	
row_10	MSH2	NNN	5719	0.45262786746025085	0.16896372	Yes	
row_11	CRAT	NNN	6158	0.43187278509140015	0.17963807	Yes	
row_12	TOP2A	NNN	7365	0.382488489151001	0.17516129	Yes	
row_13	CLN6	NNN	7477	0.3781106472015381	0.18914661	Yes	
row_14	DHRS3	NNN	7480	0.3780313730239868	0.20498466	Yes	
row_15	ACSL1	NNN	7487	0.3778698146343231	0.22074784	Yes	
row_16	ERCC1	NNN	7545	0.37600716948509216	0.23556437	Yes	
row_17	DHCR24	NNN	7662	0.37222766876220703	0.24921754	Yes	
row_18	HMGCL	NNN	8854	0.34488028287887573	0.24341714	Yes	
row_19	PEX13	NNN	8918	0.34282955527305603	0.25673848	Yes	
row_20	IDH2	NNN	8974	0.34103289246559143	0.27012065	Yes	
row_21	LONP2	NNN	9087	0.33725452423095703	0.28237355	Yes	
row_22	IDE	NNN	10200	0.32234323024749756	0.27697212	Yes	
row_23	SLC35B2	NNN	10211	0.32206353545188904	0.2903241	Yes	
row_24	FADS1	NNN	10316	0.31938406825065613	0.30196288	Yes	
row_25	ABCD3	NNN	10685	0.31193435192108154	0.30879346	Yes	
row_26	ESR2	NNN	11006	0.30284664034843445	0.31605983	Yes	
row_27	ABCC5	NNN	11196	0.2981630563735962	0.32536024	Yes	
row_28	EHHADH	NNN	11289	0.2945338189601898	0.33616	Yes	
row_29	DLG4	NNN	11541	0.2872033715248108	0.34394452	Yes	
row_30	NUDT19	NNN	11781	0.2806652784347534	0.35165885	Yes	
