NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITPR2	NNN	304	0.981503427028656	0.03581416	Yes	
row_1	MAP2K6	NNN	1243	0.7213046550750732	0.04996568	Yes	
row_2	PLCB1	NNN	3009	0.5552979111671448	0.043101873	Yes	
row_3	CAB39L	NNN	3083	0.5506775975227356	0.06485688	Yes	
row_4	PIKFYVE	NNN	4740	0.47422996163368225	0.0564635	Yes	
row_5	PDK1	NNN	4969	0.4685610234737396	0.07214968	Yes	
row_6	MAPK9	NNN	6476	0.41871920228004456	0.06399222	Yes	
row_7	MYD88	NNN	7064	0.3938066363334656	0.07044328	Yes	
row_8	SMAD2	NNN	7147	0.3921988904476166	0.08542645	Yes	
row_9	MAPK1	NNN	7707	0.37168195843696594	0.0914303	Yes	
row_10	PRKCB	NNN	7759	0.3700305223464966	0.106015526	Yes	
row_11	CXCR4	NNN	7889	0.36552295088768005	0.1190843	Yes	
row_12	E2F1	NNN	8112	0.3604797124862671	0.13035883	Yes	
row_13	MAPK8	NNN	8745	0.34812286496162415	0.13413571	Yes	
row_14	ACACA	NNN	8763	0.3476347029209137	0.14836457	Yes	
row_15	MAP3K7	NNN	8950	0.34201374650001526	0.15948091	Yes	
row_16	THEM4	NNN	8984	0.34055161476135254	0.17314152	Yes	
row_17	RAF1	NNN	9341	0.3289749324321747	0.18081853	Yes	
row_18	PIK3R3	NNN	9357	0.32860344648361206	0.19428663	Yes	
row_19	RPS6KA1	NNN	10383	0.3181036710739136	0.19011773	Yes	
row_20	IRAK4	NNN	10975	0.3031725287437439	0.19271551	Yes	
row_21	CDKN1A	NNN	11500	0.28848427534103394	0.19584075	Yes	
row_22	GSK3B	NNN	11732	0.2819503843784332	0.20368238	Yes	
row_23	GNA14	NNN	11918	0.2775026559829712	0.21212156	Yes	
row_24	PRKAR2A	NNN	11937	0.2773071229457855	0.22339629	Yes	
row_25	NGF	NNN	12147	0.27401089668273926	0.23128097	Yes	
row_26	MAPK10	NNN	14038	0.27183446288108826	0.21045028	Yes	
row_27	PTPN11	NNN	14348	0.2646053731441498	0.21623933	Yes	
row_28	IL4	NNN	14460	0.2618381381034851	0.2252844	Yes	
row_29	MAPKAP1	NNN	14796	0.2533237636089325	0.23015955	Yes	
row_30	RIT1	NNN	14805	0.2531457543373108	0.24059552	Yes	
row_31	ATF1	NNN	14817	0.2529575526714325	0.2509725	Yes	
row_32	CLTC	NNN	14840	0.2522210478782654	0.26113147	Yes	
row_33	RIPK1	NNN	15310	0.24232304096221924	0.2632654	Yes	
row_34	RPS6KA3	NNN	15604	0.23606932163238525	0.26813516	Yes	
row_35	RPTOR	NNN	15714	0.2336224466562271	0.2760359	Yes	
row_36	RALB	NNN	15974	0.22700488567352295	0.28110605	Yes	
row_37	SLC2A1	NNN	16017	0.22568386793136597	0.28981614	Yes	
row_38	NCK1	NNN	16055	0.22495943307876587	0.29858112	Yes	
row_39	CDK4	NNN	16068	0.22453366219997406	0.30775404	Yes	
row_40	LCK	NNN	16158	0.2222222238779068	0.31551924	Yes	
row_41	PITX2	NNN	16627	0.21167883276939392	0.31639042	Yes	
row_42	CDK1	NNN	16670	0.21035729348659515	0.32446042	Yes	
row_43	FGF17	NNN	16833	0.20623916387557983	0.33031505	Yes	
row_44	CDK2	NNN	16938	0.2035132795572281	0.3370435	Yes	
row_45	TBK1	NNN	17103	0.1991722732782364	0.34256893	Yes	
row_46	PRKAA2	NNN	17865	0.18650327622890472	0.33739942	Yes	
row_47	EIF4E	NNN	17941	0.18449817597866058	0.34382755	Yes	
row_48	PTEN	NNN	17987	0.18332690000534058	0.3507176	Yes	
row_49	STAT2	NNN	18075	0.18107371032238007	0.35679838	Yes	
row_50	AKT1S1	NNN	18132	0.17994356155395508	0.3633598	Yes	
row_51	AKT1	NNN	18555	0.16911517083644867	0.3632367	Yes	
row_52	TIAM1	NNN	18561	0.16889238357543945	0.37020504	Yes	
row_53	PLA2G12A	NNN	18912	0.16110581159591675	0.37097347	Yes	
row_54	TSC2	NNN	19036	0.15814180672168732	0.37548348	Yes	
row_55	ACTR2	NNN	19183	0.15467819571495056	0.37945724	Yes	
row_56	DAPP1	NNN	19265	0.15294502675533295	0.38446543	Yes	
row_57	PRKAG1	NNN	19336	0.1518227905035019	0.38961405	Yes	
row_58	MKNK1	NNN	19390	0.15045827627182007	0.39499518	Yes	
row_59	GNGT1	NNN	19420	0.1497628390789032	0.40075594	Yes	
row_60	ARF1	NNN	19723	0.14387011528015137	0.40162188	Yes	
row_61	MKNK2	NNN	19913	0.13960744440555573	0.40423402	Yes	
row_62	TRIB3	NNN	19925	0.13913914561271667	0.4098576	Yes	
row_63	ACTR3	NNN	20064	0.13573279976844788	0.41317633	Yes	
row_64	ARPC3	NNN	20295	0.12904493510723114	0.4146492	Yes	
row_65	CALR	NNN	20408	0.12692467868328094	0.4180428	Yes	
row_66	GRB2	NNN	20587	0.12236469984054565	0.42012212	Yes	
row_67	AP2M1	NNN	20655	0.12069699913263321	0.42402193	Yes	
row_68	NOD1	NNN	20984	0.11335012316703796	0.42317054	No	
