NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCSK4	NNN	281	0.9967290759086609	0.02623518	Yes	
row_1	CFTR	NNN	838	0.8044767379760742	0.041801568	Yes	
row_2	CLVS1	NNN	1021	0.7635604739189148	0.06246617	Yes	
row_3	CHRM4	NNN	1165	0.7327194809913635	0.0828353	Yes	
row_4	ACRV1	NNN	2531	0.5963748097419739	0.07814202	Yes	
row_5	PACRG	NNN	2678	0.5808877944946289	0.09373438	Yes	
row_6	TKTL1	NNN	2820	0.5716921091079712	0.109125726	Yes	
row_7	YBX2	NNN	2900	0.5661244988441467	0.12540005	Yes	
row_8	ACRBP	NNN	3034	0.5536627173423767	0.14036652	Yes	
row_9	ACE	NNN	3211	0.5448805093765259	0.1543271	Yes	
row_10	GFI1	NNN	3721	0.5151876211166382	0.1616903	Yes	
row_11	MTNR1A	NNN	3919	0.5012068152427673	0.17393377	Yes	
row_12	NEFH	NNN	5579	0.4601156413555145	0.15999074	Yes	
row_13	STAM2	NNN	5972	0.44042468070983887	0.16702029	Yes	
row_14	GSTM3	NNN	6606	0.41363006830215454	0.16911003	Yes	
row_15	TEKT2	NNN	6786	0.4062172472476959	0.17870368	Yes	
row_16	LPIN1	NNN	6817	0.40469974279403687	0.19078858	Yes	
row_17	IL12RB2	NNN	6913	0.40047314763069153	0.20163454	Yes	
row_18	BRAF	NNN	7266	0.3870745301246643	0.20768505	Yes	
row_19	NCAPH	NNN	7379	0.3818638324737549	0.21766219	Yes	
row_20	SPATA6	NNN	7420	0.3806644678115845	0.22882862	Yes	
row_21	DBF4	NNN	7783	0.36904990673065186	0.23414777	Yes	
row_22	PIAS2	NNN	8194	0.3582283854484558	0.23831236	Yes	
row_23	TOPBP1	NNN	8212	0.357665479183197	0.24915482	Yes	
row_24	SYCP1	NNN	8415	0.3509400188922882	0.25663617	Yes	
row_25	STRBP	NNN	8642	0.3498871326446533	0.26367587	Yes	
row_26	MTOR	NNN	8923	0.3426416218280792	0.26957008	Yes	
row_27	IL13RA2	NNN	9694	0.3279237151145935	0.26665828	Yes	
row_28	CCT6B	NNN	10124	0.32471388578414917	0.26945603	Yes	
row_29	IDE	NNN	10200	0.32234323024749756	0.278211	Yes	
row_30	TTK	NNN	10275	0.32045358419418335	0.28692415	Yes	
row_31	ZC3H14	NNN	10699	0.31139373779296875	0.28940958	Yes	
row_32	TULP2	NNN	11078	0.3009713888168335	0.29233724	Yes	
row_33	MAP7	NNN	11262	0.2957962155342102	0.29842597	Yes	
row_34	RAD17	NNN	11468	0.2894262969493866	0.30394164	Yes	
row_35	MAST2	NNN	11620	0.2851118743419647	0.310243	Yes	
row_36	PRKAR2A	NNN	11937	0.2773071229457855	0.31349042	Yes	
row_37	DNAJB8	NNN	12421	0.27401089668273926	0.3137901	Yes	
row_38	RPL39L	NNN	12453	0.27401089668273926	0.32179037	Yes	
row_39	ADAD1	NNN	12540	0.27401089668273926	0.3288536	Yes	
row_40	SNAP91	NNN	12730	0.27401089668273926	0.3341621	Yes	
row_41	GAD1	NNN	14068	0.27182355523109436	0.3198444	Yes	
row_42	LDHC	NNN	14172	0.2690047323703766	0.3264622	Yes	
row_43	MLLT10	NNN	14761	0.25405845046043396	0.32435203	Yes	
row_44	COIL	NNN	14934	0.25030526518821716	0.3292123	Yes	
row_45	SHE	NNN	15208	0.24351374804973602	0.3321405	Yes	
row_46	JAM3	NNN	15688	0.23430611193180084	0.33127254	Yes	
row_47	PGS1	NNN	15705	0.23387642204761505	0.3382792	Yes	
row_48	CHFR	NNN	15774	0.2319808304309845	0.34434095	Yes	
row_49	AGFG1	NNN	15857	0.22977694869041443	0.3500956	Yes	
row_50	PHKG2	NNN	16115	0.2234756499528885	0.3526727	Yes	
row_51	SLC12A2	NNN	16300	0.21911737322807312	0.3563578	Yes	
row_52	CDK1	NNN	16670	0.21035729348659515	0.35661852	Yes	
row_53	NEK2	NNN	17178	0.1971643716096878	0.35411754	Yes	
row_54	KIF2C	NNN	17332	0.19441914558410645	0.3575621	Yes	
row_55	BUB1	NNN	17379	0.19350942969322205	0.36280125	Yes	
row_56	EZH2	NNN	17430	0.1920156180858612	0.36792576	Yes	
row_57	IP6K1	NNN	17606	0.18826043605804443	0.3708038	Yes	
row_58	ADAM2	NNN	17742	0.18703335523605347	0.37432516	Yes	
row_59	MEP1B	NNN	18071	0.18119102716445923	0.37437657	Yes	
row_60	SIRT1	NNN	18081	0.18096637725830078	0.3798557	Yes	
row_61	VDAC3	NNN	18192	0.17843051254749298	0.38353518	Yes	
row_62	SLC2A5	NNN	18702	0.16598358750343323	0.38002965	Yes	
row_63	CLGN	NNN	18710	0.16587752103805542	0.3850732	Yes	
row_64	PEBP1	NNN	18715	0.16576416790485382	0.39016435	Yes	
row_65	CLPB	NNN	18874	0.1620725840330124	0.39251694	Yes	
row_66	TNNI3	NNN	18875	0.1620459258556366	0.3975605	Yes	
row_67	RFC4	NNN	19102	0.156678706407547	0.39858675	Yes	
row_68	GSG1	NNN	19283	0.15271209180355072	0.4002732	Yes	
row_69	NPHP1	NNN	19537	0.14685314893722534	0.40053365	Yes	
row_70	THEG	NNN	19768	0.14311310648918152	0.4010695	Yes	
row_71	PHF7	NNN	19861	0.14097176492214203	0.40388978	Yes	
row_72	DDX4	NNN	20092	0.1349998265504837	0.4041731	Yes	
row_73	PCSK1N	NNN	20241	0.13060599565505981	0.40571672	Yes	
row_74	CCNB2	NNN	20259	0.12979334592819214	0.4094668	Yes	
row_75	ACTL7B	NNN	20343	0.12810255587100983	0.41203988	Yes	
row_76	CDKN3	NNN	20819	0.11742892116308212	0.40760237	Yes	
row_77	MLF1	NNN	20995	0.11296076327562332	0.40813676	Yes	
row_78	GRM8	NNN	21119	0.10990959405899048	0.40946212	Yes	
row_79	IFT88	NNN	21174	0.1091255322098732	0.4119386	Yes	
row_80	ZC2HC1C	NNN	21235	0.10756418853998184	0.41426426	Yes	
row_81	GPR182	NNN	21747	0.09450019150972366	0.40849978	No	
row_82	OAZ3	NNN	22033	0.08853454887866974	0.4063999	No	
row_83	AURKA	NNN	22595	0.07918725162744522	0.39930698	No	
row_84	GMCL1	NNN	22870	0.07290070503950119	0.39690793	No	
row_85	PSMG1	NNN	23510	0.06210487335920334	0.3879545	No	
row_86	HSPA4L	NNN	23518	0.061704955995082855	0.38975576	No	
row_87	TALDO1	NNN	23820	0.05230553448200226	0.3862557	No	
row_88	NF2	NNN	24391	0.03658248856663704	0.3776834	No	
row_89	PARP2	NNN	24413	0.036327607929706573	0.37845632	No	
row_90	TSN	NNN	24446	0.03537897765636444	0.3790123	No	
row_91	CSNK2A2	NNN	25338	0.008622227236628532	0.364101	No	
row_92	ARL4A	NNN	25459	0.0025122184306383133	0.36213478	No	
row_93	HBZ	NNN	27816	0.0	0.32199645	No	
row_94	PRM2	NNN	27929	0.0	0.32008836	No	
row_95	TUBA3C	NNN	31716	0.0	0.2555876	No	
row_96	CCNA1	NNN	31844	0.0	0.25342396	No	
row_97	ZNRF4	NNN	35688	0.0	0.18795213	No	
row_98	TNP1	NNN	37961	0.0	0.14924486	No	
row_99	PDHA2	NNN	39656	0.0	0.12038479	No	
row_100	NPY5R	NNN	40069	0.0	0.113365695	No	
row_101	CRISP2	NNN	40526	0.0	0.10559698	No	
row_102	PGK2	NNN	40529	0.0	0.10556291	No	
row_103	HTR5A	NNN	42063	0.0	0.07944573	No	
row_104	AKAP4	NNN	42377	0.0	0.07411326	No	
row_105	ODF1	NNN	43973	0.0	0.04693981	No	
row_106	TSSK2	NNN	45802	0.0	0.015796822	No	
row_107	GAPDHS	NNN	46770	-0.010414252057671547	-3.5347842E-4	No	
row_108	DCC	NNN	47602	-0.038429249078035355	-0.013314848	No	
row_109	SCG5	NNN	48344	-0.06542828679084778	-0.023902593	No	
row_110	HSPA2	NNN	48624	-0.07657544314861298	-0.026272463	No	
row_111	SCG3	NNN	48650	-0.07741142064332962	-0.024289003	No	
row_112	PAPOLB	NNN	49285	-0.09175170958042145	-0.03223453	No	
row_113	CST8	NNN	49611	-0.09175170958042145	-0.034915734	No	
row_114	NOS1	NNN	50023	-0.1063338965177536	-0.03860823	No	
row_115	DPEP3	NNN	50195	-0.10990959405899048	-0.038100637	No	
row_116	ART3	NNN	51052	-0.1465725600719452	-0.04812204	No	
row_117	POMC	NNN	52810	-0.23670068383216858	-0.070688285	No	
row_118	TNP2	NNN	52974	-0.23670068383216858	-0.066098124	No	
row_119	ELOVL3	NNN	53183	-0.2500753402709961	-0.06185833	No	
row_120	DMC1	NNN	53444	-0.27067479491233826	-0.0578633	No	
