NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LEFTY2	NNN	1345	0.7043094038963318	0.027610395	Yes	
row_1	BCAR3	NNN	2031	0.6456416845321655	0.062243816	Yes	
row_2	TGFBR1	NNN	2157	0.6305343508720398	0.10532185	Yes	
row_3	HIPK2	NNN	2713	0.5789564847946167	0.1373862	Yes	
row_4	TRIM33	NNN	3848	0.506776750087738	0.15442483	Yes	
row_5	TGIF1	NNN	4591	0.48177120089530945	0.17634015	Yes	
row_6	ENG	NNN	4890	0.4719611406326294	0.20510624	Yes	
row_7	APC	NNN	5660	0.4558423161506653	0.22470327	Yes	
row_8	CTNNB1	NNN	6257	0.4276553690433502	0.24522287	Yes	
row_9	TJP1	NNN	7462	0.3787514567375183	0.25189206	Yes	
row_10	ACVR1	NNN	7838	0.3668341636657715	0.27181125	Yes	
row_11	BMPR1A	NNN	7947	0.363781213760376	0.29605424	Yes	
row_12	ARID4B	NNN	8661	0.34960615634918213	0.30898768	Yes	
row_13	BMPR2	NNN	8892	0.3435114622116089	0.3297018	Yes	
row_14	MAP3K7	NNN	8950	0.34201374650001526	0.35325193	Yes	
row_15	CDH1	NNN	8965	0.34157997369766235	0.37750253	Yes	
row_16	PPM1A	NNN	9275	0.33147692680358887	0.3960098	Yes	
row_17	SMAD3	NNN	11619	0.2851143181324005	0.3765872	Yes	
row_18	SMAD1	NNN	14127	0.27039414644241333	0.35331905	Yes	
row_19	KLF10	NNN	14313	0.26549533009529114	0.3692056	Yes	
row_20	XIAP	NNN	14461	0.2617914378643036	0.38547313	Yes	
row_21	FNTA	NNN	14494	0.26115497946739197	0.40365162	Yes	
row_22	SPTBN1	NNN	14793	0.2533940374851227	0.41674805	Yes	
row_23	IFNGR2	NNN	15279	0.24326756596565247	0.42593688	Yes	
row_24	SMURF1	NNN	16212	0.22102810442447662	0.4259262	Yes	
row_25	SKI	NNN	16743	0.2085646241903305	0.4318615	Yes	
row_26	SKIL	NNN	17388	0.1932220757007599	0.43475726	Yes	
row_27	ID3	NNN	17592	0.18842579424381256	0.44481224	Yes	
row_28	NCOR2	NNN	18791	0.1640537977218628	0.43619123	Yes	
row_29	ID2	NNN	19433	0.1495523750782013	0.43600723	Yes	
row_30	HDAC1	NNN	19474	0.14831970632076263	0.44596013	Yes	
row_31	SERPINE1	NNN	19849	0.141536682844162	0.44974416	Yes	
row_32	FKBP1A	NNN	20360	0.1278844028711319	0.45023552	Yes	
row_33	CDK9	NNN	20407	0.12692996859550476	0.45855287	Yes	
row_34	PPP1CA	NNN	21415	0.10306033492088318	0.4488087	No	
row_35	FURIN	NNN	21537	0.09994009137153625	0.453915	No	
row_36	RAB31	NNN	21998	0.08964719623327255	0.45251575	No	
row_37	THBS1	NNN	22060	0.08796066790819168	0.45778406	No	
row_38	SLC20A1	NNN	22596	0.079186350107193	0.4543588	No	
row_39	UBE2D3	NNN	23209	0.06383217871189117	0.44852266	No	
row_40	WWTR1	NNN	25098	0.016778523102402687	0.4176036	No	
row_41	RHOA	NNN	25496	3.588911786209792E-4	0.4108749	No	
row_42	SMURF2	NNN	46690	-0.0062792557291686535	0.050752737	No	
row_43	LTBP2	NNN	47407	-0.03232375159859657	0.040888276	No	
row_44	BMP2	NNN	48338	-0.06516167521476746	0.029737111	No	
row_45	SMAD6	NNN	48918	-0.08784075826406479	0.026183698	No	
row_46	ID1	NNN	49887	-0.10060198605060577	0.016926825	No	
row_47	CDKN1C	NNN	51003	-0.14429108798503876	0.008301125	No	
row_48	TGFB1	NNN	51169	-0.15231028199195862	0.0164134	No	
row_49	PMEPA1	NNN	51545	-0.1670989990234375	0.022013035	No	
row_50	JUNB	NNN	51629	-0.1706787645816803	0.032837324	No	
row_51	PPP1R15A	NNN	51726	-0.17599627375602722	0.043821663	No	
row_52	NOG	NNN	57402	-0.4798625111579895	-0.01832868	No	
row_53	SMAD7	NNN	57867	-0.5940662026405334	0.016367188	No	
