NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KIT	NNN	475	0.9137200117111206	0.015305946	Yes	
row_1	SCN8A	NNN	752	0.8311423659324646	0.03188787	Yes	
row_2	ARHGEF9	NNN	1488	0.6910239458084106	0.037060767	Yes	
row_3	APBB2	NNN	2178	0.6290350556373596	0.04142998	Yes	
row_4	CACNA1A	NNN	2207	0.6244013905525208	0.0569431	Yes	
row_5	MAP1B	NNN	2647	0.5832636952400208	0.06439983	Yes	
row_6	ADD3	NNN	3123	0.5476951003074646	0.0703323	Yes	
row_7	VLDLR	NNN	3480	0.5322496294975281	0.07789683	Yes	
row_8	HAS2	NNN	3564	0.5268844366073608	0.08997552	Yes	
row_9	PRDM2	NNN	3669	0.519016683101654	0.10149492	Yes	
row_10	INSIG1	NNN	3899	0.5026999115943909	0.11046663	Yes	
row_11	AGGF1	NNN	4097	0.4911472201347351	0.11968773	Yes	
row_12	ATXN1	NNN	4119	0.49007299542427063	0.13188012	Yes	
row_13	TGFBR3	NNN	4123	0.4898701310157776	0.14437401	Yes	
row_14	VAV2	NNN	4913	0.47090619802474976	0.14298986	Yes	
row_15	PLPP3	NNN	5482	0.46328774094581604	0.14517616	Yes	
row_16	IGFBP5	NNN	6062	0.4360755980014801	0.14647816	Yes	
row_17	PIAS3	NNN	6098	0.43485936522483826	0.15701805	Yes	
row_18	SFMBT1	NNN	6188	0.430463582277298	0.16652529	Yes	
row_19	PRKAR2B	NNN	6201	0.4300634264945984	0.17733425	Yes	
row_20	BDNF	NNN	6286	0.42642825841903687	0.18682334	Yes	
row_21	PRKCA	NNN	6428	0.4211081266403198	0.19520497	Yes	
row_22	FZD2	NNN	6438	0.4205450117588043	0.2058213	Yes	
row_23	CDK13	NNN	6491	0.41805335879325867	0.21564116	Yes	
row_24	ADGRL2	NNN	6517	0.41724008321762085	0.22590023	Yes	
row_25	IGF1R	NNN	6660	0.4116422235965729	0.23402242	Yes	
row_26	ATP2B1	NNN	6789	0.40617385506629944	0.24224311	Yes	
row_27	AMPH	NNN	6930	0.40008407831192017	0.25010338	Yes	
row_28	NIPBL	NNN	6934	0.4000624716281891	0.26029742	Yes	
row_29	PHF3	NNN	7035	0.39486512541770935	0.26870558	Yes	
row_30	DDAH1	NNN	7368	0.38221362233161926	0.2728368	Yes	
row_31	ATRN	NNN	7440	0.38003209233283997	0.28135923	Yes	
row_32	TJP1	NNN	7462	0.3787514567375183	0.29070082	Yes	
row_33	NEK7	NNN	7588	0.3745613098144531	0.29816306	Yes	
row_34	NR1D2	NNN	7750	0.37047672271728516	0.30490732	Yes	
row_35	BMPR1A	NNN	7947	0.363781213760376	0.31088376	Yes	
row_36	GCNT1	NNN	8124	0.36017945408821106	0.31710872	Yes	
row_37	ZMIZ1	NNN	8188	0.35836130380630493	0.3252125	Yes	
row_38	ATRX	NNN	8637	0.3499910235404968	0.32654205	Yes	
row_39	WDR37	NNN	8718	0.3489556908607483	0.3341153	Yes	
row_40	SLC7A1	NNN	8976	0.3409969210624695	0.3384689	Yes	
row_41	LAMC1	NNN	8980	0.34085723757743835	0.34714675	Yes	
row_42	CDC42BPA	NNN	9288	0.33107614517211914	0.35039434	Yes	
row_43	PIK3R3	NNN	9357	0.32860344648361206	0.35765088	Yes	
row_44	LDLR	NNN	9384	0.32809585332870483	0.36561003	Yes	
row_45	SYNJ2	NNN	10048	0.3265339732170105	0.36267555	Yes	
row_46	SCAF8	NNN	10216	0.3219437599182129	0.3680747	Yes	
row_47	PDGFRB	NNN	10246	0.3211130201816559	0.37580392	Yes	
row_48	PTPN21	NNN	10268	0.32055872678756714	0.38365525	Yes	
row_49	RASA2	NNN	10396	0.31752103567123413	0.38962266	Yes	
row_50	SIPA1L1	NNN	10534	0.3162236511707306	0.3953865	Yes	
row_51	ICA1	NNN	10792	0.30811554193496704	0.39889804	Yes	
row_52	AKT3	NNN	10958	0.3037016689777374	0.40386412	Yes	
