NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL15	NNN	719	0.7491977214813232	0.0057595917	No	
row_1	TLR2	NNN	1492	0.6105151176452637	0.0072792866	No	
row_2	SIT1	NNN	1703	0.5743763446807861	0.017514387	No	
row_3	NCF4	NNN	2282	0.5051778554916382	0.019808806	No	
row_4	TLR1	NNN	2941	0.47008824348449707	0.019894775	No	
row_5	CD3E	NNN	3190	0.4652908444404602	0.026857754	No	
row_6	FGR	NNN	3295	0.464850515127182	0.036266014	No	
row_7	GCNT1	NNN	3844	0.4189060926437378	0.03699681	No	
row_8	IFNAR2	NNN	4105	0.395256906747818	0.042070474	No	
row_9	CD247	NNN	4621	0.3641464114189148	0.042046838	No	
row_10	GPR65	NNN	4982	0.3509400188922882	0.044348996	No	
row_11	CCL11	NNN	5004	0.3509400188922882	0.052432682	No	
row_12	IL1B	NNN	5129	0.3452533185482025	0.058622945	No	
row_13	C2	NNN	5175	0.34260115027427673	0.06609673	No	
row_14	PRKCG	NNN	5251	0.3365728259086609	0.07291386	No	
row_15	TRAT1	NNN	5521	0.3279237151145935	0.076214336	No	
row_16	STAB1	NNN	6880	0.28135979175567627	0.059822198	No	
row_17	IL18RAP	NNN	7240	0.27401089668273926	0.060290884	No	
row_18	CD80	NNN	7345	0.27401089668273926	0.06510851	No	
row_19	SPI1	NNN	9036	0.25964629650115967	0.042531904	No	
row_20	IL27RA	NNN	9048	0.2588871717453003	0.048571814	No	
row_21	IFNGR1	NNN	9770	0.2312491536140442	0.041838083	No	
row_22	APBB1	NNN	9830	0.22905689477920532	0.046341807	No	
row_23	BCL3	NNN	9958	0.2231561243534088	0.049543865	No	
row_24	EIF4G3	NNN	9974	0.2222527265548706	0.054634318	No	
row_25	ST8SIA4	NNN	10257	0.21360094845294952	0.05496306	No	
row_26	DYRK3	NNN	10357	0.20959535241127014	0.058316447	No	
row_27	WAS	NNN	10610	0.1989389955997467	0.058804136	No	
row_28	CD86	NNN	10689	0.19594267010688782	0.06218726	No	
row_29	ABI1	NNN	10811	0.1927822381258011	0.064761005	No	
row_30	JAK2	NNN	10927	0.18992513418197632	0.06736835	No	
row_31	CD47	NNN	11382	0.17971758544445038	0.06394863	No	
row_32	IL2RB	NNN	11400	0.17931272089481354	0.06797206	No	
row_33	ACHE	NNN	11536	0.17478443682193756	0.0698741	No	
row_34	LY75	NNN	11798	0.16647909581661224	0.069427475	No	
row_35	EIF3A	NNN	12093	0.15713220834732056	0.06819321	No	
row_36	CTSS	NNN	12274	0.15225210785865784	0.06878579	No	
row_37	CD8B	NNN	12294	0.15176373720169067	0.07211241	No	
row_38	CXCR3	NNN	12473	0.1456678956747055	0.07258071	No	
row_39	IL12A	NNN	12689	0.14164043962955475	0.07232111	No	
row_40	MAP3K7	NNN	13369	0.12272299826145172	0.063693084	No	
row_41	HCLS1	NNN	13480	0.12036959081888199	0.064712554	No	
row_42	IL4R	NNN	13508	0.11959287524223328	0.067128874	No	
row_43	TGFB2	NNN	13612	0.11748155206441879	0.068198256	No	
row_44	IFNGR2	NNN	14584	0.09397439658641815	0.053898726	No	
row_45	SOCS5	NNN	14618	0.09325104206800461	0.05557907	No	
row_46	PRKCB	NNN	14659	0.09276050329208374	0.05712823	No	
row_47	IL4	NNN	14891	0.08757489174604416	0.05529521	No	
row_48	CFP	NNN	15061	0.08358974754810333	0.054423716	No	
row_49	ICOSLG	NNN	15490	0.07838830351829529	0.049009945	No	
row_50	NCK1	NNN	15690	0.07449856400489807	0.047408126	No	
row_51	ACVR2A	NNN	15693	0.07443786412477493	0.04916461	No	
row_52	IL11	NNN	15724	0.07374192029237747	0.05042683	No	
row_53	BRCA1	NNN	16466	0.06234023720026016	0.039288916	No	
row_54	GLMN	NNN	16549	0.06065857782959938	0.03934957	No	
row_55	RPL9	NNN	16780	0.055664487183094025	0.036766004	No	
row_56	CDKN2A	NNN	16924	0.05198291689157486	0.035577632	No	
row_57	RPS9	NNN	17337	0.043078724294900894	0.029587368	No	
row_58	STAT1	NNN	17384	0.042599763721227646	0.029827587	No	
row_59	CD7	NNN	17462	0.04069315642118454	0.029493248	No	
row_60	HIF1A	NNN	17470	0.040534522384405136	0.030348921	No	
row_61	CD79A	NNN	17525	0.03960898146033287	0.03038076	No	
row_62	ICAM1	NNN	17855	0.033189304172992706	0.025568143	No	
row_63	IRF4	NNN	18338	0.02352272719144821	0.017913634	No	
row_64	INHBB	NNN	18416	0.021884087473154068	0.017126845	No	
row_65	F2R	NNN	18518	0.019433647394180298	0.015871799	No	
row_66	MRPL3	NNN	18871	0.012146668508648872	0.010160745	No	
row_67	CD4	NNN	18939	0.010745665989816189	0.009276569	No	
row_68	RIPK2	NNN	18982	0.009960159659385681	0.008799864	No	
row_69	CARTPT	NNN	19840	0.0	-0.0058159805	No	
