NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLCO2A1	NNN	4886	0.3509400188922882	-0.04009545	No	
row_1	POSTN	NNN	5813	0.3279237151145935	-0.01565777	No	
row_2	MSX1	NNN	9066	0.2580775022506714	-0.039341718	No	
row_3	VEGFA	NNN	9231	0.25103867053985596	-0.011365919	No	
row_4	SPP1	NNN	9806	0.22954660654067993	0.007002489	No	
row_5	LPL	NNN	11092	0.18703335523605347	0.008067759	No	
row_6	VAV2	NNN	11217	0.1854977309703827	0.02869175	No	
row_7	VCAN	NNN	11733	0.1680791974067688	0.04053073	No	
row_8	COL5A2	NNN	12938	0.1351589560508728	0.0366164	No	
row_9	PRG2	NNN	13058	0.13146081566810608	0.050703123	No	
row_10	APP	NNN	14468	0.09686373174190521	0.038608897	No	
row_11	ITGAV	NNN	14598	0.09372980147600174	0.047901537	No	
row_12	FGFR1	NNN	15658	0.0752473995089531	0.039111186	No	
row_13	PDGFA	NNN	16843	0.05397408828139305	0.02558769	No	
row_14	APOH	NNN	18682	0.015942087396979332	-0.0037202758	No	
row_15	LRPAP1	NNN	19278	0.002410616958513856	-0.013544931	No	
row_16	PTK2	NNN	19327	5.84112131036818E-4	-0.014289757	No	
row_17	COL3A1	NNN	34503	0.0	-0.27239433	No	
row_18	JAG1	NNN	39947	-0.006269235163927078	-0.3642035	No	
row_19	TNFRSF21	NNN	40445	-0.01773049682378769	-0.37048385	No	
row_20	JAG2	NNN	42404	-0.05856931582093239	-0.3966088	No	
row_21	TIMP1	NNN	45690	-0.11917965114116669	-0.4378762	Yes	
row_22	VTN	NNN	45704	-0.11944522708654404	-0.42345908	Yes	
row_23	PGLYRP1	NNN	47730	-0.17397892475128174	-0.43657997	Yes	
row_24	LUM	NNN	47742	-0.1744765043258667	-0.41538468	Yes	
row_25	S100A4	NNN	50813	-0.2887788712978363	-0.4322106	Yes	
row_26	KCNJ8	NNN	51112	-0.30291682481765747	-0.40015617	Yes	
row_27	CXCL6	NNN	52090	-0.34723180532455444	-0.3742197	Yes	
row_28	OLR1	NNN	53074	-0.3571428656578064	-0.34717065	Yes	
row_29	THBD	NNN	55043	-0.4271390736103058	-0.32829687	Yes	
row_30	NRP1	NNN	55461	-0.4494037926197052	-0.28031427	Yes	
row_31	PF4	NNN	55525	-0.4545454680919647	-0.22568052	Yes	
row_32	FSTL1	NNN	55907	-0.47553226351737976	-0.17388351	Yes	
row_33	SERPINA5	NNN	55913	-0.4760548174381256	-0.11562727	Yes	
row_34	STC1	NNN	56928	-0.6062784790992737	-0.058573507	Yes	
row_35	CCND2	NNN	58049	-0.7416435480117798	0.013266557	Yes	
