NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DSC3	NNN	812	0.717431366443634	0.0048203743	No	
row_1	ACTC1	NNN	919	0.6977837681770325	0.02116968	No	
row_2	CLDN19	NNN	949	0.6916180849075317	0.03867171	No	
row_3	LAYN	NNN	3189	0.4652908444404602	0.0125949625	No	
row_4	ITGA10	NNN	3986	0.4059402346611023	0.009582888	No	
row_5	SPEG	NNN	4005	0.40409088134765625	0.019790767	No	
row_6	SLIT2	NNN	4058	0.3999209403991699	0.0293103	No	
row_7	CDH3	NNN	4247	0.3860469460487366	0.036149465	No	
row_8	CDH4	NNN	4427	0.375144898891449	0.042858433	No	
row_9	NF1	NNN	4747	0.35835352540016174	0.046742897	No	
row_10	CLDN7	NNN	5077	0.3494282066822052	0.05022458	No	
row_11	MADCAM1	NNN	5183	0.34209752082824707	0.057335623	No	
row_12	CDH8	NNN	5875	0.3279237151145935	0.05408416	No	
row_13	AKT3	NNN	6756	0.28843986988067627	0.046582066	No	
row_14	DSC1	NNN	8512	0.27401089668273926	0.023782197	No	
row_15	CD209	NNN	8603	0.27401089668273926	0.029377371	No	
row_16	CD274	NNN	8735	0.2725887596607208	0.03423632	No	
row_17	SGCE	NNN	9364	0.24413126707077026	0.0298789	No	
row_18	ARHGEF6	NNN	9530	0.23942072689533234	0.033294946	No	
row_19	SIRPA	NNN	10231	0.21452845633029938	0.026939336	No	
row_20	CD86	NNN	10689	0.19594267010688782	0.024244247	No	
row_21	TGFBI	NNN	10774	0.19401194155216217	0.02786009	No	
row_22	AMIGO1	NNN	10886	0.19083969295024872	0.03093293	No	
row_23	VAV2	NNN	11217	0.1854977309703827	0.030131921	No	
row_24	CDK8	NNN	11319	0.18195602297782898	0.03314414	No	
row_25	RASA1	NNN	11328	0.18179215490818024	0.03773812	No	
row_26	PBX2	NNN	11520	0.1750868707895279	0.03903673	No	
row_27	VCAN	NNN	11733	0.1680791974067688	0.03979485	No	
row_28	TMEM8B	NNN	11978	0.16045647859573364	0.039808895	No	
row_29	HADH	NNN	11992	0.16012707352638245	0.043753862	No	
row_30	ITGA2	NNN	12069	0.15778250992298126	0.04656341	No	
row_31	TSC1	NNN	12154	0.15529575943946838	0.04917182	No	
row_32	SLC30A3	NNN	12233	0.15318743884563446	0.05182769	No	
row_33	MAP4K2	NNN	12397	0.14817367494106293	0.052903507	No	
row_34	CLDN15	NNN	12658	0.14241616427898407	0.052175257	No	
row_35	EVL	NNN	12952	0.1349998265504837	0.050691243	No	
row_36	TAOK2	NNN	12981	0.13430123031139374	0.053708382	No	
row_37	THBS3	NNN	13091	0.13062812387943268	0.055248562	No	
