NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MGMT	NNN	972	0.6833436489105225	0.006817212	No	
row_1	CLU	NNN	1469	0.6147316694259644	0.019399652	No	
row_2	EGR3	NNN	1888	0.5479551553726196	0.03102643	No	
row_3	PPP2R5B	NNN	2765	0.47792062163352966	0.032450207	No	
row_4	CDKN1A	NNN	2793	0.4749082326889038	0.048241664	No	
row_5	NEFH	NNN	3480	0.45119091868400574	0.051989187	No	
row_6	SATB1	NNN	3484	0.4504885673522949	0.06735405	No	
row_7	IL1B	NNN	5129	0.3452533185482025	0.051147707	No	
row_8	BTG2	NNN	6596	0.2983871102333069	0.036371488	No	
row_9	CASP4	NNN	8877	0.26777446269989014	0.006673472	No	
row_10	BGN	NNN	9138	0.25519976019859314	0.010975002	No	
row_11	CFLAR	NNN	9544	0.23886452615261078	0.012246082	No	
row_12	IL1A	NNN	9614	0.23781058192253113	0.01920804	No	
row_13	CYLD	NNN	9732	0.23321521282196045	0.025194608	No	
row_14	IFNGR1	NNN	9770	0.2312491536140442	0.032477453	No	
row_15	BCL2L10	NNN	9838	0.22861075401306152	0.039158676	No	
row_16	SAT1	NNN	9913	0.2250794619321823	0.045599747	No	
row_17	BTG3	NNN	9930	0.22408577799797058	0.05299539	No	
row_18	HSPB1	NNN	9973	0.22226554155349731	0.05988559	No	
row_19	PLCB2	NNN	10158	0.21667824685573578	0.06416427	No	
row_20	TNFRSF12A	NNN	10307	0.21200688183307648	0.068896696	No	
row_21	CD38	NNN	10449	0.2055739164352417	0.0735283	No	
row_22	ROCK1	NNN	10566	0.2007031887769699	0.07841932	No	
row_23	CTH	NNN	10743	0.19515477120876312	0.08209781	No	
row_24	CDKN1B	NNN	11782	0.1669694036245346	0.07011943	No	
row_25	IGF2R	NNN	11955	0.16151799261569977	0.07271503	No	
row_26	CTNNB1	NNN	11966	0.16106434166431427	0.07805631	No	
row_27	PPP3R1	NNN	12461	0.1460171490907669	0.07463314	No	
row_28	JUN	NNN	12822	0.1382191926240921	0.07322707	No	
row_29	WEE1	NNN	13149	0.12895174324512482	0.07208338	No	
row_30	GPX3	NNN	13274	0.12541517615318298	0.07426164	No	
row_31	TGFB2	NNN	13612	0.11748155206441879	0.07253794	No	
row_32	PEA15	NNN	13709	0.11455916613340378	0.074821964	No	
row_33	PAK1	NNN	13849	0.11132873594760895	0.07626252	No	
row_34	SLC20A1	NNN	14165	0.1039232537150383	0.07444982	No	
row_35	BCL2L11	NNN	14425	0.09786555916070938	0.07338432	No	
row_36	APP	NNN	14468	0.09686373174190521	0.0759832	No	
row_37	TIMP3	NNN	14596	0.09376167505979538	0.07702713	No	
row_38	CREBBP	NNN	15006	0.08472464233636856	0.072955266	No	
row_39	SC5D	NNN	15497	0.0782979428768158	0.06728287	No	
row_40	GSN	NNN	15889	0.0698714330792427	0.06300952	No	
row_41	DAP3	NNN	15981	0.06765604764223099	0.06377371	No	
row_42	BMP2	NNN	16096	0.06516071408987045	0.06406048	No	
row_43	XIAP	NNN	16097	0.06515917927026749	0.06629027	No	
row_44	CD69	NNN	16325	0.06329931318759918	0.06458731	No	
row_45	BRCA1	NNN	16466	0.06234023720026016	0.0643344	No	
row_46	LEF1	NNN	16508	0.061397939920425415	0.06573666	No	
row_47	SQSTM1	NNN	16652	0.05804555490612984	0.06528565	No	
row_48	TOP2A	NNN	16772	0.05580383166670799	0.065166995	No	
row_49	DDIT3	NNN	16805	0.05494505539536476	0.066501826	No	
row_50	MCL1	NNN	16925	0.051956724375486374	0.066251524	No	
row_51	RHOT2	NNN	17172	0.0467635877430439	0.06365886	No	
row_52	DNAJA1	NNN	17324	0.04338787496089935	0.06256991	No	
row_53	PDCD4	NNN	17444	0.04103504866361618	0.06194586	No	
row_54	RELA	NNN	17638	0.03741464763879776	0.059936624	No	
row_55	TXNIP	NNN	17842	0.03345427289605141	0.05762142	No	
row_56	PSEN1	NNN	17902	0.032511211931705475	0.05772835	No	
row_57	BCL2L2	NNN	18377	0.02276289276778698	0.050428227	No	
row_58	DFFA	NNN	18456	0.02081756293773651	0.049811143	No	
row_59	F2R	NNN	18518	0.019433647394180298	0.049436465	No	
row_60	PPT1	NNN	18550	0.01876172609627247	0.049550124	No	
row_61	DNM1L	NNN	18648	0.01673419028520584	0.04846946	No	
row_62	RHOB	NNN	18790	0.01382722333073616	0.046539366	No	
row_63	GPX1	NNN	19185	0.005013182759284973	0.03999539	No	
row_64	NEDD9	NNN	19190	0.0049684010446071625	0.040097237	No	
row_65	DIABLO	NNN	19194	0.004942251835018396	0.04021523	No	
row_66	SOD1	NNN	19271	0.0025657943915575743	0.039007653	No	
row_67	GADD45A	NNN	19310	0.0013742361916229129	0.03840699	No	
row_68	DNAJC3	NNN	19323	7.522190571762621E-4	0.038228195	No	
row_69	PTK2	NNN	19327	5.84112131036818E-4	0.03819705	No	
row_70	ETF1	NNN	20200	0.0	0.023334261	No	
row_71	PLPPR4	NNN	22473	0.0	-0.015390811	No	
row_72	GSTM1	NNN	22535	0.0	-0.016430525	No	
row_73	CD2	NNN	22595	0.0	-0.017436149	No	
row_74	AVPR1A	NNN	29609	0.0	-0.13696912	No	
row_75	IFNB1	NNN	39404	0.0	-0.3039028	No	
row_76	BNIP3L	NNN	39738	-2.0105352450627834E-4	-0.30957174	No	
row_77	ERBB3	NNN	39868	-0.003962195012718439	-0.3116349	No	
row_78	DAP	NNN	40021	-0.007878978736698627	-0.31395605	No	
row_79	SPTAN1	NNN	40032	-0.008169020526111126	-0.31384695	No	
row_80	MADD	NNN	40377	-0.016306450590491295	-0.3191522	No	
row_81	FAS	NNN	40472	-0.018429016694426537	-0.32012376	No	
row_82	CASP7	NNN	40646	-0.022186364978551865	-0.32231322	No	
row_83	BAX	NNN	40652	-0.02224881201982498	-0.32163706	No	
row_84	RARA	NNN	40770	-0.024761231616139412	-0.32278392	No	
row_85	LGALS3	NNN	40826	-0.025814741849899292	-0.32283798	No	
row_86	SOD2	NNN	41014	-0.029916444793343544	-0.32500154	No	
row_87	IRF1	NNN	41048	-0.03068425878882408	-0.32451397	No	
row_88	PDGFRB	NNN	41204	-0.03356822952628136	-0.32600713	No	
row_89	ERBB2	NNN	41284	-0.03524705767631531	-0.32614747	No	
row_90	TAP1	NNN	41505	-0.03953148052096367	-0.32854447	No	
row_91	HMGB2	NNN	41775	-0.04547656327486038	-0.3315732	No	
row_92	ENO2	NNN	41910	-0.04815370589494705	-0.33220932	No	
row_93	TGFBR3	NNN	41940	-0.048725638538599014	-0.33103618	No	
row_94	ADD1	NNN	42207	-0.05422132462263107	-0.33371451	No	
row_95	TSPO	NNN	42307	-0.0564604252576828	-0.3334698	No	
row_96	GCH1	NNN	42489	-0.06032482534646988	-0.3344905	No	
row_97	GNA15	NNN	42632	-0.06329931318759918	-0.3347447	No	
row_98	IFITM3	NNN	43330	-0.07873065024614334	-0.34393048	No	
row_99	ANKH	NNN	43378	-0.07974279671907425	-0.34200272	No	
row_100	PSEN2	NNN	43440	-0.0812261626124382	-0.34026283	No	
row_101	BCAP31	NNN	43483	-0.08218277245759964	-0.33816636	No	
row_102	DPYD	NNN	43641	-0.08579036593437195	-0.33790654	No	
row_103	GUCY2D	NNN	44653	-0.09632258862257004	-0.35184228	No	
row_104	RETSAT	NNN	44730	-0.09846236556768417	-0.34976822	No	
row_105	TIMP1	NNN	45690	-0.11917965114116669	-0.36203548	Yes	
row_106	CASP2	NNN	45892	-0.12290002405643463	-0.3612557	Yes	
row_107	GSR	NNN	46037	-0.1263667345046997	-0.35938576	Yes	
row_108	CDK2	NNN	46113	-0.12835940718650818	-0.35627156	Yes	
row_109	LMNA	NNN	46285	-0.134169802069664	-0.3545948	Yes	
row_110	CDC25B	NNN	46290	-0.13425278663635254	-0.35006875	Yes	
row_111	IER3	NNN	46315	-0.1349928379058838	-0.34585828	Yes	
row_112	FDXR	NNN	46428	-0.13838964700698853	-0.3430315	Yes	
row_113	GPX4	NNN	46800	-0.14767266809940338	-0.34430155	Yes	
row_114	CASP9	NNN	46828	-0.14834661781787872	-0.33968523	Yes	
row_115	AIFM3	NNN	47083	-0.15376730263233185	-0.3387525	Yes	
row_116	BIK	NNN	47287	-0.16014975309371948	-0.33673212	Yes	
row_117	BMF	NNN	47448	-0.1647891104221344	-0.33382004	Yes	
row_118	TIMP2	NNN	47475	-0.16552574932575226	-0.3285988	Yes	
row_119	LUM	NNN	47742	-0.1744765043258667	-0.32716194	Yes	
row_120	BID	NNN	47879	-0.1783992350101471	-0.32337505	Yes	
row_121	VDAC2	NNN	47898	-0.17899255454540253	-0.31755662	Yes	
row_122	ATF3	NNN	48007	-0.18149331212043762	-0.31318662	Yes	
row_123	CASP3	NNN	48050	-0.18302634358406067	-0.3076392	Yes	
row_124	CD14	NNN	48108	-0.18551017343997955	-0.30226246	Yes	
row_125	CASP1	NNN	48161	-0.1869535595178604	-0.2967511	Yes	
row_126	PRF1	NNN	48235	-0.18865759670734406	-0.29153937	Yes	
row_127	PLAT	NNN	48281	-0.1905110478401184	-0.28578696	Yes	
row_128	CASP8	NNN	48454	-0.19778873026371002	-0.28195015	Yes	
row_129	ISG20	NNN	49029	-0.2211374193429947	-0.28416625	Yes	
row_130	GADD45B	NNN	49757	-0.23945796489715576	-0.28836316	Yes	
row_131	KRT18	NNN	50618	-0.2807329297065735	-0.29341456	Yes	
row_132	TNFSF10	NNN	50950	-0.2962539792060852	-0.2889183	Yes	
row_133	EBP	NNN	51043	-0.2998283803462982	-0.28022608	Yes	
row_134	CASP6	NNN	51079	-0.30175912380218506	-0.27049625	Yes	
row_135	CCND1	NNN	51519	-0.32262560725212097	-0.26693833	Yes	
row_136	DCN	NNN	51613	-0.32845568656921387	-0.2572835	Yes	
row_137	EREG	NNN	51636	-0.32909461855888367	-0.24639665	Yes	
row_138	HMOX1	NNN	51639	-0.3293251097202301	-0.23516102	Yes	
row_139	FASLG	NNN	52113	-0.3485777974128723	-0.23129451	Yes	
row_140	IL6	NNN	52697	-0.3571428656578064	-0.22900979	Yes	
row_141	CCNA1	NNN	53150	-0.3571428656578064	-0.22449225	Yes	
row_142	BCL2L1	NNN	53619	-0.3641205430030823	-0.22000863	Yes	
row_143	CD44	NNN	53756	-0.3725603222846985	-0.20957743	Yes	
row_144	BCL10	NNN	53907	-0.3848191797733307	-0.19896536	Yes	
row_145	BIRC3	NNN	53944	-0.38915160298347473	-0.18626194	Yes	
row_146	PMAIP1	NNN	54118	-0.4004449248313904	-0.17550716	Yes	
row_147	MMP2	NNN	55032	-0.4271390736103058	-0.1764518	Yes	
row_148	CAV1	NNN	55398	-0.4420076012611389	-0.16754726	Yes	
row_149	RNASEL	NNN	55774	-0.4669530689716339	-0.1579595	Yes	
row_150	FEZ1	NNN	55809	-0.4697481095790863	-0.14246395	Yes	
row_151	IGFBP6	NNN	56049	-0.49032852053642273	-0.12975822	Yes	
row_152	HGF	NNN	56414	-0.5331801772117615	-0.117716655	Yes	
row_153	EMP1	NNN	56618	-0.5609546303749084	-0.10198047	Yes	
row_154	TNF	NNN	57074	-0.6209346055984497	-0.08848693	Yes	
row_155	F2	NNN	57107	-0.6238085627555847	-0.06768524	Yes	
row_156	ANXA1	NNN	57579	-0.6481770873069763	-0.05353216	Yes	
row_157	SMAD7	NNN	57673	-0.6633813381195068	-0.032415967	Yes	
row_158	CCND2	NNN	58049	-0.7416435480117798	-0.0134281395	Yes	
row_159	IL18	NNN	58164	-0.7804022431373596	0.0113346465	Yes	
