NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RASGRP1	NNN	20	1.4623801708221436	0.035991285	Yes	
row_1	FN1	NNN	634	0.7748678922653198	0.04478725	Yes	
row_2	HSPA1A	NNN	760	0.7310370206832886	0.060817637	Yes	
row_3	SERPINC1	NNN	1162	0.6613260507583618	0.07040859	Yes	
row_4	GP1BA	NNN	1454	0.6164491176605225	0.080760755	Yes	
row_5	CLU	NNN	1469	0.6147316694259644	0.0957948	Yes	
row_6	C1S	NNN	1484	0.6127039194107056	0.11077846	Yes	
row_7	CPQ	NNN	1535	0.6057034134864807	0.12497418	Yes	
row_8	CP	NNN	2272	0.5067777633666992	0.12501162	Yes	
row_9	SCG3	NNN	2388	0.4935460090637207	0.13531217	Yes	
row_10	PIM1	NNN	2420	0.4888407588005066	0.14692853	Yes	
row_11	GP9	NNN	2529	0.4823181927204132	0.15706953	Yes	
row_12	MMP12	NNN	2625	0.4823181927204132	0.16743226	Yes	
row_13	PCLO	NNN	2953	0.46989360451698303	0.17352928	Yes	
row_14	F5	NNN	3559	0.4416311979293823	0.17418252	Yes	
row_15	DPP4	NNN	3977	0.4069225490093231	0.17717999	Yes	
row_16	ADRA2B	NNN	4296	0.38297536969184875	0.18127106	Yes	
row_17	KCNIP2	NNN	4535	0.3688524663448334	0.18637574	Yes	
row_18	LTF	NNN	4718	0.3602963089942932	0.19222298	Yes	
row_19	GNB4	NNN	4755	0.35776805877685547	0.2004976	Yes	
row_20	C2	NNN	5175	0.34260115027427673	0.20186292	Yes	
row_21	S100A9	NNN	5433	0.3279237151145935	0.20562667	Yes	
row_22	CTSH	NNN	6316	0.31311801075935364	0.1983625	Yes	
row_23	CTSO	NNN	6562	0.30000001192092896	0.20163716	Yes	
row_24	KCNIP3	NNN	6810	0.28526729345321655	0.20451169	Yes	
row_25	C1QC	NNN	7047	0.27401089668273926	0.20729415	Yes	
row_26	PLA2G4A	NNN	7149	0.27401089668273926	0.21237922	Yes	
row_27	FCN1	NNN	7984	0.27401089668273926	0.20496213	Yes	
row_28	TFPI2	NNN	8708	0.2739259600639343	0.19943617	Yes	
row_29	CASP4	NNN	8877	0.26777446269989014	0.20322353	Yes	
row_30	SERPING1	NNN	8878	0.26775920391082764	0.20987593	Yes	
row_31	CTSV	NNN	9260	0.25036829710006714	0.20959787	Yes	
row_32	CTSL	NNN	9495	0.2407013326883316	0.2115869	Yes	
row_33	PIK3CA	NNN	10145	0.2173076868057251	0.20591642	Yes	
row_34	DUSP6	NNN	10429	0.2062850296497345	0.20621464	Yes	
row_35	SERPINE1	NNN	10581	0.20000645518302917	0.20860825	Yes	
row_36	WAS	NNN	10610	0.1989389955997467	0.21307327	Yes	
row_37	ANG	NNN	10686	0.19598980247974396	0.21666338	Yes	
row_38	HNF4A	NNN	10703	0.19563822448253632	0.22125104	Yes	
row_39	F10	NNN	10795	0.19345824420452118	0.22450535	Yes	
row_40	JAK2	NNN	10927	0.18992513418197632	0.22698964	Yes	
row_41	CD55	NNN	10947	0.18944305181503296	0.23137222	Yes	
row_42	CASP10	NNN	11432	0.1785009205341339	0.22755188	Yes	
row_43	ITIH1	NNN	11717	0.16828294098377228	0.22688888	Yes	
row_44	CFB	NNN	11931	0.1625814288854599	0.2272952	Yes	
row_45	C3	NNN	11959	0.16129031777381897	0.2308419	Yes	
row_46	PLSCR1	NNN	12010	0.15948517620563507	0.23395146	Yes	
row_47	MAFF	NNN	12049	0.15845200419425964	0.23724002	Yes	
row_48	GNG2	NNN	12212	0.1536584198474884	0.23829453	Yes	
row_49	CTSS	NNN	12274	0.15225210785865784	0.24103677	Yes	
row_50	DGKH	NNN	12393	0.1482902616262436	0.24270837	Yes	
row_51	DOCK9	NNN	12669	0.14208650588989258	0.24154805	Yes	
row_52	LRP1	NNN	12692	0.14156284928321838	0.2446899	Yes	
row_53	KLK1	NNN	12834	0.13787060976028442	0.24571033	Yes	
row_54	DYRK2	NNN	12849	0.13740886747837067	0.24888544	Yes	
row_55	CD46	NNN	13044	0.132112517952919	0.24885884	No	
row_56	CBLB	NNN	13247	0.12616661190986633	0.24854808	No	
row_57	KLKB1	NNN	13686	0.11521449685096741	0.24393997	No	
row_58	HSPA5	NNN	13715	0.11435412615537643	0.2463035	No	
row_59	CEBPB	NNN	14310	0.10034926980733871	0.23866531	No	
row_60	GMFB	NNN	14532	0.09538400918245316	0.2372657	No	
row_61	NOTCH4	NNN	14587	0.09392841905355453	0.23867829	No	
row_62	KIF2A	NNN	14943	0.08638562262058258	0.2347696	No	
row_63	MMP13	NNN	15261	0.08198890089988708	0.2313998	No	
row_64	PRDM4	NNN	15835	0.07125478237867355	0.22339696	No	
row_65	PPP2CB	NNN	15917	0.06917229294776917	0.22373398	No	
row_66	DOCK4	NNN	15996	0.06716344505548477	0.22407225	No	
row_67	GPD2	NNN	16176	0.06360279023647308	0.2225994	No	
row_68	PLA2G7	NNN	16269	0.06329931318759918	0.22260289	No	
row_69	PRCP	NNN	16558	0.06053575128316879	0.21919473	No	
row_70	USP16	NNN	16609	0.05934932082891464	0.21981643	No	
row_71	BRPF3	NNN	16618	0.05920344591140747	0.22115088	No	
row_72	ERAP2	NNN	16639	0.05837094411253929	0.22225995	No	
row_73	XPNPEP1	NNN	16735	0.056611109524965286	0.22204612	No	
row_74	AKAP10	NNN	16799	0.055038705468177795	0.222339	No	
row_75	PPP4C	NNN	16831	0.05436067283153534	0.22316083	No	
row_76	CDH13	NNN	16832	0.054304637014865875	0.22451001	No	
row_77	PRSS3	NNN	17294	0.04416094347834587	0.21774432	No	
row_78	CALM1	NNN	17406	0.0420081652700901	0.21689478	No	
row_79	USP15	NNN	17545	0.03929108753800392	0.2155172	No	
row_80	APOC1	NNN	17786	0.034402716904878616	0.21227846	No	
row_81	PSEN1	NNN	17902	0.032511211931705475	0.21112473	No	
row_82	LGMN	NNN	17989	0.030702078714966774	0.2104207	No	
row_83	LTA4H	NNN	18225	0.026002079248428345	0.20705852	No	
row_84	TNFAIP3	NNN	18358	0.023168185725808144	0.20538272	No	
row_85	RCE1	NNN	18419	0.021826228126883507	0.20490162	No	
row_86	F8	NNN	18542	0.018864426761865616	0.20328945	No	
row_87	SERPINA1	NNN	18612	0.017623450607061386	0.20255044	No	
row_88	FDX1	NNN	18798	0.013645743019878864	0.19973408	No	
row_89	EHD1	NNN	18949	0.010645211674273014	0.19744013	No	
row_90	SH2B3	NNN	19110	0.0071456413716077805	0.1948887	No	
row_91	CDK5R1	NNN	19149	0.006188118830323219	0.1943943	No	
row_92	CD59	NNN	19277	0.002418296178802848	0.19228825	No	
row_93	SIRT6	NNN	19336	3.243593964725733E-4	0.19130705	No	
row_94	GZMK	NNN	19760	0.0	0.18409233	No	
row_95	LCP2	NNN	20377	0.0	0.17358576	No	
row_96	CD36	NNN	21897	0.0	0.14767753	No	
row_97	S100A12	NNN	22742	0.0	0.13328215	No	
row_98	CFH	NNN	23061	0.0	0.12785831	No	
row_99	GNGT2	NNN	25731	0.0	0.08233555	No	
row_100	MMP8	NNN	28210	0.0	0.040070493	No	
row_101	APOA4	NNN	28306	0.0	0.038450163	No	
row_102	CD40LG	NNN	38130	0.0	-0.12909205	No	
row_103	USP8	NNN	39740	-2.7733095339499414E-4	-0.15652844	No	
row_104	SRC	NNN	39975	-0.007106057833880186	-0.16034304	No	
row_105	MT3	NNN	40048	-0.00882989913225174	-0.1613517	No	
row_106	FYN	NNN	40245	-0.013266952708363533	-0.16436508	No	
row_107	STX4	NNN	40293	-0.014180374331772327	-0.16481441	No	
row_108	LIPA	NNN	40397	-0.01668364368379116	-0.1661567	No	
row_109	CA2	NNN	40526	-0.019691066816449165	-0.16785066	No	
row_110	GCA	NNN	40562	-0.020317694172263145	-0.16794282	No	
row_111	CASP7	NNN	40646	-0.022186364978551865	-0.16880727	No	
row_112	PCSK9	NNN	40647	-0.02218884415924549	-0.168256	No	
row_113	LAMP2	NNN	40711	-0.023488689213991165	-0.16874696	No	
row_114	LGALS3	NNN	40826	-0.025814741849899292	-0.17005	No	
row_115	RAF1	NNN	40881	-0.026984747499227524	-0.1703006	No	
row_116	IRF1	NNN	41048	-0.03068425878882408	-0.17236957	No	
row_117	SPOCK2	NNN	41100	-0.03137151896953583	-0.17246002	No	
row_118	RBSN	NNN	41176	-0.0330251008272171	-0.17291874	No	
row_119	ME1	NNN	41496	-0.039281707257032394	-0.17738369	No	
row_120	ATOX1	NNN	41645	-0.04221028462052345	-0.1788593	No	
row_121	DGKG	NNN	41871	-0.0470588244497776	-0.18152775	No	
row_122	C1R	NNN	42007	-0.050063200294971466	-0.18258652	No	
