NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBE2L6	NNN	2799	0.47403132915496826	-0.023937354	No	
row_1	FABP2	NNN	3092	0.4652908444404602	-0.0055853226	No	
row_2	GSTZ1	NNN	3821	0.4214285612106323	0.0031366593	No	
row_3	AQP7	NNN	4302	0.3825731575489044	0.01413726	No	
row_4	EPHX1	NNN	5280	0.3351985514163971	0.014292067	No	
row_5	HSPH1	NNN	5346	0.33093690872192383	0.029776717	No	
row_6	ALDH1A1	NNN	9610	0.2380736619234085	-0.030942477	No	
row_7	HSD17B4	NNN	10267	0.21346670389175415	-0.031420138	No	
row_8	HMGCS1	NNN	10303	0.21218471229076385	-0.021378167	No	
row_9	GABARAPL1	NNN	10744	0.19505232572555542	-0.019097725	No	
row_10	XIST	NNN	10930	0.18980932235717773	-0.01273411	No	
row_11	CPOX	NNN	10942	0.18947745859622955	-0.003421594	No	
row_12	PDHB	NNN	11592	0.17296862602233887	-0.0058104363	No	
row_13	HADH	NNN	11992	0.16012707352638245	-0.0045822957	No	
row_14	GPD1	NNN	12170	0.15474224090576172	1.5947901E-4	No	
row_15	CBR1	NNN	12674	0.14200298488140106	-0.0012935889	No	
row_16	GCDH	NNN	12896	0.13608087599277496	0.0017626388	No	
row_17	SLC22A5	NNN	13025	0.13280212879180908	0.006239507	No	
row_18	DECR1	NNN	13298	0.12484307587146759	0.007863086	No	
row_19	MLYCD	NNN	13317	0.12421208620071411	0.013784033	No	
row_20	BCKDHB	NNN	13616	0.1173943430185318	0.014591022	No	
row_21	MCEE	NNN	13620	0.11728617548942566	0.020420369	No	
row_22	ACOT8	NNN	13799	0.11241555213928223	0.023022931	No	
row_23	MDH1	NNN	14523	0.09559434652328491	0.015493503	No	
row_24	SUCLG1	NNN	14751	0.09102873504161835	0.016188653	No	
row_25	AUH	NNN	14811	0.08973438292741776	0.019682186	No	
row_26	HSP90AA1	NNN	14979	0.08543337881565094	0.021119397	No	
row_27	ALAD	NNN	15488	0.0784313753247261	0.016393768	No	
row_28	IL4I1	NNN	15680	0.0747208371758461	0.016884835	No	
row_29	HIBCH	NNN	15692	0.07445590198040009	0.020430418	No	
row_30	ACAA1	NNN	15718	0.07405724376440048	0.023717405	No	
row_31	HADHB	NNN	15877	0.07006862014532089	0.02453765	No	
row_32	ACSL1	NNN	15885	0.06997200846672058	0.027926594	No	
row_33	ECI1	NNN	15984	0.06753724068403244	0.02964252	No	
row_34	GLUL	NNN	16045	0.06614751368761063	0.031936415	No	
row_35	GPD2	NNN	16176	0.06360279023647308	0.032909688	No	
row_36	ERP29	NNN	16441	0.06286102533340454	0.031561967	No	
row_37	CA6	NNN	16446	0.06281728297472	0.03464332	No	
row_38	FMO1	NNN	16559	0.06051429361104965	0.035768524	No	
row_39	BLVRA	NNN	16635	0.05857445299625397	0.03742707	No	
row_40	OSTC	NNN	16640	0.05836575850844383	0.04028523	No	
row_41	ACADM	NNN	16650	0.058118417859077454	0.043045774	No	
row_42	RAP1GDS1	NNN	16769	0.05586592108011246	0.04383566	No	
row_43	PDHA1	NNN	16988	0.050641726702451706	0.042659283	No	
row_44	LTC4S	NNN	17068	0.04872725158929825	0.043755937	No	
row_45	ACSS1	NNN	17610	0.03811536356806755	0.036446523	No	
row_46	SUCLA2	NNN	17800	0.034056708216667175	0.034932863	No	
row_47	ACSL4	NNN	17877	0.03274623304605484	0.035279397	No	
row_48	SERINC1	NNN	18117	0.02832084707915783	0.032625988	No	
row_49	HMGCL	NNN	18122	0.028275663033127785	0.033975497	No	
row_50	BMPR1B	NNN	18273	0.024988645687699318	0.032671873	No	
row_51	CRAT	NNN	18353	0.023275496438145638	0.032492436	No	
row_52	SDHA	NNN	18415	0.021887334063649178	0.032550175	No	
row_53	SUCLG2	NNN	18594	0.018066193908452988	0.030422265	No	
row_54	ELOVL5	NNN	18744	0.014781638979911804	0.02862393	No	
row_55	ALDH9A1	NNN	18755	0.014638226479291916	0.029187424	No	
row_56	NBN	NNN	19198	0.0048554567620158195	0.021897716	No	
row_57	DLST	NNN	19240	0.003600692842155695	0.02137947	No	
row_58	METAP1	NNN	19258	0.0028483537025749683	0.021232545	No	
row_59	VNN1	NNN	21238	0.0	-0.012496195	No	
row_60	CD36	NNN	21897	0.0	-0.023710703	No	
row_61	CYP4A11	NNN	22186	0.0	-0.02861918	No	
