NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NF1	NNN	4747	0.35835352540016174	-0.038115688	Yes	
row_1	PTCH1	NNN	4768	0.35633909702301025	0.003928381	Yes	
row_2	HEY1	NNN	4818	0.35307517647743225	0.045090985	Yes	
row_3	CNTFR	NNN	4828	0.35217317938804626	0.08682664	Yes	
row_4	SLIT1	NNN	6379	0.30905359983444214	0.09722334	Yes	
row_5	ETS2	NNN	6629	0.29667484760284424	0.12827578	Yes	
row_6	TLE1	NNN	6838	0.2839996814727783	0.15851793	Yes	
row_7	NKX6-1	NNN	7441	0.27401089668273926	0.18087062	Yes	
row_8	RTN1	NNN	8278	0.27401089668273926	0.19924332	Yes	
row_9	NRCAM	NNN	8716	0.27341392636299133	0.22433141	Yes	
row_10	HEY2	NNN	9177	0.25375330448150635	0.24668981	Yes	
row_11	VEGFA	NNN	9231	0.25103867053985596	0.2756478	Yes	
row_12	OPHN1	NNN	9472	0.2415459007024765	0.30029607	Yes	
row_13	CDK6	NNN	10008	0.22120767831802368	0.31750774	Yes	
row_14	VLDLR	NNN	10388	0.20859047770500183	0.335872	Yes	
row_15	RASA1	NNN	11328	0.18179215490818024	0.34152398	Yes	
row_16	ACHE	NNN	11536	0.17478443682193756	0.3587927	Yes	
row_17	LDB1	NNN	13738	0.11366906762123108	0.3348771	No	
row_18	CRMP1	NNN	13989	0.10830137878656387	0.34350672	No	
row_19	AMOT	NNN	14541	0.09514276683330536	0.34545162	No	
row_20	TLE3	NNN	14569	0.09441511332988739	0.35622248	No	
row_21	CDK5R1	NNN	19149	0.006188118830323219	0.27907643	No	
row_22	THY1	NNN	41689	-0.04308062046766281	-0.099154875	No	
row_23	MYH9	NNN	43875	-0.09118227660655975	-0.125473	No	
row_24	ADGRG1	NNN	45362	-0.11079501360654831	-0.13756932	No	
row_25	PML	NNN	46759	-0.14638671278953552	-0.14390148	No	
row_26	UNC5C	NNN	47425	-0.16440148651599884	-0.13565767	No	
row_27	DPYSL2	NNN	47588	-0.16864275932312012	-0.11835408	No	
row_28	CELSR1	NNN	47743	-0.17450375854969025	-0.1002173	No	
row_29	PLG	NNN	48679	-0.2066391259431839	-0.09154189	No	
row_30	L1CAM	NNN	50005	-0.25097528100013733	-0.0842263	No	
row_31	SCG2	NNN	50099	-0.25371161103248596	-0.055630736	No	
row_32	NRP2	NNN	53831	-0.3801298439502716	-0.0738756	No	
row_33	GLI1	NNN	54305	-0.4153035581111908	-0.03252295	No	
row_34	NRP1	NNN	55461	-0.4494037926197052	0.0012858761	No	
row_35	SHH	NNN	55831	-0.47065848112106323	0.05099152	No	
