NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACSL6	NNN	186	0.9962361454963684	0.03221389	Yes	
row_1	XK	NNN	1167	0.6602060794830322	0.038950924	Yes	
row_2	CLIC2	NNN	1696	0.5763434767723083	0.050417762	Yes	
row_3	TSPO2	NNN	1809	0.5591081380844116	0.06836702	Yes	
row_4	ARL2BP	NNN	2309	0.5024711489677429	0.07770451	Yes	
row_5	PPP2R5B	NNN	2765	0.47792062163352966	0.086920366	Yes	
row_6	KDM7A	NNN	2786	0.475894033908844	0.10348289	Yes	
row_7	ABCB6	NNN	3429	0.4560149013996124	0.10873149	Yes	
row_8	RHD	NNN	3565	0.44040313363075256	0.12207214	Yes	
row_9	SLC22A4	NNN	3814	0.4221634566783905	0.13283777	Yes	
row_10	TMCC2	NNN	3909	0.4118867516517639	0.14586475	Yes	
row_11	TFRC	NNN	3955	0.4087928235530853	0.1596175	Yes	
row_12	SPTB	NNN	4429	0.3750489056110382	0.16487241	Yes	
row_13	FOXO3	NNN	5245	0.33707866072654724	0.16294602	Yes	
row_14	CTSE	NNN	5453	0.3279237151145935	0.17106351	Yes	
row_15	ARHGEF12	NNN	6061	0.3212164044380188	0.17212102	Yes	
row_16	SLC30A1	NNN	6078	0.32048410177230835	0.18323165	Yes	
row_17	ASNS	NNN	6243	0.31646502017974854	0.19167547	Yes	
row_18	LMO2	NNN	6547	0.3008962869644165	0.19719574	Yes	
row_19	BTG2	NNN	6596	0.2983871102333069	0.20697574	Yes	
row_20	SYNJ1	NNN	6769	0.28765353560447693	0.21425976	Yes	
row_21	SLC6A9	NNN	7002	0.2750885486602783	0.2200742	Yes	
row_22	PDZK1IP1	NNN	7066	0.27401089668273926	0.22873257	Yes	
row_23	CROCCP2	NNN	9011	0.2614807188510895	0.20486659	Yes	
row_24	HAGH	NNN	9077	0.2575342357158661	0.21290559	Yes	
row_25	BMP2K	NNN	9199	0.2523328959941864	0.2198048	Yes	
row_26	AGPAT4	NNN	9437	0.24319960176944733	0.2244013	Yes	
row_27	ANK1	NNN	9608	0.2382258176803589	0.22996375	Yes	
