NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RORA	NNN	814	0.7173044085502625	0.0057197046	Yes	
row_1	CHST2	NNN	1427	0.621320366859436	0.012261411	Yes	
row_2	NCAN	NNN	1645	0.5839146971702576	0.024517398	Yes	
row_3	TKTL1	NNN	1737	0.5716921091079712	0.038588226	Yes	
row_4	RRAGD	NNN	1885	0.5488141179084778	0.05107882	Yes	
row_5	STBD1	NNN	2195	0.5176617503166199	0.059955295	Yes	
row_6	CP	NNN	2272	0.5067777633666992	0.07250801	Yes	
row_7	PIM1	NNN	2420	0.4888407588005066	0.08335969	Yes	
row_8	CDKN1A	NNN	2793	0.4749082326889038	0.0899934	Yes	
row_9	ACKR3	NNN	3057	0.4652908444404602	0.098223224	Yes	
row_10	COL5A1	NNN	3175	0.4652908444404602	0.108942986	Yes	
row_11	EDN2	NNN	3728	0.42736464738845825	0.11120768	Yes	
row_12	CXCR4	NNN	3829	0.4205895960330963	0.120995805	Yes	
row_13	BCAN	NNN	3967	0.40781018137931824	0.12980369	Yes	
row_14	KDM3A	NNN	3996	0.40460750460624695	0.14038298	Yes	
row_15	FOS	NNN	4077	0.3976686894893646	0.14988582	Yes	
row_16	ZNF292	NNN	4081	0.3973952531814575	0.16069438	Yes	
row_17	IGFBP1	NNN	4167	0.39310789108276367	0.16998732	Yes	
row_18	BRS3	NNN	4313	0.38173866271972656	0.1779463	Yes	
row_19	DPYSL4	NNN	4702	0.36179929971694946	0.1812162	Yes	
row_20	BCL2	NNN	5184	0.34205830097198486	0.18236056	Yes	
row_21	FOXO3	NNN	5245	0.33707866072654724	0.19054873	Yes	
row_22	PHKG1	NNN	5366	0.32974427938461304	0.19751321	Yes	
row_23	PPP1R3C	NNN	5782	0.3279237151145935	0.19939691	Yes	
row_24	IRS2	NNN	6843	0.2838982939720154	0.18907744	Yes	
row_25	LDHC	NNN	8851	0.2690047323703766	0.16220047	Yes	
row_26	PPARGC1A	NNN	8869	0.268324613571167	0.16924313	Yes	
row_27	PPP1R15A	NNN	8919	0.26529577374458313	0.17565726	Yes	
