NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCB1	NNN	335	0.9034507870674133	0.013306423	No	
row_1	RORA	NNN	814	0.7173044085502625	0.020255215	No	
row_2	TTC39B	NNN	833	0.7094669342041016	0.034884155	No	
row_3	SERPINC1	NNN	1162	0.6613260507583618	0.043212675	No	
row_4	RRAGD	NNN	1885	0.5488141179084778	0.042453017	No	
row_5	HIPK2	NNN	1886	0.5488086342811584	0.054006714	No	
row_6	CTLA4	NNN	2156	0.5244863033294678	0.06046066	No	
row_7	PIM1	NNN	2420	0.4888407588005066	0.066266514	No	
row_8	PLPP1	NNN	2454	0.484311044216156	0.075899586	No	
row_9	ENPP1	NNN	3602	0.438144326210022	0.065561846	No	
row_10	TNFRSF4	NNN	3700	0.4301495850086212	0.072963186	No	
row_11	ALCAM	NNN	3724	0.42757681012153625	0.08157241	No	
row_12	IL10RA	NNN	3736	0.42716410756111145	0.09037761	No	
row_13	CAPN3	NNN	3988	0.4057847857475281	0.0946396	No	
row_14	NFKBIZ	NNN	4528	0.369402140378952	0.09322391	No	
row_15	PTCH1	NNN	4768	0.35633909702301025	0.09664961	No	
row_16	EOMES	NNN	4833	0.35199233889579773	0.102968365	No	
row_17	GPR65	NNN	4982	0.3509400188922882	0.10783237	No	
row_18	SCN9A	NNN	5052	0.34950122237205505	0.11401341	No	
row_19	LRIG1	NNN	5089	0.3483506143093109	0.12073304	No	
row_20	BCL2	NNN	5184	0.34205830097198486	0.12633102	No	
row_21	MXD1	NNN	5278	0.3352966010570526	0.1318037	No	
row_22	SELP	NNN	5443	0.3279237151145935	0.13591029	No	
row_23	FGL2	NNN	6249	0.3162863850593567	0.12883985	No	
row_24	PLAGL1	NNN	6578	0.2990897297859192	0.12954246	No	
row_25	GBP4	NNN	7088	0.27401089668273926	0.1266302	No	
row_26	GLIPR2	NNN	8909	0.26594701409339905	0.10118952	No	
row_27	IKZF2	NNN	8967	0.2635221779346466	0.10576516	No	
row_28	NDRG1	NNN	9062	0.2584732472896576	0.10960348	No	
row_29	SPRY4	NNN	9290	0.249370276927948	0.1109819	No	
