NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	A2M	NNN	959	0.6872140765190125	0.018020669	No	
row_1	TLR2	NNN	1492	0.6105151176452637	0.03947698	No	
row_2	PIM1	NNN	2420	0.4888407588005066	0.048127968	No	
row_3	EBI3	NNN	4003	0.4042547345161438	0.0414012	No	
row_4	CNTFR	NNN	4828	0.35217317938804626	0.044975128	No	
row_5	IL1B	NNN	5129	0.3452533185482025	0.057123426	No	
row_6	CSF2RB	NNN	5939	0.3279237151145935	0.059740752	No	
row_7	INHBE	NNN	6827	0.28453436493873596	0.058861718	No	
row_8	IL18R1	NNN	9554	0.23861278593540192	0.024381729	No	
row_9	IFNGR1	NNN	9770	0.2312491536140442	0.032279234	No	
row_10	OSMR	NNN	9864	0.22757373750209808	0.042069893	No	
row_11	TNFRSF12A	NNN	10307	0.21200688183307648	0.045141406	No	
row_12	CD38	NNN	10449	0.2055739164352417	0.053015422	No	
row_13	PTPN11	NNN	11611	0.17235732078552246	0.04186555	No	
row_14	STAM2	NNN	11617	0.17196261882781982	0.050374888	No	
row_15	JUN	NNN	12822	0.1382191926240921	0.036786836	No	
row_16	ACVR1B	NNN	13073	0.13112884759902954	0.03908465	No	
row_17	IL4R	NNN	13508	0.11959287524223328	0.037673622	No	
row_18	IL17RA	NNN	13892	0.1103665754199028	0.036669668	No	
row_19	PLA2G2A	NNN	13986	0.10837144404649734	0.040502757	No	
row_20	STAT3	NNN	14540	0.09515827149152756	0.03584475	No	
row_21	CBL	NNN	14581	0.09401941299438477	0.039862778	No	
row_22	IFNGR2	NNN	14584	0.09397439658641815	0.044525445	No	
row_23	HAX1	NNN	14842	0.08874931931495667	0.044586025	No	
row_24	IL6ST	NNN	16468	0.06227967143058777	0.020035805	No	
row_25	BAK1	NNN	16964	0.051232967525720596	0.014169823	No	
row_26	STAT1	NNN	17384	0.042599763721227646	0.009166136	No	
row_27	TYK2	NNN	17532	0.03950441628694534	0.008638088	No	
row_28	IL17RB	NNN	18047	0.02970682829618454	0.0013728151	No	
row_29	MAP3K8	NNN	18736	0.015126452781260014	-0.009583219	No	
row_30	LTBR	NNN	19162	0.005835543852299452	-0.016526472	No	
row_31	CD36	NNN	21897	0.0	-0.06306819	No	
row_32	REG1A	NNN	23844	0.0	-0.09619554	No	
row_33	CCL7	NNN	25575	0.0	-0.12564586	No	
row_34	ITGB3	NNN	25713	0.0	-0.12797806	No	
row_35	DNTT	NNN	29011	0.0	-0.18410389	No	
row_36	CXCL9	NNN	36244	0.0	-0.30721644	No	
row_37	CXCL10	NNN	36245	0.0	-0.30721644	No	
row_38	CD9	NNN	39794	-0.00220135017298162	-0.3675051	No	
row_39	TNFRSF21	NNN	40445	-0.01773049682378769	-0.3776841	No	
row_40	FAS	NNN	40472	-0.018429016694426537	-0.37720564	No	
row_41	IL3RA	NNN	41027	-0.03025413490831852	-0.3851245	No	
row_42	IRF1	NNN	41048	-0.03068425878882408	-0.3839314	No	
row_43	PTPN1	NNN	41185	-0.033212292939424515	-0.38458666	No	
row_44	STAT2	NNN	42121	-0.05213764309883118	-0.3978977	No	
row_45	TNFRSF1A	NNN	42381	-0.057962171733379364	-0.39940986	No	
row_46	IL7	NNN	42819	-0.06743469834327698	-0.40347874	No	
row_47	IFNAR1	NNN	44876	-0.10191503167152405	-0.4333851	No	
row_48	TNFRSF1B	NNN	45215	-0.10961214452981949	-0.43366072	No	
row_49	IL9R	NNN	45804	-0.1210949569940567	-0.43761826	Yes	
row_50	IL10RB	NNN	45834	-0.12172573059797287	-0.43202823	Yes	
row_51	GRB2	NNN	46389	-0.1370089203119278	-0.43461162	Yes	
row_52	IL15RA	NNN	46424	-0.13813376426696777	-0.42828667	Yes	
row_53	MYD88	NNN	46601	-0.1417040377855301	-0.42420062	Yes	
row_54	IRF9	NNN	46747	-0.14580750465393066	-0.41938174	Yes	
row_55	PTPN2	NNN	46832	-0.1484135091304779	-0.41339418	Yes	
row_56	IL13RA1	NNN	46952	-0.1518409103155136	-0.40783116	Yes	
row_57	IL2RG	NNN	47661	-0.17149963974952698	-0.41131234	Yes	
row_58	LTB	NNN	47906	-0.17928069829940796	-0.40650582	Yes	
row_59	TGFB1	NNN	48036	-0.18252933025360107	-0.39957926	Yes	
row_60	CD14	NNN	48108	-0.18551017343997955	-0.3915164	Yes	
row_61	ACVRL1	NNN	48244	-0.18904447555541992	-0.38436633	Yes	
row_62	PDGFC	NNN	48326	-0.19253720343112946	-0.37612247	Yes	
row_63	CSF2	NNN	48757	-0.20859725773334503	-0.3730171	Yes	
row_64	LEPR	NNN	49134	-0.22505296766757965	-0.36817002	Yes	
row_65	CCR1	NNN	49488	-0.23670068383216858	-0.36234927	Yes	
row_66	CSF2RA	NNN	49994	-0.2503426671028137	-0.35843426	Yes	
row_67	CSF1	NNN	50165	-0.2562568187713623	-0.34852085	Yes	
row_68	SOCS3	NNN	51052	-0.3004363775253296	-0.3485881	Yes	
row_69	SOCS1	NNN	51520	-0.32268229126930237	-0.34041077	Yes	
row_70	HMOX1	NNN	51639	-0.3293251097202301	-0.32596028	Yes	
row_71	ITGA4	NNN	51781	-0.33820396661758423	-0.3114576	Yes	
row_72	CXCL11	NNN	52508	-0.3571428656578064	-0.305967	Yes	
row_73	IL6	NNN	52697	-0.3571428656578064	-0.29131788	Yes	
row_74	CD44	NNN	53756	-0.3725603222846985	-0.29070848	Yes	
row_75	CXCL1	NNN	53919	-0.38616135716438293	-0.27416644	Yes	
row_76	CXCL3	NNN	55127	-0.43279996514320374	-0.27308282	Yes	
row_77	PIK3R5	NNN	55348	-0.44117647409439087	-0.25477856	Yes	
row_78	PF4	NNN	55525	-0.4545454680919647	-0.23505709	Yes	
row_79	CXCL13	NNN	55683	-0.45875853300094604	-0.21480162	Yes	
row_80	CSF3R	NNN	56294	-0.5198991298675537	-0.199202	Yes	
row_81	IL1R2	NNN	56808	-0.5858451724052429	-0.1786552	Yes	
row_82	TNF	NNN	57074	-0.6209346055984497	-0.15213293	Yes	
row_83	IL1R1	NNN	58002	-0.7381705045700073	-0.13102077	Yes	
row_84	CRLF2	NNN	58363	-0.8587019443511963	-0.09423242	Yes	
row_85	IL12RB1	NNN	58496	-0.9569739103317261	-0.048651244	Yes	
row_86	IL2RA	NNN	58670	-1.0865217447280884	0.0027065938	Yes	
