NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RASGRP1	NNN	20	1.4623801708221436	0.029330075	No	
row_1	VIP	NNN	376	0.8746402859687805	0.04102141	No	
row_2	IL15	NNN	719	0.7491977214813232	0.050389286	No	
row_3	CHST2	NNN	1427	0.621320366859436	0.050937194	No	
row_4	GP1BA	NNN	1454	0.6164491176605225	0.06300128	No	
row_5	TLR2	NNN	1492	0.6105151176452637	0.07475736	No	
row_6	BEST1	NNN	2165	0.5227780342102051	0.07390284	No	
row_7	APLNR	NNN	2290	0.5045398473739624	0.08202486	No	
row_8	CYBB	NNN	2302	0.5036317706108093	0.09205575	No	
row_9	CDKN1A	NNN	2793	0.4749082326889038	0.09333413	No	
row_10	AQP9	NNN	2896	0.47245800495147705	0.10118044	No	
row_11	TLR1	NNN	2941	0.47008824348449707	0.10996792	No	
row_12	IL10RA	NNN	3736	0.42716410756111145	0.10509261	No	
row_13	PDPN	NNN	3762	0.42495059967041016	0.11328831	No	
row_14	EBI3	NNN	4003	0.4042547345161438	0.11739711	No	
row_15	KCNMB2	NNN	4253	0.3856894075870514	0.12097571	No	
row_16	GPR183	NNN	4306	0.38245153427124023	0.12784863	No	
row_17	SELE	NNN	4858	0.3509400188922882	0.12557131	No	
row_18	IL1B	NNN	5129	0.3452533185482025	0.12797132	No	
row_19	MXD1	NNN	5278	0.3352966010570526	0.1322501	No	
row_20	ATP2B1	NNN	6520	0.3027888536453247	0.117227316	No	
row_21	BTG2	NNN	6596	0.2983871102333069	0.122002296	No	
row_22	TACR1	NNN	6651	0.295184850692749	0.12707049	No	
row_23	CD70	NNN	6802	0.2858344316482544	0.1303116	No	
row_24	STAB1	NNN	6880	0.28135979175567627	0.13470699	No	
row_25	IL18RAP	NNN	7240	0.27401089668273926	0.13414353	No	
row_26	CALCRL	NNN	7264	0.27401089668273926	0.13931084	No	
row_27	PROK2	NNN	7322	0.27401089668273926	0.14389825	No	
row_28	MEP1A	NNN	7616	0.27401089668273926	0.14446047	No	
row_29	PTGIR	NNN	9050	0.258819043636322	0.12527083	No	
row_30	IL18R1	NNN	9554	0.23861278593540192	0.121533126	No	
row_31	IL1A	NNN	9614	0.23781058192253113	0.12535192	No	
row_32	OSMR	NNN	9864	0.22757373750209808	0.12572242	No	
row_33	AHR	NNN	10157	0.2167670577764511	0.12514025	No	
row_34	SERPINE1	NNN	10581	0.20000645518302917	0.1219837	No	
row_35	ABI1	NNN	10811	0.1927822381258011	0.1219894	No	
row_36	CD55	NNN	10947	0.18944305181503296	0.1235306	No	
row_37	KIF1B	NNN	11389	0.1794842630624771	0.119650654	No	
row_38	P2RY2	NNN	11398	0.17936019599437714	0.123153366	No	
row_39	IL2RB	NNN	11400	0.17931272089481354	0.1267745	No	
row_40	SLC31A2	NNN	11575	0.17351725697517395	0.1273274	No	
row_41	ITGA5	NNN	11600	0.17263923585414886	0.13042085	No	
row_42	PTPRE	NNN	11947	0.16193322837352753	0.1278051	No	
row_43	ATP2C1	NNN	12061	0.1581021249294281	0.12908563	No	
row_44	KLF6	NNN	12306	0.15108603239059448	0.12798949	No	
row_45	LY6E	NNN	12857	0.1370071917772293	0.12138862	No	
row_46	ACVR1B	NNN	13073	0.13112884759902954	0.120382175	No	
row_47	FZD5	NNN	13186	0.12796810269355774	0.12106835	No	
row_48	SLC7A1	NNN	13204	0.1275155395269394	0.12336565	No	
row_49	IL4R	NNN	13508	0.11959287524223328	0.12062424	No	
row_50	NFKB1	NNN	13563	0.11892233043909073	0.12211611	No	
row_51	SLC28A2	NNN	13872	0.11075124144554138	0.119110025	No	
row_52	MYC	NNN	14033	0.10698552429676056	0.11855179	No	
row_53	SGMS2	NNN	14278	0.10114403069019318	0.11644235	No	
row_54	IRAK2	NNN	14314	0.10030601918697357	0.11788057	No	
row_55	IFNGR2	NNN	14584	0.09397439658641815	0.11519926	No	
row_56	EIF2AK2	NNN	14680	0.09229547530412674	0.115451604	No	
row_57	RNF144B	NNN	15091	0.08261685818433762	0.11013498	No	
row_58	RTP4	NNN	15173	0.08198890089988708	0.110416986	No	
row_59	ICOSLG	NNN	15490	0.07838830351829529	0.10661782	No	
row_60	GABBR1	NNN	15505	0.07814304530620575	0.10796454	No	
row_61	ACVR2A	NNN	15693	0.07443786412477493	0.106285416	No	
row_62	LPAR1	NNN	15776	0.07248065620660782	0.10635745	No	
row_63	CCL24	NNN	15804	0.0719054564833641	0.10735588	No	
