NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL15	NNN	719	0.7491977214813232	0.032364555	Yes	
row_1	C1S	NNN	1484	0.6127039194107056	0.055836342	Yes	
row_2	UBA7	NNN	1729	0.572139322757721	0.08574631	Yes	
row_3	RSAD2	NNN	2498	0.4823181927204132	0.10138705	Yes	
row_4	UBE2L6	NNN	2799	0.47403132915496826	0.12450239	Yes	
row_5	DHX58	NNN	2813	0.47335582971572876	0.15246387	Yes	
row_6	GMPR	NNN	3879	0.4152664542198181	0.15905584	Yes	
row_7	TDRD7	NNN	4031	0.40188270807266235	0.18041241	Yes	
row_8	IFI27	NNN	5151	0.344424843788147	0.18186721	Yes	
row_9	HERC6	NNN	6582	0.2990204691886902	0.17532374	Yes	
row_10	GBP4	NNN	7088	0.27401089668273926	0.18303995	Yes	
row_11	SAMD9L	NNN	7706	0.27401089668273926	0.18884929	Yes	
row_12	TRAFD1	NNN	8749	0.2720848023891449	0.18730806	Yes	
row_13	NCOA7	NNN	10234	0.2144332379102707	0.17480904	Yes	
row_14	CD47	NNN	11382	0.17971758544445038	0.16598073	Yes	
row_15	SLC25A28	NNN	11431	0.178511843085289	0.1757918	Yes	
row_16	MX1	NNN	11549	0.1744748204946518	0.18418774	Yes	
row_17	PLSCR1	NNN	12010	0.15948517620563507	0.18585142	Yes	
row_18	IFIH1	NNN	12788	0.13898813724517822	0.18089764	Yes	
row_19	LY6E	NNN	12857	0.1370071917772293	0.18789707	Yes	
row_20	TRIM26	NNN	13167	0.12834122776985168	0.19027738	Yes	
row_21	CMTR1	NNN	13408	0.12187596410512924	0.19344752	Yes	
row_22	PROCR	NNN	13503	0.11969363689422607	0.19897346	Yes	
row_23	IL4R	NNN	13508	0.11959287524223328	0.20602572	Yes	
row_24	TMEM140	NNN	13936	0.10941959917545319	0.20527044	Yes	
row_25	MOV10	NNN	13949	0.10919540375471115	0.21156745	Yes	
row_26	PARP14	NNN	14489	0.0963812917470932	0.20812902	Yes	
row_27	TRIM21	NNN	14657	0.09288626909255981	0.21081603	Yes	
row_28	EIF2AK2	NNN	14680	0.09229547530412674	0.21593659	Yes	
row_29	IFITM2	NNN	15057	0.08366105705499649	0.21451598	Yes	
row_30	RTP4	NNN	15173	0.08198890089988708	0.21743952	Yes	
row_31	PSMB8	NNN	15703	0.07417651265859604	0.21284932	No	
row_32	ELF1	NNN	15860	0.07046924531459808	0.21438894	No	
row_33	MVB12A	NNN	16079	0.06560182571411133	0.21458317	No	
row_34	PARP9	NNN	16712	0.057096246629953384	0.20722239	No	
row_35	SP110	NNN	16884	0.05273586884140968	0.20745082	No	
row_36	TXNIP	NNN	17842	0.03345427289605141	0.1931491	No	
row_37	ADAR	NNN	17916	0.03219330683350563	0.19382297	No	
row_38	PNPT1	NNN	18212	0.026534654200077057	0.19038025	No	
row_39	HLA-C	NNN	18778	0.014093116857111454	0.18159984	No	
row_40	OASL	NNN	18830	0.013091319240629673	0.18151097	No	
row_41	RIPK2	NNN	18982	0.009960159659385681	0.17953311	No	
row_42	RNF31	NNN	19102	0.007411399856209755	0.17794833	No	
row_43	CNP	NNN	19226	0.004122011363506317	0.1760996	No	
row_44	IFI44	NNN	22382	0.0	0.12238374	No	
row_45	CMPK2	NNN	23466	0.0	0.103944995	No	
row_46	EPSTI1	NNN	30260	0.0	-0.01171007	No	
row_47	CCRL2	NNN	35027	0.0	-0.092854194	No	
row_48	CXCL10	NNN	36245	0.0	-0.11357438	No	
row_49	NUB1	NNN	39977	-0.007142072077840567	-0.17667176	No	
row_50	BST2	NNN	40082	-0.009663433767855167	-0.17786708	No	
row_51	PARP12	NNN	40514	-0.019417475908994675	-0.18404904	No	
row_52	PSMA3	NNN	40832	-0.025957489386200905	-0.18790069	No	
row_53	IRF1	NNN	41048	-0.03068425878882408	-0.18973431	No	
row_54	B2M	NNN	41050	-0.030726848170161247	-0.18792191	No	
row_55	PSME1	NNN	41435	-0.03827199339866638	-0.19218111	No	
row_56	LGALS3BP	NNN	41500	-0.039431408047676086	-0.19092306	No	
row_57	TAP1	NNN	41505	-0.03953148052096367	-0.18863752	No	
row_58	TRIM14	NNN	42110	-0.051743194460868835	-0.1958403	No	
row_59	STAT2	NNN	42121	-0.05213764309883118	-0.19290638	No	
row_60	LPAR6	NNN	42202	-0.05408845096826553	-0.19104809	No	
row_61	SAMD9	NNN	42589	-0.06255681067705154	-0.19389544	No	
row_62	TRIM25	NNN	42802	-0.06698346883058548	-0.1935168	No	
row_63	IL7	NNN	42819	-0.06743469834327698	-0.18977426	No	
row_64	LAP3	NNN	42855	-0.0680975615978241	-0.18631575	No	
row_65	ISG15	NNN	43317	-0.07821504771709442	-0.18950777	No	
row_66	IFITM3	NNN	43330	-0.07873065024614334	-0.18502457	No	
row_67	DDX60	NNN	43617	-0.08508730679750443	-0.18482795	No	
row_68	HELZ2	NNN	44546	-0.09366565942764282	-0.19505103	No	
row_69	OGFR	NNN	44675	-0.09693018347024918	-0.19145925	No	
row_70	PSME2	NNN	45474	-0.11376933753490448	-0.19827206	No	
row_71	BATF2	NNN	45610	-0.11692941188812256	-0.19360875	No	
row_72	TRIM5	NNN	45697	-0.11925042420625687	-0.18797298	No	
row_73	IRF7	NNN	46377	-0.1366279125213623	-0.19139878	No	
row_74	USP18	NNN	46599	-0.141579732298851	-0.18673202	No	
row_75	IRF9	NNN	46747	-0.14580750465393066	-0.18055366	No	
row_76	IFIT2	NNN	48009	-0.18164965510368347	-0.19120786	No	
row_77	CASP1	NNN	48161	-0.1869535595178604	-0.18264782	No	
row_78	CASP8	NNN	48454	-0.19778873026371002	-0.17584328	No	
row_79	ISG20	NNN	49029	-0.2211374193429947	-0.17244984	No	
row_80	PSMB9	NNN	49118	-0.22427912056446075	-0.1605949	No	
row_81	LAMP3	NNN	50024	-0.2511152923107147	-0.16105211	No	
row_82	CSF1	NNN	50165	-0.2562568187713623	-0.14817859	No	
row_83	IFI35	NNN	51277	-0.30612245202064514	-0.14886804	No	
row_84	IFIT3	NNN	51289	-0.307140976190567	-0.13076867	No	
