NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TLX1	NNN	158	1.0506329536437988	0.015853522	No	
row_1	PDCD1	NNN	485	0.827578604221344	0.024904	No	
row_2	COPZ2	NNN	618	0.7799778580665588	0.036422726	No	
row_3	C5	NNN	811	0.7176563143730164	0.04581793	No	
row_4	ACTC1	NNN	919	0.6977837681770325	0.056311943	No	
row_5	CHST2	NNN	1427	0.621320366859436	0.058634188	No	
row_6	GP1BA	NNN	1454	0.6164491176605225	0.06907373	No	
row_7	SYNPO	NNN	1483	0.612848699092865	0.0794156	No	
row_8	MYH7	NNN	1582	0.598899781703949	0.08831738	No	
row_9	NRIP2	NNN	2039	0.5397987365722656	0.0900702	No	
row_10	COL2A1	NNN	2148	0.526090681552887	0.09751605	No	
row_11	SLC16A7	NNN	2216	0.5146207213401794	0.10545864	No	
row_12	RSAD2	NNN	2498	0.4823181927204132	0.109181255	No	
row_13	NPY4R	NNN	2633	0.4823181927204132	0.11541091	No	
row_14	SLC38A3	NNN	2779	0.4764573872089386	0.12134949	No	
row_15	IL5	NNN	3104	0.4652908444404602	0.12403815	No	
row_16	ALOX12B	NNN	3424	0.4565349519252777	0.1266575	No	
row_17	EDN2	NNN	3728	0.42736464738845825	0.12903476	No	
row_18	CAPN9	NNN	3960	0.408103883266449	0.1322999	No	
row_19	ENTPD7	NNN	3970	0.4074741005897522	0.13934007	No	
row_20	KRT5	NNN	4017	0.4029790461063385	0.14566986	No	
row_21	CNTFR	NNN	4828	0.35217317938804626	0.13807294	No	
row_22	THRB	NNN	5224	0.3384260833263397	0.13731103	No	
row_23	INSL5	NNN	5416	0.3279237151145935	0.13984284	No	
row_24	MYOT	NNN	5586	0.3279237151145935	0.14274985	No	
row_25	ARHGDIG	NNN	6044	0.32187432050704956	0.14063832	No	
row_26	NR4A2	NNN	6584	0.299007773399353	0.13672462	No	
row_27	BTG2	NNN	6596	0.2983871102333069	0.14180483	No	
row_28	TAS2R4	NNN	6668	0.2943747639656067	0.14579092	No	
row_29	KMT2D	NNN	6921	0.2784076929092407	0.14640823	No	
row_30	CD80	NNN	7345	0.27401089668273926	0.14403157	No	
row_31	EPHA5	NNN	7424	0.27401089668273926	0.14753878	No	
row_32	GP2	NNN	8385	0.27401089668273926	0.13600376	No	
row_33	CD207	NNN	8865	0.2686469554901123	0.13257734	No	
row_34	CYP39A1	NNN	8987	0.26279839873313904	0.13515325	No	
row_35	CDH16	NNN	9076	0.2575990557670593	0.13820016	No	
row_36	KLHDC8A	NNN	9140	0.2550688683986664	0.14162877	No	
row_37	YBX2	NNN	9329	0.24652524292469025	0.14277472	No	
row_38	SIDT1	NNN	9690	0.23495469987392426	0.140783	No	
row_39	SERPINA10	NNN	10220	0.2147081047296524	0.1355516	No	
row_40	P2RY4	NNN	10443	0.20576262474060059	0.13539805	No	
row_41	IDUA	NNN	10498	0.203438401222229	0.13806866	No	
row_42	CALCB	NNN	10875	0.19086933135986328	0.13502575	No	
row_43	SLC6A3	NNN	10952	0.18926645815372467	0.13707097	No	
row_44	HNF1A	NNN	10953	0.18925519287586212	0.14041214	No	
