NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CPE	NNN	291	0.9200650453567505	0.01601195	No	
row_1	FLT4	NNN	292	0.9196897745132446	0.0369785	No	
row_2	ABCB1	NNN	335	0.9034507870674133	0.056858517	No	
row_3	ARG1	NNN	1034	0.6735067367553711	0.060307972	No	
row_4	NR0B2	NNN	1463	0.6154597401618958	0.0670391	No	
row_5	PRRX1	NNN	2102	0.5319002866744995	0.068283625	No	
row_6	SCG3	NNN	2388	0.4935460090637207	0.074674375	No	
row_7	GNG11	NNN	2580	0.4823181927204132	0.08241238	No	
row_8	TLR8	NNN	3138	0.4652908444404602	0.083519876	No	
row_9	SATB1	NNN	3484	0.4504885673522949	0.0879057	No	
row_10	IL10RA	NNN	3736	0.42716410756111145	0.093362994	No	
row_11	CXCR4	NNN	3829	0.4205895960330963	0.10138225	No	
row_12	IL1B	NNN	5129	0.3452533185482025	0.087097995	No	
row_13	TMEM176A	NNN	5250	0.33660680055618286	0.0927251	No	
row_14	PPBP	NNN	5544	0.3279237151145935	0.09520364	No	
row_15	IL1RL2	NNN	6066	0.32108473777770996	0.09363761	No	
row_16	NGF	NNN	7106	0.27401089668273926	0.082163654	No	
row_17	GABRA3	NNN	7818	0.27401089668273926	0.07628391	No	
row_18	MMP10	NNN	8056	0.27401089668273926	0.07848849	No	
row_19	NR1H4	NNN	8198	0.27401089668273926	0.082330406	No	
row_20	TMEM100	NNN	8473	0.27401089668273926	0.08390393	No	
row_21	NIN	NNN	8731	0.2728685140609741	0.085741356	No	
row_22	PPP1R15A	NNN	8919	0.26529577374458313	0.08860003	No	
row_23	TMEM158	NNN	9109	0.2563299238681793	0.09122019	No	
row_24	ADGRA2	NNN	9200	0.2523272931575775	0.09543761	No	
row_25	SPP1	NNN	9806	0.22954660654067993	0.09035208	No	
row_26	IKZF1	NNN	9919	0.22453045845031738	0.09356058	No	
row_27	RABGAP1L	NNN	9956	0.2232292741537094	0.09803563	No	
row_28	GPNMB	NNN	10005	0.2212534248828888	0.10226097	No	
row_29	ANGPTL4	NNN	10116	0.21833546459674835	0.10536235	No	
row_30	SLPI	NNN	10129	0.217778742313385	0.11012247	No	
row_31	DUSP6	NNN	10429	0.2062850296497345	0.10972564	No	
row_32	GPRC5B	NNN	10700	0.19569596648216248	0.10958201	No	
row_33	PCSK1N	NNN	10770	0.19409038126468658	0.11282994	No	
row_34	CBR4	NNN	10838	0.19205410778522491	0.116065554	No	
row_35	USH1C	NNN	11201	0.18603459000587463	0.11413256	No	
row_36	TRIB2	NNN	11372	0.1800232231616974	0.115337186	No	
row_37	SDCCAG8	NNN	11380	0.17978113889694214	0.11931634	No	
row_38	SPRY2	NNN	11409	0.17927129566669464	0.122925706	No	
row_39	BTC	NNN	11437	0.1783994883298874	0.12653226	No	
row_40	ACE	NNN	11597	0.17284727096557617	0.1277609	No	
row_41	SOX9	NNN	11692	0.16921675205230713	0.13001539	No	
row_42	CFB	NNN	11931	0.1625814288854599	0.1296626	No	
row_43	ITGA2	NNN	12069	0.15778250992298126	0.13092303	No	
row_44	CTSS	NNN	12274	0.15225210785865784	0.13091466	No	
row_45	ETV1	NNN	12568	0.1445237696170807	0.12921216	No	
row_46	MAP7	NNN	12828	0.13809169828891754	0.1279429	No	
row_47	CDADC1	NNN	12832	0.13793103396892548	0.1310362	No	
row_48	F13A1	NNN	13082	0.1309209167957306	0.12977405	No	
row_49	MAFB	NNN	13089	0.13073697686195374	0.13265218	No	
row_50	SERPINA3	NNN	13245	0.12627995014190674	0.13288742	No	
row_51	GADD45G	NNN	13289	0.1251170039176941	0.13500638	No	
row_52	RELN	NNN	13537	0.11957315355539322	0.13351963	No	
row_53	KLF4	NNN	13595	0.11787594109773636	0.13523473	No	
row_54	MAP3K1	NNN	13838	0.11158137768507004	0.13365106	No	
row_55	AVL9	NNN	14280	0.101108118891716	0.12843457	No	
row_56	USP12	NNN	14287	0.10086879879236221	0.13063179	No	
row_57	VWA5A	NNN	14500	0.09625481069087982	0.12921038	No	
row_58	CBL	NNN	14581	0.09401941299438477	0.12998934	No	
row_59	SPARCL1	NNN	14924	0.0868135541677475	0.12613547	No	
row_60	HOXD11	NNN	14964	0.08580469340085983	0.12742643	No	
row_61	CAB39L	NNN	15002	0.08480503410100937	0.1287287	No	
row_62	CCSER2	NNN	15371	0.08103372901678085	0.12429963	No	
row_63	CBX8	NNN	15440	0.07931723445653915	0.124948084	No	
row_64	TRAF1	NNN	15527	0.07753335684537888	0.12524886	No	
row_65	STRN	NNN	15609	0.07547616958618164	0.12558803	No	
row_66	PSMB8	NNN	15703	0.07417651265859604	0.1256929	No	
row_67	MYCN	NNN	15974	0.0678345113992691	0.12263436	No	
row_68	EPHB2	NNN	16072	0.06566215306520462	0.1224769	No	
row_69	BMP2	NNN	16096	0.06516071408987045	0.12357012	No	
row_70	RBM4	NNN	16110	0.06493506580591202	0.12482875	No	
row_71	IGFBP3	NNN	16853	0.05370867997407913	0.11339796	No	
row_72	ERO1A	NNN	16901	0.052320633083581924	0.11378913	No	
row_73	ANXA10	NNN	17066	0.04872725158929825	0.11210288	No	
row_74	AMMECR1	NNN	17251	0.045064378529787064	0.10999201	No	
row_75	ALDH1A2	NNN	17640	0.037391480058431625	0.104226895	No	
row_76	MMD	NNN	17641	0.03738829120993614	0.10507925	No	
row_77	WDR33	NNN	17804	0.03397476300597191	0.10309079	No	
row_78	ADAMDEC1	NNN	17892	0.03255832567811012	0.10234921	No	
row_79	TOR1AIP2	NNN	17920	0.03210669383406639	0.102620654	No	
row_80	TNFAIP3	NNN	18358	0.023168185725808144	0.09569556	No	
row_81	MTMR10	NNN	18367	0.022908126935362816	0.09608137	No	
row_82	FUCA1	NNN	18538	0.018890434876084328	0.09361258	No	
row_83	MMP11	NNN	18656	0.016393441706895828	0.091990806	No	
row_84	BTBD3	NNN	18713	0.015563842840492725	0.09139051	No	
row_85	ATG10	NNN	18760	0.014577259309589863	0.090938285	No	
row_86	AKT2	NNN	19286	0.0021344211418181658	0.08203279	No	
row_87	ADGRL4	NNN	22385	0.0	0.02919475	No	
row_88	PTGS2	NNN	23008	0.0	0.018586209	No	
row_89	CFH	NNN	23061	0.0	0.017699322	No	
row_90	CFHR2	NNN	23064	0.0	0.017665211	No	
row_91	G0S2	NNN	23143	0.0	0.016334878	No	
row_92	HSD11B1	NNN	23144	0.0	0.016334878	No	
row_93	EPB41L3	NNN	25960	0.0	-0.031676445	No	
row_94	CIDEA	NNN	26031	0.0	-0.03287033	No	
row_95	PEG3	NNN	32817	0.0	-0.14859211	No	
row_96	CXCL10	NNN	36245	0.0	-0.20704143	No	
row_97	ETV5	NNN	39889	-0.004598607309162617	-0.26906988	No	
row_98	FBXO4	NNN	40143	-0.01121021993458271	-0.27312937	No	
row_99	TSPAN13	NNN	40288	-0.014124840497970581	-0.27526337	No	
row_100	ETV4	NNN	40341	-0.015433014370501041	-0.2757984	No	
row_101	PTBP2	NNN	40505	-0.01914696954190731	-0.27814198	No	
row_102	CA2	NNN	40526	-0.019691066816449165	-0.27803418	No	
row_103	RBP4	NNN	40795	-0.025176940485835075	-0.2820311	No	
row_104	SPON1	NNN	41049	-0.030723173171281815	-0.28564572	No	
row_105	ADAM17	NNN	41087	-0.03112412989139557	-0.28556722	No	
row_106	CLEC4A	NNN	41397	-0.037265148013830185	-0.28998783	No	
row_107	ID2	NNN	41481	-0.03895071521401405	-0.29051548	No	
row_108	ZNF639	NNN	41536	-0.040163375437259674	-0.29052085	No	
row_109	KIF5C	NNN	41760	-0.04505471512675285	-0.2932971	No	
row_110	SCN1B	NNN	41885	-0.04749521613121033	-0.29432923	No	
row_111	HKDC1	NNN	41999	-0.049984853714704514	-0.29511696	No	
row_112	HDAC9	NNN	42211	-0.0543581061065197	-0.29747647	No	
row_113	CCL20	NNN	42407	-0.05866842344403267	-0.29946482	No	
row_114	PIGR	NNN	42594	-0.06264742463827133	-0.30120894	No	
row_115	TMEM176B	NNN	42676	-0.06430868059396744	-0.30112436	No	
row_116	LAT2	NNN	42790	-0.06678788363933563	-0.30152905	No	
row_117	ANKH	NNN	43378	-0.07974279671907425	-0.30972272	No	
row_118	TRIB1	NNN	43384	-0.07994259148836136	-0.3079855	No	
row_119	AKAP12	NNN	43398	-0.08028189837932587	-0.30637702	No	
row_120	ZNF277	NNN	43869	-0.09107468277215958	-0.31231683	No	
row_121	GALNT3	NNN	43873	-0.09114371985197067	-0.31029016	No	
row_122	CD37	NNN	44566	-0.09430280327796936	-0.31994274	No	
row_123	BPGM	NNN	44796	-0.10034078359603882	-0.32156095	No	
row_124	IL7R	NNN	44843	-0.10136034339666367	-0.32003474	No	
row_125	GFPT2	NNN	44914	-0.10282471030950546	-0.3188845	No	
row_126	SCG5	NNN	45196	-0.10915431380271912	-0.32118866	No	
row_127	TNFRSF1B	NNN	45215	-0.10961214452981949	-0.3189968	No	
row_128	PDCD1LG2	NNN	45275	-0.10990959405899048	-0.3174974	No	
row_129	LY96	NNN	45401	-0.1119237020611763	-0.3170778	No	
row_130	PRELID3B	NNN	45490	-0.1142733097076416	-0.31597352	No	
row_131	F2RL1	NNN	45578	-0.11611030250787735	-0.31481034	No	
row_132	SEMA3B	NNN	45650	-0.11801985651254654	-0.31333074	No	
row_133	PCP4	NNN	45754	-0.11957315355539322	-0.3123615	No	
row_134	PLEK2	NNN	45974	-0.12479832768440247	-0.31325158	No	
row_135	TSPAN1	NNN	46851	-0.149144247174263	-0.32479212	Yes	
row_136	LCP1	NNN	46938	-0.15149372816085815	-0.32280523	Yes	
row_137	LAPTM5	NNN	47113	-0.15471422672271729	-0.3222458	Yes	
row_138	PRKG2	NNN	47269	-0.1594577431678772	-0.3212542	Yes	
row_139	DCBLD2	NNN	47376	-0.1629120111465454	-0.3193481	Yes	
row_140	C3AR1	NNN	47459	-0.16503745317459106	-0.31698424	Yes	
row_141	IL2RG	NNN	47661	-0.17149963974952698	-0.31650263	Yes	
row_142	MPZL2	NNN	47665	-0.17163163423538208	-0.31264105	Yes	
row_143	GLRX	NNN	47749	-0.17467248439788818	-0.31007457	Yes	
row_144	TFPI	NNN	47755	-0.17485013604164124	-0.3061737	Yes	
row_145	PTCD2	NNN	48024	-0.18220852315425873	-0.3065907	Yes	
row_146	RGS16	NNN	48065	-0.18353858590126038	-0.30308872	Yes	
row_147	JUP	NNN	48141	-0.18623961508274078	-0.3001221	Yes	
row_148	ETS1	NNN	48145	-0.1864703893661499	-0.29592225	Yes	
row_149	PLAT	NNN	48281	-0.1905110478401184	-0.29388157	Yes	
row_150	EVI5	NNN	48410	-0.19615113735198975	-0.29159296	Yes	
row_151	TPH1	NNN	48707	-0.2067861258983612	-0.2919272	Yes	
row_152	CSF2	NNN	48757	-0.20859725773334503	-0.28800744	Yes	
row_153	DNMBP	NNN	48788	-0.2100161612033844	-0.28373128	Yes	
row_154	ENG	NNN	49440	-0.2365805208683014	-0.289441	Yes	
row_155	SNAP25	NNN	49653	-0.23670068383216858	-0.2876606	Yes	
row_156	KCNN4	NNN	49755	-0.23933202028274536	-0.28392705	Yes	
row_157	ALDH1A3	NNN	49798	-0.2414628565311432	-0.27913865	Yes	
row_158	LIF	NNN	49829	-0.24258194863796234	-0.2741201	Yes	
row_159	CSF2RA	NNN	49994	-0.2503426671028137	-0.27121	Yes	
row_160	PECAM1	NNN	50033	-0.2515348792076111	-0.2661238	Yes	
row_161	ST6GAL1	NNN	50201	-0.2584836781024933	-0.26307932	Yes	
row_162	FGF9	NNN	50283	-0.26317381858825684	-0.25846112	Yes	
row_163	YRDC	NNN	50284	-0.2632044553756714	-0.25246075	Yes	
row_164	ITGBL1	NNN	50514	-0.27483436465263367	-0.25010094	Yes	
row_165	MMP9	NNN	50579	-0.2777293622493744	-0.24486098	Yes	
row_166	CROT	NNN	50914	-0.29411765933036804	-0.2438524	Yes	
row_167	HBEGF	NNN	50938	-0.2955176532268524	-0.23750764	Yes	
row_168	SNAP91	NNN	51202	-0.3056904673576355	-0.23502429	Yes	
row_169	FCER1G	NNN	51569	-0.3257324993610382	-0.23384075	Yes	
row_170	EREG	NNN	51636	-0.32909461855888367	-0.22746392	Yes	
row_171	TNNT2	NNN	51728	-0.3360655605792999	-0.22135454	Yes	
row_172	WNT7A	NNN	51918	-0.3398647606372833	-0.21683	Yes	
row_173	GYPC	NNN	52373	-0.3571428656578064	-0.21643128	Yes	
row_174	DOCK2	NNN	52607	-0.3571428656578064	-0.21226327	Yes	
row_175	NAP1L2	NNN	52796	-0.3571428656578064	-0.20732778	Yes	
row_176	ADAM8	NNN	53925	-0.3868485987186432	-0.21774727	Yes	
row_177	BIRC3	NNN	53944	-0.38915160298347473	-0.20918262	Yes	
row_178	MAP4K1	NNN	54266	-0.41248953342437744	-0.20525375	Yes	
row_179	ANO1	NNN	54308	-0.4157125651836395	-0.19647585	Yes	
row_180	RETN	NNN	54799	-0.4166666567325592	-0.19533414	Yes	
row_181	APOD	NNN	55093	-0.42969435453414917	-0.19053549	Yes	
row_182	ITGB2	NNN	55142	-0.434510737657547	-0.18144843	Yes	
row_183	NRP1	NNN	55461	-0.4494037926197052	-0.17662683	Yes	
row_184	IL33	NNN	55871	-0.472357839345932	-0.17283401	Yes	
row_185	PRDM1	NNN	56510	-0.546875	-0.1712481	Yes	
row_186	EMP1	NNN	56618	-0.5609546303749084	-0.16028473	Yes	
row_187	INHBA	NNN	56790	-0.5826965570449829	-0.14991724	Yes	
row_188	PLAUR	NNN	57157	-0.6339311599731445	-0.14170757	Yes	
row_189	IRF8	NNN	57379	-0.6432107090950012	-0.1308133	Yes	
