NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOTCH2	NNN	703	0.7545148134231567	0.01868335	Yes	
row_1	SYNPO	NNN	1483	0.612848699092865	0.030311307	Yes	
row_2	NF1	NNN	4747	0.35835352540016174	-0.010772702	Yes	
row_3	PALLD	NNN	5355	0.33040615916252136	-0.0076933657	Yes	
row_4	SMC4	NNN	5376	0.3290870487689972	0.005343942	Yes	
row_5	ARHGEF12	NNN	6061	0.3212164044380188	0.00673641	Yes	
row_6	CDC42BPA	NNN	6333	0.3120687007904053	0.014800929	Yes	
row_7	FGD6	NNN	6342	0.3115462064743042	0.027329814	Yes	
row_8	ARHGAP5	NNN	6393	0.30825671553611755	0.039008636	Yes	
row_9	ALMS1	NNN	6768	0.2876870930194855	0.044325247	Yes	
row_10	NIN	NNN	8731	0.2728685140609741	0.021955254	Yes	
row_11	RICTOR	NNN	8855	0.2689950466156006	0.030792912	Yes	
row_12	ARFGEF1	NNN	9363	0.24428094923496246	0.03207654	Yes	
row_13	OPHN1	NNN	9472	0.2415459007024765	0.040054142	Yes	
row_14	ARHGEF11	NNN	9626	0.23715583980083466	0.047085773	Yes	
row_15	CENPE	NNN	9670	0.23557579517364502	0.055929277	Yes	
row_16	KNTC1	NNN	9931	0.22403427958488464	0.060602535	Yes	
row_17	CEP192	NNN	10279	0.21306031942367554	0.063345835	Yes	
row_18	PCGF5	NNN	10289	0.21264143288135529	0.071836874	Yes	
row_19	TRIO	NNN	10356	0.20962917804718018	0.07923329	Yes	
row_20	STK38L	NNN	10482	0.20444248616695404	0.08541258	Yes	
row_21	ROCK1	NNN	10566	0.2007031887769699	0.09215618	Yes	
row_22	ECT2	NNN	10682	0.19601650536060333	0.09816348	Yes	
row_23	ABI1	NNN	10811	0.1927822381258011	0.103817575	Yes	
row_24	CEP57	NNN	11002	0.1872330904006958	0.10818863	Yes	
row_25	HOOK3	NNN	11296	0.18265195190906525	0.110616736	Yes	
row_26	DST	NNN	11327	0.18180114030838013	0.11749586	Yes	
row_27	RASA1	NNN	11328	0.18179215490818024	0.124886274	Yes	
row_28	KIF1B	NNN	11389	0.1794842630624771	0.13115954	Yes	
row_29	SSH2	NNN	11410	0.1792207807302475	0.13810432	Yes	
row_30	DYNLL2	NNN	11659	0.17069806158542633	0.14081395	Yes	
row_31	FBXO5	NNN	11871	0.16396933794021606	0.1438811	Yes	
row_32	CLIP2	NNN	11876	0.16380193829536438	0.15047194	Yes	
row_33	SORBS2	NNN	11896	0.1633775532245636	0.15678969	Yes	
row_34	CCDC88A	NNN	12013	0.15943674743175507	0.16129285	Yes	
row_35	CDK5RAP2	NNN	12029	0.15898829698562622	0.16750039	Yes	
row_36	ITSN1	NNN	12046	0.15859408676624298	0.17367485	Yes	
row_37	PCM1	NNN	12053	0.1582757532596588	0.18000692	Yes	
row_38	EPB41	NNN	12107	0.1566234976053238	0.18547021	Yes	
row_39	FGD4	NNN	12149	0.1554313600063324	0.1910897	Yes	
row_40	TSC1	NNN	12154	0.15529575943946838	0.19733475	Yes	
row_41	PKD2	NNN	12224	0.15334339439868927	0.2023918	Yes	
row_42	CDC42EP1	NNN	12228	0.15329144895076752	0.20857242	Yes	
row_43	MID1	NNN	12332	0.15010280907154083	0.21291785	Yes	
row_44	CEP250	NNN	12578	0.14435352385044098	0.21460766	Yes	
row_45	MAP1S	NNN	12611	0.1435464471578598	0.2198975	Yes	
row_46	TAOK2	NNN	12981	0.13430123031139374	0.21906377	Yes	
row_47	AKAP13	NNN	13005	0.133717343211174	0.22410752	Yes	
row_48	RASAL2	NNN	13138	0.12927336990833282	0.22711156	Yes	
row_49	KIFAP3	NNN	13156	0.12857143580913544	0.23204844	Yes	
row_50	RAPGEF6	NNN	13252	0.1260349601507187	0.23555188	Yes	
row_51	TUBGCP3	NNN	13285	0.12521076202392578	0.24009632	Yes	
row_52	WASL	NNN	13327	0.12394840270280838	0.24443594	Yes	
row_53	CDC27	NNN	13436	0.12146396189928055	0.24753182	Yes	
row_54	LRPPRC	NNN	13584	0.11821261793375015	0.24983037	Yes	
row_55	BCR	NNN	13769	0.11298339813947678	0.25128528	Yes	
row_56	RFC1	NNN	13839	0.11153119057416916	0.25464255	Yes	
row_57	RALBP1	NNN	13855	0.11112802475690842	0.2589044	Yes	
row_58	CENPF	NNN	14045	0.10677730292081833	0.26002175	Yes	
row_59	RAB3GAP1	NNN	14152	0.10430632531642914	0.26245424	Yes	
row_60	PPP4R2	NNN	14173	0.10358059406280518	0.266324	Yes	
row_61	SPTBN1	NNN	14203	0.10306505113840103	0.27001932	Yes	
row_62	FARP1	NNN	14240	0.10198134928941727	0.27355117	Yes	
row_63	PAFAH1B1	NNN	14272	0.10126525908708572	0.27713922	Yes	
row_64	MYO1E	NNN	14302	0.10059898346662521	0.28073424	Yes	
row_65	SOS1	NNN	14370	0.09915273636579514	0.2836224	Yes	
row_66	BCL2L11	NNN	14425	0.09786555916070938	0.28667995	Yes	
row_67	SMC1A	NNN	14844	0.0887242779135704	0.28315765	Yes	
row_68	CKAP5	NNN	14878	0.08798270672559738	0.2861716	Yes	
row_69	APC	NNN	14995	0.08490964770317078	0.28764498	Yes	
row_70	ARHGEF7	NNN	15374	0.08088963478803635	0.2844864	Yes	
row_71	EPB41L2	NNN	15432	0.07953430712223053	0.28674757	Yes	
row_72	ARHGAP4	NNN	15436	0.07945094257593155	0.28992632	Yes	
row_73	KIF5B	NNN	15606	0.07557385414838791	0.29011625	Yes	
row_74	NCK1	NNN	15690	0.07449856400489807	0.29172924	Yes	
row_75	SHROOM2	NNN	15865	0.07032348960638046	0.29162046	Yes	
row_76	GSN	NNN	15889	0.0698714330792427	0.29406866	Yes	
row_77	SUN2	NNN	15954	0.06820758432149887	0.29574996	Yes	
row_78	KIF20B	NNN	15966	0.06794227659702301	0.29832444	Yes	
row_79	DOCK4	NNN	15996	0.06716344505548477	0.30056024	Yes	
row_80	MYH10	NNN	16560	0.06051001325249672	0.29341787	Yes	
row_81	TOP2A	NNN	16772	0.05580383166670799	0.29208776	Yes	
row_82	GEMIN4	NNN	16783	0.05560137704014778	0.2941776	Yes	
