NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DUSP2	NNN	3475	0.4518545866012573	0.022803446	No	
row_1	AIMP2	NNN	8801	0.27121663093566895	-0.018623004	No	
row_2	HK2	NNN	9347	0.24523349106311798	0.016569208	No	
row_3	MYC	NNN	14033	0.10698552429676056	-0.043745898	No	
row_4	DDX18	NNN	14435	0.09771832078695297	-0.032850694	No	
row_5	PLK4	NNN	14934	0.08659994602203369	-0.02562187	No	
row_6	GRWD1	NNN	15712	0.07414045929908752	-0.025399249	No	
row_7	WDR43	NNN	16720	0.05696026608347893	-0.03220506	No	
row_8	SLC29A2	NNN	16825	0.05444873869419098	-0.02410206	No	
row_9	HSPD1	NNN	16863	0.05325665324926376	-0.015075227	No	
row_10	PPRC1	NNN	16932	0.05181063339114189	-0.006838036	No	
row_11	EXOSC5	NNN	17309	0.04381278157234192	-0.005291498	No	
row_12	PPAN	NNN	17716	0.035902347415685654	-0.0056897	No	
row_13	CDK4	NNN	18247	0.025474414229393005	-0.010088485	No	
row_14	MCM5	NNN	18272	0.025038186460733414	-0.0059569688	No	
row_15	PES1	NNN	18287	0.02459423430263996	-0.001735803	No	
row_16	LAS1L	NNN	18344	0.023407286033034325	0.0015555343	No	
row_17	MAP3K6	NNN	19187	0.0050090160220861435	-0.011862549	No	
row_18	RRP12	NNN	19229	0.0040246848948299885	-0.011830402	No	
row_19	MCM4	NNN	39742	-3.9753844612278044E-4	-0.36076212	No	
row_20	TBRG4	NNN	40066	-0.009432240389287472	-0.3645476	No	
row_21	GNL3	NNN	40119	-0.010553688742220402	-0.3635188	No	
row_22	MPHOSPH10	NNN	40154	-0.011464683338999748	-0.36201856	No	
row_23	TMEM97	NNN	40457	-0.01804552972316742	-0.363885	No	
row_24	BYSL	NNN	40697	-0.023263107985258102	-0.36373347	No	
row_25	NOC4L	NNN	41309	-0.03577037155628204	-0.3676436	Yes	
row_26	PRMT3	NNN	41478	-0.038904815912246704	-0.3634479	Yes	
row_27	IPO4	NNN	41640	-0.042119886726140976	-0.3585502	Yes	
row_28	UTP20	NNN	41968	-0.049504950642585754	-0.35513785	Yes	
row_29	FARSA	NNN	42074	-0.051020409911870956	-0.34767348	Yes	
row_30	MRTO4	NNN	42260	-0.05544126033782959	-0.3407687	Yes	
row_31	MYBBP1A	NNN	42305	-0.056448742747306824	-0.3312822	Yes	
row_32	SORD	NNN	42704	-0.06491268426179886	-0.32628417	Yes	
row_33	SRM	NNN	42744	-0.0657191351056099	-0.3150317	Yes	
row_34	NOP2	NNN	42860	-0.0681893453001976	-0.30462447	Yes	
row_35	RRP9	NNN	42904	-0.06911692768335342	-0.29282397	Yes	
row_36	NPM1	NNN	42951	-0.06996927410364151	-0.28091997	Yes	
row_37	IMP4	NNN	43131	-0.0739431232213974	-0.2705584	Yes	
row_38	NOLC1	NNN	43140	-0.07411991059780121	-0.25725526	Yes	
row_39	TCOF1	NNN	43172	-0.07481573522090912	-0.24421728	Yes	
row_40	SUPV3L1	NNN	43393	-0.08014114946126938	-0.23342949	Yes	
row_41	UNG	NNN	43880	-0.09133177995681763	-0.22513852	Yes	
row_42	HSPE1	NNN	44556	-0.09387688338756561	-0.21960184	Yes	
row_43	RABEPK	NNN	44683	-0.09715407341718674	-0.20412993	Yes	
row_44	SLC19A1	NNN	44847	-0.10142910480499268	-0.18851243	Yes	
row_45	WDR74	NNN	45077	-0.10645058751106262	-0.17310739	Yes	
row_46	CBX3	NNN	45783	-0.12048067897558212	-0.16325742	Yes	
row_47	DCTPP1	NNN	46007	-0.12571494281291962	-0.14425734	Yes	
row_48	NOP56	NNN	46093	-0.12789152562618256	-0.122514576	Yes	
row_49	TFB2M	NNN	46209	-0.13123232126235962	-0.10067651	Yes	
row_50	PUS1	NNN	46901	-0.15020209550857544	-0.08519931	Yes	
row_51	RCL1	NNN	47203	-0.1572926640510559	-0.061800763	Yes	
row_52	NIP7	NNN	48562	-0.20216336846351624	-0.048250813	Yes	
row_53	PA2G4	NNN	49836	-0.24309460818767548	-0.025833061	Yes	
row_54	NOP16	NNN	49851	-0.24382521212100983	0.018138565	Yes	
row_55	PLK1	NNN	52116	-0.34913986921310425	0.042922717	Yes	
row_56	NDUFAF4	NNN	54007	-0.39311784505844116	0.08204432	Yes	
