NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FZD7	NNN	512	0.8153830766677856	0.10511876	Yes	
row_1	NOTCH2	NNN	703	0.7545148134231567	0.20721675	Yes	
row_2	ST3GAL6	NNN	1782	0.562677264213562	0.26743189	Yes	
row_3	HEYL	NNN	1853	0.5524079203605652	0.34335688	Yes	
row_4	DTX1	NNN	5996	0.3249804377555847	0.3182792	Yes	
row_5	DTX4	NNN	6340	0.31164804100990295	0.35595137	Yes	
row_6	NOTCH1	NNN	6926	0.2780376970767975	0.38481578	Yes	
row_7	MAML2	NNN	8862	0.26866382360458374	0.38941166	Yes	
row_8	DLL1	NNN	9295	0.2489626407623291	0.41681936	Yes	
row_9	HES1	NNN	9753	0.23197060823440552	0.44142982	Yes	
row_10	NOTCH3	NNN	12399	0.14808978140354156	0.41711846	Yes	
row_11	LFNG	NNN	12677	0.14192703366279602	0.43222028	Yes	
row_12	PRKCA	NNN	13024	0.13286899030208588	0.4448841	Yes	
row_13	FZD5	NNN	13186	0.12796810269355774	0.46001008	Yes	
row_14	FBXW11	NNN	14913	0.08700834214687347	0.44280162	No	
row_15	SAP30	NNN	16787	0.05553087592124939	0.41869885	No	
row_16	CUL1	NNN	16883	0.05279936268925667	0.42445385	No	
row_17	FZD1	NNN	17990	0.030674846842885017	0.40992588	No	
row_18	TCF7L2	NNN	18827	0.013108400627970695	0.39753762	No	
row_19	APH1A	NNN	18906	0.011286681517958641	0.39778665	No	
row_20	JAG1	NNN	39947	-0.006269235163927078	0.040826518	No	
row_21	KAT2A	NNN	40174	-0.012009087949991226	0.038659304	No	
row_22	PPARD	NNN	43404	-0.08042722940444946	-0.0050299834	No	
row_23	PSEN2	NNN	43440	-0.0812261626124382	0.0057138368	No	
row_24	DTX2	NNN	44738	-0.09865470975637436	-0.0025726538	No	
row_25	PSENEN	NNN	45427	-0.11267605423927307	0.0014557153	No	
row_26	RBX1	NNN	46575	-0.14106078445911407	0.001640172	No	
row_27	ARRB1	NNN	47215	-0.15764425694942474	0.012779412	No	
row_28	SKP1	NNN	47369	-0.16276736557483673	0.032899417	No	
row_29	CCND1	NNN	51519	-0.32262560725212097	0.0073739556	No	
row_30	WNT2	NNN	52742	-0.3571428656578064	0.03644767	No	
row_31	WNT5A	NNN	55963	-0.48037075996398926	0.048743103	No	
