NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFB8	NNN	4183	0.39146313071250916	-0.050616473	No	
row_1	POLR2F	NNN	5238	0.3376702070236206	-0.05072476	No	
row_2	NDUFV2	NNN	6290	0.3147517144680023	-0.05199436	No	
row_3	TIMM9	NNN	10924	0.18997575342655182	-0.12094339	No	
row_4	TIMM8B	NNN	11244	0.18462979793548584	-0.116615236	No	
row_5	PDK4	NNN	11509	0.1759069710969925	-0.111810714	No	
row_6	IDH3A	NNN	11581	0.1733333319425583	-0.10385142	No	
row_7	PDHB	NNN	11592	0.17296862602233887	-0.09487128	No	
row_8	NDUFB1	NNN	11788	0.16681694984436035	-0.08937111	No	
row_9	ISCA1	NNN	12189	0.15408480167388916	-0.08804006	No	
row_10	NDUFA1	NNN	12372	0.1489212065935135	-0.08326496	No	
row_11	SLC25A6	NNN	12831	0.13797757029533386	-0.08377503	No	
row_12	PDHX	NNN	13147	0.12901195883750916	-0.08232105	No	
row_13	SLC25A4	NNN	13162	0.12846475839614868	-0.07576353	No	
row_14	DECR1	NNN	13298	0.12484307587146759	-0.071460836	No	
row_15	COX7A2L	NNN	13577	0.11844418942928314	-0.069935024	No	
row_16	LRPPRC	NNN	13584	0.11821261793375015	-0.06378346	No	
row_17	OAT	NNN	13624	0.11719244718551636	-0.058248572	No	
row_18	MTRR	NNN	13749	0.11345867812633514	-0.054360587	No	
row_19	NDUFC2	NNN	13882	0.11051736772060394	-0.05076462	No	
row_20	NDUFS4	NNN	14090	0.10562235862016678	-0.048706472	No	
row_21	MDH1	NNN	14523	0.09559434652328491	-0.051015425	No	
row_22	NNT	NNN	14668	0.09262622892856598	-0.048570577	No	
row_23	SUCLG1	NNN	14751	0.09102873504161835	-0.045153055	No	
row_24	ABCB7	NNN	15356	0.08126874268054962	-0.051152732	No	
row_25	NDUFS7	NNN	15494	0.07833284139633179	-0.049344696	No	
row_26	ACAA1	NNN	15718	0.07405724376440048	-0.049229283	No	
row_27	COX7C	NNN	15720	0.07395963370800018	-0.045333605	No	
row_28	NDUFS1	NNN	15734	0.07344510406255722	-0.041669767	No	
row_29	HADHB	NNN	15877	0.07006862014532089	-0.040384196	No	
row_30	ALAS1	NNN	15884	0.0699734315276146	-0.036784664	No	
row_31	COX11	NNN	15916	0.06918949633836746	-0.033652887	No	
row_32	ECI1	NNN	15984	0.06753724068403244	-0.031222375	No	
row_33	AFG3L2	NNN	16066	0.06578947603702545	-0.029123047	No	
row_34	SLC25A12	NNN	16428	0.06305939704179764	-0.031942558	No	
row_35	COX15	NNN	16516	0.06120101734995842	-0.030188285	No	
row_36	ACADM	NNN	16650	0.058118417859077454	-0.029381458	No	
row_37	DLAT	NNN	16653	0.058025091886520386	-0.026345827	No	
row_38	COX7A2	NNN	16702	0.05721668526530266	-0.024137331	No	
row_39	ALDH6A1	NNN	16862	0.053346265107393265	-0.024026306	No	
row_40	PDHA1	NNN	16988	0.050641726702451706	-0.023478612	No	
row_41	RHOT2	NNN	17172	0.0467635877430439	-0.02412507	No	
row_42	MRPS30	NNN	17298	0.044075898826122284	-0.02392473	No	
row_43	HSPA9	NNN	17590	0.03857000544667244	-0.026846217	No	
row_44	COX7B	NNN	17778	0.03454126790165901	-0.028207483	No	
row_45	SUCLA2	NNN	17800	0.034056708216667175	-0.026763843	No	
row_46	RHOT1	NNN	18049	0.029671210795640945	-0.029422894	No	
row_47	NDUFS8	NNN	18166	0.027418427169322968	-0.02995033	No	
row_48	NDUFB7	NNN	18182	0.02705191634595394	-0.02877496	No	
row_49	ACAT1	NNN	18235	0.025735294446349144	-0.028300148	No	
row_50	FXN	NNN	18239	0.025657473132014275	-0.02699393	No	
row_51	NDUFA3	NNN	18243	0.02559726871550083	-0.025690898	No	
row_52	UQCRFS1	NNN	18285	0.02463778853416443	-0.025086582	No	
row_53	ATP1B1	NNN	18334	0.02355460450053215	-0.02465893	No	
row_54	ACADSB	NNN	18412	0.021970514208078384	-0.024809575	No	
row_55	SDHA	NNN	18415	0.021887334063649178	-0.023685759	No	
row_56	PHB2	NNN	18486	0.020227935165166855	-0.023809232	No	
row_57	NQO2	NNN	18598	0.017992082983255386	-0.0247501	No	
row_58	SLC25A11	NNN	18663	0.01623302325606346	-0.024982609	No	
row_59	TIMM13	NNN	18706	0.01566910929977894	-0.024869818	No	
row_60	NDUFS3	NNN	18724	0.015387880615890026	-0.02434562	No	
row_61	FDX1	NNN	18798	0.013645743019878864	-0.024868468	No	
row_62	CYC1	NNN	19018	0.009220682084560394	-0.028114932	No	
row_63	MRPS22	NNN	19104	0.00736377015709877	-0.029174736	No	
row_64	DLST	NNN	19240	0.003600692842155695	-0.031286195	No	
row_65	MTX2	NNN	19253	0.0030857848469167948	-0.03132756	No	
row_66	SLC25A20	NNN	39762	-0.0011188185308128595	-0.38095975	No	
row_67	MGST3	NNN	39795	-0.0022208404261618853	-0.3813879	No	
row_68	UQCRC2	NNN	39812	-0.0026609899941831827	-0.38151994	No	
row_69	ISCU	NNN	39814	-0.002663825172930956	-0.38139609	No	
row_70	COX10	NNN	39817	-0.0029800930060446262	-0.38127252	No	
row_71	MRPL34	NNN	39845	-0.0035747115034610033	-0.3815438	No	
row_72	MRPL15	NNN	39861	-0.003869968932121992	-0.38159484	No	
row_73	OPA1	NNN	39901	-0.004822674207389355	-0.3820047	No	
row_74	ETFDH	NNN	39984	-0.0072749946266412735	-0.38301805	No	
row_75	LDHB	NNN	40019	-0.007860717363655567	-0.38318193	No	
row_76	IDH3G	NNN	40030	-0.00814026314765215	-0.38292181	No	
row_77	CPT1A	NNN	40054	-0.00907061155885458	-0.3828341	No	
row_78	MPC1	NNN	40087	-0.009770028293132782	-0.3828629	No	
row_79	SDHD	NNN	40161	-0.011631288565695286	-0.38349232	No	
row_80	HCCS	NNN	40246	-0.013273161835968494	-0.38422245	No	
row_81	CASP7	NNN	40646	-0.022186364978551865	-0.38985223	No	
row_82	BAX	NNN	40652	-0.02224881201982498	-0.38876045	No	
row_83	MDH2	NNN	40914	-0.027568195015192032	-0.39175242	Yes	
row_84	COX6C	NNN	40929	-0.02802850306034088	-0.39050835	Yes	
row_85	FH	NNN	40939	-0.02817072719335556	-0.38917148	Yes	
row_86	DLD	NNN	41006	-0.029714738950133324	-0.38872486	Yes	
row_87	CYCS	NNN	41026	-0.030222123488783836	-0.38744998	Yes	
row_88	TOMM22	NNN	41037	-0.030484206974506378	-0.38600776	Yes	
row_89	ATP6V1G1	NNN	41045	-0.030629748478531837	-0.3845067	Yes	
row_90	UQCRH	NNN	41115	-0.03182627633213997	-0.38399953	Yes	
row_91	UQCRB	NNN	41188	-0.03323986381292343	-0.38346872	Yes	
row_92	SDHC	NNN	41258	-0.034834325313568115	-0.38280243	Yes	
row_93	NDUFA7	NNN	41321	-0.03591254726052284	-0.3819597	Yes	
row_94	MFN2	NNN	41383	-0.036983322352170944	-0.38104331	Yes	
row_95	ATP6V1C1	NNN	41390	-0.037137776613235474	-0.37918088	Yes	
row_96	COX17	NNN	41510	-0.03959983214735985	-0.37911505	Yes	
row_97	NDUFV1	NNN	41544	-0.04035273194313049	-0.37754294	Yes	
row_98	POR	NNN	41688	-0.043077047914266586	-0.37770236	Yes	
row_99	COX8A	NNN	41705	-0.043609023094177246	-0.3756681	Yes	
row_100	LDHA	NNN	42003	-0.050057828426361084	-0.37808415	Yes	
row_101	HADHA	NNN	42120	-0.0521368533372879	-0.3773039	Yes	
row_102	ACADVL	NNN	42334	-0.056675564497709274	-0.37793753	Yes	
row_103	IMMT	NNN	42387	-0.05818219855427742	-0.37574616	Yes	
row_104	NDUFA4	NNN	42411	-0.05882352963089943	-0.37302637	Yes	
row_105	HSD17B10	NNN	42440	-0.05942820385098457	-0.37035984	Yes	
row_106	ATP6V1F	NNN	42534	-0.06094438210129738	-0.36872146	Yes	
row_107	NDUFS2	NNN	43004	-0.07107511162757874	-0.37295848	Yes	
row_108	IDH3B	NNN	43075	-0.0726536437869072	-0.37030843	Yes	
row_109	ECHS1	NNN	43123	-0.07382787019014359	-0.3672041	Yes	
row_110	UQCRC1	NNN	43210	-0.0757068619132042	-0.36466536	Yes	
row_111	NDUFA8	NNN	43297	-0.07774480432271957	-0.36201882	Yes	
row_112	NDUFB4	NNN	43305	-0.07792942225933075	-0.35801542	Yes	
row_113	ACO2	NNN	43326	-0.07855349779129028	-0.3542007	Yes	
row_114	SUPV3L1	NNN	43393	-0.08014114946126938	-0.35108635	Yes	
row_115	UQCRQ	NNN	43459	-0.08167743682861328	-0.34787366	Yes	
row_116	MRPS12	NNN	43469	-0.08189724385738373	-0.34369448	Yes	
row_117	NDUFS6	NNN	43482	-0.0821719691157341	-0.3395519	Yes	
row_118	ETFB	NNN	43620	-0.08515201508998871	-0.33738312	Yes	
row_119	ATP6AP1	NNN	43628	-0.0854049101471901	-0.33298424	Yes	
row_120	NDUFB3	NNN	43632	-0.0855666771531105	-0.32850862	Yes	
row_121	HTRA2	NNN	43651	-0.08612874150276184	-0.32425904	Yes	
row_122	NDUFB2	NNN	43792	-0.08929356932640076	-0.32192227	Yes	
row_123	OGDH	NNN	43851	-0.09065275639295578	-0.3181154	Yes	
row_124	SURF1	NNN	44495	-0.09242479503154755	-0.3241899	Yes	
row_125	TIMM50	NNN	44565	-0.09424450248479843	-0.3203806	Yes	
row_126	TIMM10	NNN	44659	-0.09651339054107666	-0.31686047	Yes	
row_127	PDP1	NNN	44669	-0.096726194024086	-0.31189677	Yes	
row_128	RETSAT	NNN	44730	-0.09846236556768417	-0.30771086	Yes	
row_129	ETFA	NNN	44774	-0.09973206371068954	-0.30316788	Yes	
row_130	VDAC3	NNN	44938	-0.10363123565912247	-0.3004648	Yes	
