NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DPP4	NNN	3977	0.4069225490093231	-0.010988069	Yes	
row_1	PDX1	NNN	4016	0.4031151235103607	0.04449491	Yes	
row_2	FOXO1	NNN	5082	0.34896552562713623	0.074969195	Yes	
row_3	INSM1	NNN	6278	0.3150999844074249	0.09851682	Yes	
row_4	LMO2	NNN	6547	0.3008962869644165	0.13585472	Yes	
row_5	AKT3	NNN	6756	0.28843986988067627	0.17247878	Yes	
row_6	SST	NNN	7388	0.27401089668273926	0.19989868	Yes	
row_7	NKX6-1	NNN	7441	0.27401089668273926	0.23716716	Yes	
row_8	DCX	NNN	8804	0.2706679105758667	0.2516875	Yes	
row_9	HNF1A	NNN	10953	0.18925519287586212	0.24150237	Yes	
row_10	ABCC8	NNN	11293	0.18269036710262299	0.2611737	Yes	
row_11	ELP4	NNN	11559	0.17399868369102478	0.28089353	Yes	
row_12	CHGA	NNN	12773	0.1393466293811798	0.27966326	Yes	
row_13	MAFB	NNN	13089	0.13073697686195374	0.2925089	Yes	
row_14	GCK	NNN	13095	0.13055960834026337	0.31060284	Yes	
row_15	PKLR	NNN	14103	0.10530515760183334	0.30813667	No	
row_16	FOXA2	NNN	15764	0.07272005826234818	0.29002604	No	
row_17	PCSK1	NNN	15922	0.06896716356277466	0.29695845	No	
row_18	STXBP1	NNN	16763	0.05590829998254776	0.2904549	No	
row_19	ISL1	NNN	16909	0.05217137932777405	0.2952528	No	
row_20	NEUROG3	NNN	28848	0.0	0.09219105	No	
row_21	IAPP	NNN	29334	0.0	0.08394135	No	
row_22	GCG	NNN	34389	0.0	-0.0020256562	No	
row_23	G6PC2	NNN	34411	0.0	-0.0023828598	No	
row_24	PAX4	NNN	37048	0.0	-0.047220416	No	
row_25	INS	NNN	42027	-0.05033700913190842	-0.124885805	No	
row_26	SRP14	NNN	43509	-0.08306911587715149	-0.1385107	No	
row_27	SRP9	NNN	43656	-0.08621519804000854	-0.1289896	No	
row_28	SCGN	NNN	44114	-0.09175170958042145	-0.123987615	No	
row_29	SRPRB	NNN	44736	-0.09858839213848114	-0.12082329	No	
row_30	SEC11A	NNN	45905	-0.12312956899404526	-0.123546176	No	
row_31	SPCS1	NNN	46559	-0.14085999131202698	-0.1150403	No	
row_32	SYT13	NNN	48088	-0.184638112783432	-0.11532229	No	
row_33	PAX6	NNN	48237	-0.18886679410934448	-0.0915421	No	
row_34	PAK3	NNN	48919	-0.21617652475833893	-0.0730255	No	
row_35	VDR	NNN	49181	-0.22790060937404633	-0.04573238	No	
row_36	SLC2A2	NNN	50999	-0.29885849356651306	-0.035026237	No	
row_37	PCSK2	NNN	51263	-0.3056904673576355	0.0030642487	No	
row_38	NKX2-2	NNN	53389	-0.3571428656578064	0.01664686	No	
row_39	NEUROD1	NNN	56504	-0.5448828339576721	0.03954761	No	
