NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITPR2	NNN	529	0.8098510503768921	0.041360017	Yes	
row_1	CAMK4	NNN	534	0.8074160814285278	0.09150841	Yes	
row_2	CDKN1A	NNN	2793	0.4749082326889038	0.082595155	Yes	
row_3	DAPP1	NNN	3327	0.46242809295654297	0.1022794	Yes	
row_4	GNA14	NNN	3348	0.46242809295654297	0.13069913	Yes	
row_5	CXCR4	NNN	3829	0.4205895960330963	0.14868377	Yes	
row_6	PLCB1	NNN	4195	0.39032620191574097	0.16674444	Yes	
row_7	PIKFYVE	NNN	4775	0.35581082105636597	0.17901443	Yes	
row_8	RIT1	NNN	5957	0.3275723457336426	0.17927715	Yes	
row_9	NGF	NNN	7106	0.27401089668273926	0.1767706	Yes	
row_10	MAPK10	NNN	8761	0.27183446288108826	0.1655124	Yes	
row_11	PDK1	NNN	10379	0.2089882344007492	0.15097558	Yes	
row_12	MAP2K6	NNN	10527	0.20260129868984222	0.16107304	Yes	
row_13	PRKAA2	NNN	10962	0.18859368562698364	0.1654122	Yes	
row_14	PTPN11	NNN	11611	0.17235732078552246	0.1650975	Yes	
row_15	E2F1	NNN	11613	0.17222820222377777	0.17579205	Yes	
row_16	CDKN1B	NNN	11782	0.1669694036245346	0.18331583	Yes	
row_17	AKT1S1	NNN	12324	0.15042948722839355	0.18345939	Yes	
row_18	MAP3K7	NNN	13369	0.12272299826145172	0.17331456	Yes	
row_19	PTEN	NNN	13897	0.11010701209306717	0.17118868	Yes	
row_20	SLC2A1	NNN	13953	0.1091577336192131	0.17704108	Yes	
row_21	PITX2	NNN	14060	0.10645044595003128	0.18185669	Yes	
row_22	PRKCB	NNN	14659	0.09276050329208374	0.17744295	Yes	
row_23	IL4	NNN	14891	0.08757489174604416	0.17895608	Yes	
row_24	CAB39L	NNN	15002	0.08480503410100937	0.18235734	Yes	
row_25	MKNK2	NNN	15003	0.08478549867868423	0.1876305	Yes	
row_26	MAPKAP1	NNN	15009	0.08462786674499512	0.19280872	Yes	
row_27	UBE2D3	NNN	15076	0.08298520743846893	0.19684604	Yes	
row_28	RALB	NNN	15533	0.07740950584411621	0.19389558	Yes	
row_29	PLCG1	NNN	15549	0.07706867158412933	0.19843337	Yes	
row_30	NCK1	NNN	15690	0.07449856400489807	0.20068279	Yes	
row_31	HSP90B1	NNN	15819	0.07171794027090073	0.2029636	Yes	
row_32	RPS6KA3	NNN	16093	0.06524794548749924	0.20237294	Yes	
row_33	MAP2K3	NNN	16534	0.06094874441623688	0.19867116	Yes	
row_34	CLTC	NNN	16546	0.06067797541618347	0.20225766	Yes	
row_35	SQSTM1	NNN	16652	0.05804555490612984	0.20407979	Yes	
row_36	DDIT3	NNN	16805	0.05494505539536476	0.20490876	Yes	
row_37	CALR	NNN	16885	0.05269164219498634	0.20684063	Yes	
row_38	ECSIT	NNN	17082	0.04865650087594986	0.20652926	No	
row_39	GSK3B	NNN	17526	0.03960803896188736	0.20144914	No	
row_40	SMAD2	NNN	17612	0.03804565593600273	0.20236795	No	
row_41	CDK4	NNN	18247	0.025474414229393005	0.1931564	No	
row_42	RPTOR	NNN	18345	0.023402133956551552	0.19296014	No	
row_43	TIAM1	NNN	18447	0.020984357222914696	0.1925454	No	
row_44	MAPK1	NNN	18695	0.01581459492444992	0.189323	No	
row_45	DUSP3	NNN	18838	0.012987012974917889	0.1877127	No	
row_46	THEM4	NNN	18889	0.011671015061438084	0.18758716	No	
row_47	FGF6	NNN	29213	0.0	0.011804712	No	
row_48	RPS6KA1	NNN	39798	-0.0023084026761353016	-0.16827853	No	
row_49	ACACA	NNN	40243	-0.013249915093183517	-0.175015	No	
row_50	PIN1	NNN	40589	-0.021122774109244347	-0.17957604	No	
row_51	MAPK9	NNN	40626	-0.021723389625549316	-0.17883798	No	
row_52	MAPK8	NNN	40651	-0.02223633974790573	-0.17786369	No	
row_53	UBE2N	NNN	40675	-0.022782597690820694	-0.1768384	No	
row_54	RAF1	NNN	40881	-0.026984747499227524	-0.1786509	No	
row_55	ATF1	NNN	41273	-0.03510914370417595	-0.18312535	No	
row_56	PIK3R3	NNN	41433	-0.03824756667017937	-0.18345407	No	
row_57	CDK1	NNN	41593	-0.041357044130563736	-0.1835894	No	
