NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LEFTY2	NNN	858	0.7043094038963318	0.064387195	Yes	
row_1	HIPK2	NNN	1886	0.5488086342811584	0.10846039	Yes	
row_2	TRIM33	NNN	4737	0.3590054512023926	0.10023199	Yes	
row_3	PPP1R15A	NNN	8919	0.26529577374458313	0.05884919	Yes	
row_4	ID3	NNN	9226	0.25116944313049316	0.08181046	Yes	
row_5	KLF10	NNN	9283	0.24954363703727722	0.108842835	Yes	
row_6	ARID4B	NNN	9939	0.22387351095676422	0.12280519	Yes	
row_7	SERPINE1	NNN	10581	0.20000645518302917	0.13432917	Yes	
row_8	PPM1A	NNN	11552	0.17436723411083221	0.1373803	Yes	
row_9	CTNNB1	NNN	11966	0.16106434166431427	0.14841624	Yes	
row_10	ACVR1	NNN	12569	0.14450867474079132	0.15437993	Yes	
row_11	SKI	NNN	12584	0.1441102772951126	0.17030303	Yes	
row_12	TGFBR1	NNN	12833	0.13792142271995544	0.18155086	Yes	
row_13	JUNB	NNN	13112	0.12995178997516632	0.19139452	Yes	
row_14	BMPR2	NNN	13153	0.12871287763118744	0.20514852	Yes	
row_15	MAP3K7	NNN	13369	0.12272299826145172	0.21525337	Yes	
row_16	BMPR1A	NNN	13469	0.12077644467353821	0.22711352	Yes	
row_17	TJP1	NNN	13820	0.11177103966474533	0.2336933	Yes	
row_18	SLC20A1	NNN	14165	0.1039232537150383	0.23949508	Yes	
row_19	SPTBN1	NNN	14203	0.10306505113840103	0.25042385	Yes	
row_20	IFNGR2	NNN	14584	0.09397439658641815	0.2544974	Yes	
row_21	APC	NNN	14995	0.08490964770317078	0.257044	Yes	
row_22	UBE2D3	NNN	15076	0.08298520743846893	0.2649893	Yes	
row_23	BMP2	NNN	16096	0.06516071408987045	0.25495976	No	
row_24	XIAP	NNN	16097	0.06515917927026749	0.26226705	No	
row_25	SMAD3	NNN	16435	0.06291767954826355	0.26358932	No	
row_26	NCOR2	NNN	17240	0.045336607843637466	0.25499457	No	
row_27	FURIN	NNN	17302	0.043899811804294586	0.2588799	No	
row_28	ID1	NNN	17343	0.04298314079642296	0.2630197	No	
row_29	FNTA	NNN	18001	0.030473938211798668	0.2552592	No	
row_30	SMAD1	NNN	18927	0.010893246158957481	0.24074309	No	
row_31	TGIF1	NNN	40031	-0.008140836842358112	-0.117385045	No	
row_32	SKIL	NNN	40474	-0.0185190849006176	-0.1228283	No	
row_33	CDK9	NNN	40824	-0.025807900354266167	-0.12587185	No	
row_34	ID2	NNN	41481	-0.03895071521401405	-0.13266474	No	
row_35	WWTR1	NNN	42571	-0.0620742104947567	-0.14423138	No	
row_36	PMEPA1	NNN	42707	-0.06493506580591202	-0.13924606	No	
row_37	THBS1	NNN	42721	-0.06534668058156967	-0.13213892	No	
row_38	HDAC1	NNN	43041	-0.07185308635234833	-0.12950832	No	
row_39	PPP1CA	NNN	43100	-0.07327640801668167	-0.12227751	No	
row_40	BCAR3	NNN	43639	-0.08563439548015594	-0.121827416	No	
row_41	SMURF2	NNN	43674	-0.08649741858243942	-0.1127056	No	
row_42	CDH1	NNN	43893	-0.09170757234096527	-0.10613003	No	
row_43	SMURF1	NNN	45488	-0.11419370770454407	-0.12044365	No	
row_44	RHOA	NNN	47093	-0.1540783792734146	-0.13045453	No	
row_45	FKBP1A	NNN	47536	-0.16677512228488922	-0.11927156	No	
row_46	TGFB1	NNN	48036	-0.18252933025360107	-0.10729161	No	
row_47	CDKN1C	NNN	48259	-0.1895587295293808	-0.08981054	No	
row_48	RAB31	NNN	48547	-0.20148493349552155	-0.0720979	No	
row_49	ENG	NNN	49440	-0.2365805208683014	-0.060742766	No	
row_50	SMAD6	NNN	50122	-0.2545773684978485	-0.04377947	No	
row_51	NOG	NNN	56265	-0.5168903470039368	-0.09031107	No	
row_52	LTBP2	NNN	56373	-0.5306085348129272	-0.032626286	No	
row_53	SMAD7	NNN	57673	-0.6633813381195068	0.019667964	No	
