NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC1A4	NNN	1538	0.6053197979927063	0.02478697	Yes	
row_1	IGFBP1	NNN	4167	0.39310789108276367	0.013140066	Yes	
row_2	ERN1	NNN	4168	0.3929244875907898	0.046230957	Yes	
row_3	TSPYL2	NNN	5078	0.3493202328681946	0.06016992	Yes	
row_4	ASNS	NNN	6243	0.31646502017974854	0.06699942	Yes	
row_5	TUBB2A	NNN	8874	0.2679245173931122	0.044775896	Yes	
row_6	NFYA	NNN	9134	0.2556634247303009	0.06189647	Yes	
row_7	VEGFA	NNN	9231	0.25103867053985596	0.08140335	Yes	
row_8	SDAD1	NNN	9462	0.24206142127513885	0.097872265	Yes	
row_9	IFIT1	NNN	9844	0.22832851111888885	0.11061319	Yes	
row_10	BAG3	NNN	10471	0.20475561916828156	0.11719668	Yes	
row_11	EIF2AK3	NNN	10607	0.1989574283361435	0.1316533	Yes	
row_12	DNAJA4	NNN	10893	0.19062083959579468	0.14285342	Yes	
row_13	ATF6	NNN	10940	0.1895962804555893	0.15803729	Yes	
row_14	HYOU1	NNN	12219	0.15349367260932922	0.14920048	Yes	
row_15	DDIT4	NNN	13027	0.13256503641605377	0.14662199	Yes	
row_16	DDX10	NNN	13271	0.1255083978176117	0.15305378	Yes	
row_17	EEF2	NNN	13381	0.12239577621221542	0.16150537	Yes	
row_18	XBP1	NNN	13635	0.1168651133775711	0.16703896	Yes	
row_19	HSPA5	NNN	13715	0.11435412615537643	0.17532419	Yes	
row_20	CNOT6	NNN	13968	0.10885823518037796	0.18020049	Yes	
row_21	KHSRP	NNN	14093	0.10548071563243866	0.1869721	Yes	
row_22	STC2	NNN	14186	0.10346756130456924	0.19411913	Yes	
row_23	EIF4A1	NNN	14228	0.10225744545459747	0.20203273	Yes	
row_24	XPOT	NNN	14239	0.1020137220621109	0.2104537	Yes	
row_25	CEBPB	NNN	14310	0.10034926980733871	0.21771276	Yes	
row_26	RPS14	NNN	14354	0.09957639127969742	0.22536652	Yes	
row_27	SLC7A5	NNN	14953	0.0861666202545166	0.22243963	Yes	
row_28	EIF4A2	NNN	15593	0.0760200172662735	0.21796001	Yes	
row_29	KIF5B	NNN	15606	0.07557385414838791	0.22412026	Yes	
row_30	KDELR3	NNN	15744	0.07325240969657898	0.22795632	Yes	
row_31	HSP90B1	NNN	15819	0.07171794027090073	0.23273602	Yes	
row_32	SERP1	NNN	15864	0.07032418996095657	0.23790921	Yes	
row_33	CEBPG	NNN	15892	0.06983733922243118	0.24333091	Yes	
row_34	CNOT2	NNN	16693	0.05734097957611084	0.23453647	Yes	
row_35	GEMIN4	NNN	16783	0.05560137704014778	0.23770343	Yes	
row_36	SEC31A	NNN	16790	0.05539374426007271	0.24226634	Yes	
row_37	CALR	NNN	16885	0.05269164219498634	0.24510312	Yes	
row_38	ERO1A	NNN	16901	0.052320633083581924	0.24925396	Yes	
row_39	EIF4A3	NNN	17092	0.048486243933439255	0.25010175	Yes	
row_40	EXOSC5	NNN	17309	0.04381278157234192	0.25011316	Yes	
row_41	HSPA9	NNN	17590	0.03857000544667244	0.24859318	Yes	
row_42	PDIA5	NNN	17621	0.03785966709256172	0.2512707	Yes	
row_43	PSAT1	NNN	17846	0.03337933123111725	0.25026724	Yes	
row_44	EXOSC1	NNN	17937	0.03174010291695595	0.25140765	Yes	
row_45	DCP2	NNN	18083	0.02902374602854252	0.25138268	Yes	
row_46	PAIP1	NNN	18210	0.026551051065325737	0.25147304	Yes	
row_47	SSR1	NNN	18216	0.026317333802580833	0.25360423	Yes	
row_48	DCP1A	NNN	18311	0.02415950410068035	0.25403813	Yes	
row_49	FUS	NNN	18352	0.023276131600141525	0.25531718	Yes	
row_50	FKBP14	NNN	18511	0.019615348428487778	0.25427848	Yes	
row_51	EDEM1	NNN	18544	0.01885458454489708	0.2553214	Yes	
row_52	WFS1	NNN	18763	0.014426679350435734	0.25282398	No	
row_53	EDC4	NNN	18891	0.011612771078944206	0.25163925	No	
row_54	SPCS3	NNN	18957	0.010463832877576351	0.25141355	No	
row_55	EXOC2	NNN	18972	0.010205770842730999	0.25203466	No	
row_56	EIF4G1	NNN	19134	0.006463175173848867	0.24983723	No	
row_57	ZBTB17	NNN	19154	0.006008583586663008	0.2500197	No	
row_58	DNAJC3	NNN	19323	7.522190571762621E-4	0.24722211	No	
row_59	SHC1	NNN	19331	5.055509391240776E-4	0.24714547	No	
row_60	CCL2	NNN	25574	0.0	0.14084801	No	
row_61	DCTN1	NNN	39806	-0.002483608201146126	-0.10128813	No	
row_62	GOSR2	NNN	39938	-0.005952838808298111	-0.10301765	No	
row_63	LSM4	NNN	40175	-0.012013278901576996	-0.10602487	No	
row_64	CNOT4	NNN	40249	-0.013313967734575272	-0.10614675	No	
