NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTCH1	NNN	4768	0.35633909702301025	-0.02510428	Yes	
row_1	HEY1	NNN	4818	0.35307517647743225	0.029549975	Yes	
row_2	FRAT1	NNN	5964	0.32715559005737305	0.061487563	Yes	
row_3	NOTCH1	NNN	6926	0.2780376970767975	0.08883589	Yes	
row_4	HEY2	NNN	9177	0.25375330448150635	0.09044154	Yes	
row_5	DLL1	NNN	9295	0.2489626407623291	0.12757722	Yes	
row_6	AXIN1	NNN	10435	0.20617084205150604	0.14060344	Yes	
row_7	NUMB	NNN	11854	0.16454419493675232	0.14234191	Yes	
row_8	HDAC11	NNN	11903	0.16319888830184937	0.16717304	Yes	
row_9	CTNNB1	NNN	11966	0.16106434166431427	0.19143058	Yes	
row_10	DVL2	NNN	12148	0.1554746925830841	0.21278545	Yes	
row_11	RBPJ	NNN	12215	0.1536141186952591	0.2358041	Yes	
row_12	NKD1	NNN	13219	0.12721014022827148	0.23873459	Yes	
row_13	HDAC5	NNN	13950	0.10917747765779495	0.24347495	Yes	
row_14	DKK4	NNN	14023	0.10727083683013916	0.25910842	Yes	
row_15	MYC	NNN	14033	0.10698552429676056	0.27576873	Yes	
row_16	NOTCH4	NNN	14587	0.09392841905355453	0.2811234	Yes	
row_17	NCSTN	NNN	14860	0.08838727325201035	0.29038718	Yes	
row_18	TCF7	NNN	14941	0.08641138672828674	0.3026064	Yes	
row_19	GNAI1	NNN	15972	0.0678660124540329	0.29575133	No	
row_20	LEF1	NNN	16508	0.061397939920425415	0.29629987	No	
row_21	CUL1	NNN	16883	0.05279936268925667	0.29823574	No	
row_22	NCOR2	NNN	17240	0.045336607843637466	0.299305	No	
row_23	FZD1	NNN	17990	0.030674846842885017	0.29138502	No	
row_24	JAG1	NNN	39947	-0.006269235163927078	-0.0811073	No	
row_25	KAT2A	NNN	40174	-0.012009087949991226	-0.083064325	No	
row_26	HDAC2	NNN	40521	-0.01958143152296543	-0.085872546	No	
row_27	MAML1	NNN	40574	-0.020815987139940262	-0.08348573	No	
row_28	ADAM17	NNN	41087	-0.03112412989139557	-0.08730366	No	
row_29	CSNK1E	NNN	42199	-0.05403324216604233	-0.097710446	No	
row_30	JAG2	NNN	42404	-0.05856931582093239	-0.09197604	No	
row_31	PPARD	NNN	43404	-0.08042722940444946	-0.09632971	No	
row_32	TP53	NNN	43421	-0.08087165653705597	-0.083892435	No	
row_33	PSEN2	NNN	43440	-0.0812261626124382	-0.07143347	No	
row_34	SKP2	NNN	43453	-0.08152341097593307	-0.058825728	No	
row_35	WNT1	NNN	45521	-0.11456475406885147	-0.07598147	No	
row_36	AXIN2	NNN	46172	-0.1299670785665512	-0.066613086	No	
row_37	WNT6	NNN	46187	-0.1305595338344574	-0.04633306	No	
row_38	DKK1	NNN	49004	-0.22018077969551086	-0.059631336	No	
row_39	WNT5B	NNN	49760	-0.23956795036792755	-0.034824636	No	
row_40	FZD8	NNN	55705	-0.4613475799560547	-0.063430324	No	
row_41	CCND2	NNN	58049	-0.7416435480117798	0.0132680815	No	
