NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	194	0.3998384	1.3304754	0.018648019	0.3886087	0.416	16915	tags=51%, list=29%, signal=71%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	32	0.46001008	1.17584	0.205074	0.8608053	0.915	13186	tags=44%, list=22%, signal=56%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	198	0.31057492	1.0340132	0.3263889	1.0	1.0	17944	tags=53%, list=31%, signal=76%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	194	0.30636182	1.0170356	0.3729977	1.0	1.0	14236	tags=40%, list=24%, signal=52%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	140	0.3115733	1.0047574	0.4327354	1.0	1.0	14537	tags=45%, list=25%, signal=60%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	36	0.3587927	0.9176971	0.6008677	1.0	1.0	11536	tags=47%, list=20%, signal=59%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	200	0.24888544	0.8319221	0.9928741	1.0	1.0	12849	tags=28%, list=22%, signal=35%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	0.3026064	0.82360846	0.80932206	1.0	1.0	14941	tags=45%, list=25%, signal=61%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	40	0.31060284	0.80922824	0.8077754	1.0	1.0	13095	tags=38%, list=22%, signal=48%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	108	0.2553214	0.8006824	0.9798658	1.0	1.0	18544	tags=48%, list=32%, signal=70%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	54	0.2649893	0.7521343	0.95661604	1.0	1.0	15076	tags=43%, list=26%, signal=57%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	198	0.20903566	0.6955271	1.0	1.0	1.0	16010	tags=34%, list=27%, signal=47%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	95	0.21743952	0.66910034	1.0	1.0	1.0	15173	tags=33%, list=26%, signal=44%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	95	0.21650554	0.66810244	1.0	1.0	1.0	18695	tags=47%, list=32%, signal=69%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	196	0.19058938	0.64872175	1.0	1.0	1.0	17872	tags=39%, list=30%, signal=56%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	104	0.20684063	0.6427278	1.0	0.99955463	1.0	16885	tags=37%, list=29%, signal=51%	
