NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	193	-0.49698445	-1.6270244	0.0	0.022794355	0.019	18410	tags=63%, list=31%, signal=92%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	195	-0.40467015	-1.3126864	0.011551155	0.54956764	0.575	13581	tags=39%, list=23%, signal=51%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	87	-0.44367042	-1.3041846	0.035906643	0.4032288	0.615	13027	tags=44%, list=22%, signal=56%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	184	-0.3932109	-1.2802585	0.017361112	0.3860828	0.722	17917	tags=55%, list=30%, signal=79%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	195	-0.39268336	-1.2791171	0.023809524	0.3133824	0.728	7976	tags=25%, list=14%, signal=28%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	193	-0.38283476	-1.2431175	0.043706294	0.37362817	0.855	12051	tags=34%, list=20%, signal=43%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	36	-0.4676009	-1.1926554	0.1627451	0.5013848	0.945	8018	tags=31%, list=14%, signal=35%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	160	-0.3661139	-1.1807585	0.079931974	0.4859932	0.966	13141	tags=34%, list=22%, signal=44%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	195	-0.35956138	-1.1675689	0.105902776	0.4863631	0.981	17238	tags=52%, list=29%, signal=73%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	198	-0.3600529	-1.1644113	0.09824561	0.44908485	0.983	12401	tags=40%, list=21%, signal=50%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	199	-0.35337752	-1.1472317	0.13250883	0.4697585	0.987	13214	tags=37%, list=22%, signal=48%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	156	-0.3435164	-1.094674	0.22182469	0.6532378	1.0	17584	tags=47%, list=30%, signal=67%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	195	-0.33681393	-1.0910953	0.21901529	0.6181564	1.0	12031	tags=32%, list=20%, signal=40%	
