NAME	TITLE	SCORE	
USP39	NNN	3.9871838	
RP11-192H23.7	NNN	1.8181819	
ANKRD20A2	NNN	1.7913183	
TAS2R19	NNN	1.7463146	
LINC00607	NNN	1.6735595	
RP11-631M21.7	NNN	1.6683728	
AC008547.1	NNN	1.6396185	
LINC00614	NNN	1.6396185	
RP11-2H3.6	NNN	1.5945387	
RP4-811H24.9	NNN	1.5945387	
SLC9B1	NNN	1.5683694	
GP5	NNN	1.5581522	
TP53TG3D	NNN	1.5477911	
GAPDHP62	NNN	1.5179917	
RP11-95I16.4	NNN	1.5099252	
RP11-791G16.2	NNN	1.4978288	
JARID2-AS1	NNN	1.4945043	
TAS2R50	NNN	1.4843488	
RP11-700P18.2	NNN	1.4738511	
RP1-179N16.3	NNN	1.4725423	
RASGRP1	NNN	1.4623802	
RP11-486O13.4	NNN	1.4548154	
RP11-73M18.11	NNN	1.4499757	
RP11-250B2.4	NNN	1.4354664	
RP11-106M3.2	NNN	1.4352075	
RP3-348I23.2	NNN	1.4327158	
C1DP1	NNN	1.4162284	
LEF1-AS1	NNN	1.415338	
AC006460.2	NNN	1.4144169	
ATP5HP4	NNN	1.4124933	
LINC01451	NNN	1.3957974	
RP5-1115A15.1	NNN	1.38423	
ZNF396	NNN	1.3800108	
RP11-498P14.3	NNN	1.3769808	
RN7SL674P	NNN	1.3700545	
LINC00327	NNN	1.369646	
GPRIN3	NNN	1.3685907	
FOXJ1	NNN	1.3657957	
PCDH18	NNN	1.3633169	
SNORA72	NNN	1.3598517	
RP11-177A2.5	NNN	1.3519409	
RP11-723D22.2	NNN	1.3519409	
AC067940.1	NNN	1.3391328	
HSPE1P11	NNN	1.3391328	
MIR196A1	NNN	1.3350799	
SLC35G6	NNN	1.3309352	
AC087163.2	NNN	1.3226106	
RP11-298I3.3	NNN	1.3181348	
RP11-723C11.2	NNN	1.3116949	
AC004846.1	NNN	1.3116949	
CARD16	NNN	1.2974083	
CTC-506B8.1	NNN	1.2922579	
SLC25A14P1	NNN	1.2843419	
CTD-2587H19.3	NNN	1.2823671	
RNU6-729P	NNN	1.2729635	
CTA-250D10.19	NNN	1.2729635	
HNRNPKP2	NNN	1.2695422	
RN7SKP9	NNN	1.2628008	
RP11-680G24.6	NNN	1.262277	
