NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDH1A3	NNN	335	1.0842342376708984	0.045713015	Yes	
row_1	INSIG1	NNN	1833	0.698475182056427	0.05334803	Yes	
row_2	STK39	NNN	3326	0.5949532389640808	0.056158938	Yes	
row_3	TMPRSS2	NNN	4666	0.4953690767288208	0.056852352	Yes	
row_4	SEC24D	NNN	5739	0.4431428015232086	0.05961508	Yes	
row_5	DHCR24	NNN	6115	0.43660834431648254	0.07393519	Yes	
row_6	SCD	NNN	6149	0.4352854788303375	0.094015524	Yes	
row_7	ACSL3	NNN	7800	0.3939061164855957	0.08460219	Yes	
row_8	IDI1	NNN	7935	0.3901468813419342	0.100822315	Yes	
row_9	UBE2J1	NNN	7993	0.3882376551628113	0.11826291	Yes	
row_10	CDC14B	NNN	8002	0.387808620929718	0.13651745	Yes	
row_11	MAF	NNN	8339	0.37204092741012573	0.14843965	Yes	
row_12	MERTK	NNN	8342	0.3718692660331726	0.16604047	Yes	
row_13	PA2G4	NNN	8411	0.36891278624534607	0.18237734	Yes	
row_14	LIFR	NNN	9216	0.3571428656578064	0.18562478	Yes	
row_15	APPBP2	NNN	10570	0.35147392749786377	0.179256	Yes	
row_16	ZMIZ1	NNN	11278	0.3330499529838562	0.18301244	Yes	
row_17	PTPN21	NNN	11484	0.32725322246551514	0.19504115	Yes	
row_18	FKBP5	NNN	11604	0.3231745958328247	0.20834069	Yes	
row_19	CENPN	NNN	11661	0.32166585326194763	0.22264133	Yes	
row_20	CAMKK2	NNN	11905	0.3127450942993164	0.23333503	Yes	
row_21	SLC26A2	NNN	12009	0.3097383677959442	0.2462698	Yes	
row_22	PGM3	NNN	12500	0.29744040966033936	0.25203225	Yes	
row_23	GNAI3	NNN	12646	0.29411765933036804	0.26351115	Yes	
row_24	ANKH	NNN	12979	0.28386348485946655	0.2713199	Yes	
row_25	SPCS3	NNN	13053	0.28185608983039856	0.28344324	Yes	
row_26	BMPR1B	NNN	13319	0.27525511384010315	0.2919845	Yes	
row_27	FADS1	NNN	13355	0.2748233675956726	0.3044213	Yes	
row_28	RAB4A	NNN	13380	0.27420738339424133	0.3170162	Yes	
row_29	HMGCR	NNN	13496	0.27006956934928894	0.32786548	Yes	
row_30	HMGCS1	NNN	13769	0.2624218463897705	0.335679	Yes	
row_31	GPD1L	NNN	13853	0.2607124447822571	0.34662938	Yes	
row_32	TSC22D1	NNN	13983	0.2576899528503418	0.3566532	Yes	
row_33	PIAS1	NNN	14055	0.2557382881641388	0.36757204	Yes	
row_34	VAPA	NNN	14423	0.24983564019203186	0.37317118	Yes	
row_35	SGK1	NNN	14647	0.24372230470180511	0.38093218	Yes	
row_36	AKT1	NNN	14818	0.23975877463817596	0.38940763	Yes	
row_37	MYL12A	NNN	15001	0.23544834554195404	0.39747435	Yes	
row_38	ITGAV	NNN	15021	0.23484377562999725	0.40828767	Yes	
row_39	B4GALT1	NNN	15106	0.23266856372356415	0.41789111	Yes	
row_40	XRCC5	NNN	15694	0.22355185449123383	0.41849807	Yes	
row_41	STEAP4	NNN	15864	0.2193910926580429	0.42602465	Yes	
row_42	ABHD2	NNN	15903	0.21836109459400177	0.4357328	Yes	
row_43	ACTN1	NNN	15922	0.21781155467033386	0.44575545	Yes	
row_44	TPD52	NNN	16024	0.21556967496871948	0.4542586	Yes	
row_45	MAK	NNN	16600	0.20408163964748383	0.45414653	Yes	
row_46	CDK6	NNN	16869	0.19729401171207428	0.45893964	Yes	
row_47	ARID5B	NNN	17208	0.189897820353508	0.46219015	Yes	
