NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STC1	NNN	1031	0.8424193263053894	0.07889819	Yes	
row_1	SERPINA5	NNN	1364	0.7664057612419128	0.16098388	Yes	
row_2	PGLYRP1	NNN	1479	0.7433556914329529	0.24413882	Yes	
row_3	KCNJ8	NNN	4117	0.5334007143974304	0.2603471	Yes	
row_4	CCND2	NNN	4270	0.5199887752532959	0.3172863	Yes	
row_5	PRG2	NNN	4480	0.5017575621604919	0.37116906	Yes	
row_6	VTN	NNN	8543	0.3635994791984558	0.34370258	Yes	
row_7	LPL	NNN	9610	0.3571428656578064	0.36645457	Yes	
row_8	NRP1	NNN	11512	0.3262633681297302	0.3714696	Yes	
row_9	FSTL1	NNN	11560	0.32427939772605896	0.40779132	Yes	
row_10	THBD	NNN	11985	0.31057775020599365	0.43613237	Yes	
row_11	PTK2	NNN	12344	0.3000185787677765	0.46438724	Yes	
row_12	VAV2	NNN	12885	0.2864091992378235	0.48798865	Yes	
row_13	ITGAV	NNN	15021	0.23484377562999725	0.47855863	Yes	
row_14	TIMP1	NNN	15371	0.23092211782932281	0.4990569	Yes	
row_15	PDGFA	NNN	16764	0.2000681757926941	0.49828336	Yes	
row_16	PF4	NNN	17014	0.19399769604206085	0.5162557	Yes	
row_17	LUM	NNN	20565	0.12119929492473602	0.46974936	No	
row_18	VCAN	NNN	22215	0.08453293889760971	0.451379	No	
row_19	APP	NNN	22546	0.07650777697563171	0.45452422	No	
row_20	FGFR1	NNN	22820	0.06886868178844452	0.45776448	No	
row_21	VEGFA	NNN	23611	0.0475638173520565	0.4497725	No	
row_22	LRPAP1	NNN	23700	0.044955044984817505	0.45342186	No	
row_23	JAG2	NNN	23711	0.044799819588661194	0.45838013	No	
row_24	COL5A2	NNN	23992	0.03600659966468811	0.4577395	No	
row_25	JAG1	NNN	24696	0.008267289958894253	0.4467289	No	
row_26	APOH	NNN	24704	0.0080093489959836	0.4475267	No	
row_27	POSTN	NNN	31965	0.0	0.3240447	No	
row_28	COL3A1	NNN	37623	0.0	0.22782739	No	
row_29	SLCO2A1	NNN	38699	0.0	0.20954321	No	
row_30	CXCL6	NNN	48410	-0.04937206581234932	0.050042056	No	
row_31	S100A4	NNN	49172	-0.08261536806821823	0.046555758	No	
row_32	TNFRSF21	NNN	50661	-0.14746227860450745	0.038127456	No	
row_33	MSX1	NNN	51479	-0.17988552153110504	0.044823457	No	
row_34	SPP1	NNN	53733	-0.3430703282356262	0.045775395	No	
row_35	OLR1	NNN	54861	-0.3571428656578064	0.06748987	No	
