NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CADM2	NNN	322	1.0911115407943726	0.017161114	Yes	
row_1	CLDN5	NNN	364	1.0775411128997803	0.03883269	Yes	
row_2	NEGR1	NNN	507	1.0060399770736694	0.05729737	Yes	
row_3	ATP1A3	NNN	754	0.9223594665527344	0.07225114	Yes	
row_4	CALB2	NNN	870	0.8874572515487671	0.08871439	Yes	
row_5	ACTN3	NNN	1462	0.7484384775161743	0.09417373	Yes	
row_6	INSIG1	NNN	1833	0.698475182056427	0.10236474	Yes	
row_7	NRTN	NNN	2142	0.6576571464538574	0.11076568	Yes	
row_8	ITGA9	NNN	2482	0.6463174819946289	0.118402526	Yes	
row_9	RAC2	NNN	2770	0.6418695449829102	0.12683383	Yes	
row_10	COL9A1	NNN	2773	0.6415445804595947	0.14011881	Yes	
row_11	CD34	NNN	3663	0.5687292814254761	0.1367651	Yes	
row_12	CD274	NNN	3787	0.5595701336860657	0.14628467	Yes	
row_13	ALOX15B	NNN	4129	0.5321546792984009	0.15151727	Yes	
row_14	AMIGO2	NNN	4271	0.5197444558143616	0.15990303	Yes	
row_15	NLGN3	NNN	4606	0.4991324245929718	0.16456945	Yes	
row_16	CLDN14	NNN	4771	0.4886702299118042	0.17191784	Yes	
row_17	MMP9	NNN	4829	0.4842666983604431	0.1809996	Yes	
row_18	ADRA1B	NNN	5127	0.4664914608001709	0.18561935	Yes	
row_19	BMP1	NNN	5246	0.4617352783679962	0.19319305	Yes	
row_20	CDH11	NNN	5279	0.46009740233421326	0.20219937	Yes	
row_21	PCDH1	NNN	5357	0.4550251364707947	0.21033297	Yes	
row_22	AMH	NNN	6062	0.4400222599506378	0.20746219	Yes	
row_23	MPZL2	NNN	6190	0.43374642729759216	0.21430132	Yes	
row_24	CDH1	NNN	6229	0.4327453076839447	0.22263747	Yes	
row_25	KCNH2	NNN	6246	0.4319012761116028	0.23133129	Yes	
row_26	CRAT	NNN	7469	0.4087616503238678	0.2189775	Yes	
row_27	ACTA1	NNN	7569	0.40447482466697693	0.22568643	Yes	
row_28	SRC	NNN	7580	0.4040839672088623	0.23390506	Yes	
row_29	DMP1	NNN	7649	0.4010055959224701	0.24107064	Yes	
row_30	PDZD3	NNN	8163	0.38000309467315674	0.24021113	Yes	
row_31	SHROOM2	NNN	8164	0.3798925578594208	0.24809806	Yes	
row_32	PIK3CB	NNN	8213	0.3778594732284546	0.2551242	Yes	
row_33	PIK3R3	NNN	8461	0.36666667461395264	0.2585242	Yes	
row_34	AMIGO1	NNN	8545	0.3634577691555023	0.26465443	Yes	
row_35	MYH10	NNN	8549	0.3633163869380951	0.27214608	Yes	
row_36	CAP1	NNN	8569	0.3626392185688019	0.2793508	Yes	
row_37	ADAMTS5	NNN	10416	0.3571428656578064	0.2552836	Yes	
row_38	JAM3	NNN	10486	0.3544690012931824	0.26146597	Yes	
row_39	CLDN18	NNN	10673	0.34773772954940796	0.2655133	Yes	
row_40	YWHAH	NNN	10677	0.3476327359676361	0.27267933	Yes	
row_41	ACTB	NNN	10796	0.34315940737724304	0.27779126	Yes	
row_42	MMP2	NNN	10942	0.3430703282356262	0.28244087	Yes	
row_43	JUP	NNN	11074	0.33952125906944275	0.2872556	Yes	
row_44	MAPK11	NNN	11936	0.31180399656295776	0.27904537	Yes	
row_45	MPZL1	NNN	11980	0.31066563725471497	0.28476176	Yes	
row_46	GAMT	NNN	12025	0.30931103229522705	0.290433	Yes	
row_47	PTK2	NNN	12344	0.3000185787677765	0.29123846	Yes	
row_48	CERCAM	NNN	12547	0.29624003171920776	0.29394376	Yes	
row_49	SYK	NNN	12679	0.2931596040725708	0.29779595	Yes	
row_50	SKAP2	NNN	12851	0.28793519735336304	0.3008575	Yes	
row_51	VAV2	NNN	12885	0.2864091992378235	0.3062409	Yes	
row_52	PPP2R2C	NNN	12889	0.2862069010734558	0.31213164	Yes	
row_53	SHC1	NNN	12912	0.28555119037628174	0.31768477	Yes	
row_54	RSU1	NNN	12989	0.2836393415927887	0.32227728	Yes	
row_55	TMEM8B	NNN	13237	0.27753061056137085	0.32382673	Yes	
row_56	ICAM1	NNN	13273	0.2761935889720917	0.32896388	Yes	
row_57	ACTG1	NNN	13365	0.27460551261901855	0.33311304	Yes	
row_58	VCL	NNN	13584	0.2680041790008545	0.33495927	Yes	
row_59	TJP1	NNN	13609	0.2674332857131958	0.34010214	Yes	
row_60	ACTN2	NNN	13653	0.26607733964920044	0.34489286	Yes	
row_61	TGFBI	NNN	13691	0.2648055851459503	0.34975946	Yes	
row_62	CTNNA1	NNN	13886	0.25988978147506714	0.35184655	Yes	
row_63	SORBS3	NNN	13951	0.2587374746799469	0.35612673	Yes	
row_64	SIRPA	NNN	14007	0.25726285576820374	0.36052975	Yes	
row_65	NLGN2	NNN	14105	0.2542372941970825	0.36415374	Yes	
row_66	TRAF1	NNN	14109	0.2540415823459625	0.36937672	Yes	
row_67	MYL12B	NNN	14133	0.25370702147483826	0.37425166	Yes	
row_68	PKD1	NNN	14506	0.24777138233184814	0.37305152	Yes	
row_69	MSN	NNN	14515	0.2475694715976715	0.3780549	Yes	
row_70	MAPK14	NNN	14732	0.2420414388179779	0.3793962	Yes	
row_71	GRB7	NNN	14804	0.2399713397026062	0.38316742	Yes	
row_72	EXOC4	NNN	14940	0.23698629438877106	0.38578516	Yes	
row_73	GNAI2	NNN	14970	0.2361517697572708	0.39019334	Yes	
row_74	B4GALT1	NNN	15106	0.23266856372356415	0.39272147	Yes	
row_75	TUBG1	NNN	15124	0.23218829929828644	0.397252	Yes	
row_76	NRXN2	NNN	15353	0.23139892518520355	0.39816773	Yes	
row_77	ITGA2	NNN	15458	0.2288229614496231	0.40114468	Yes	
row_78	CX3CL1	NNN	15473	0.22842639684677124	0.4056483	Yes	
row_79	LAMC2	NNN	15497	0.22778528928756714	0.4099851	Yes	
row_80	VWF	NNN	15521	0.22727273404598236	0.41431123	Yes	
row_81	CTNND1	NNN	15568	0.22608314454555511	0.41822046	Yes	
row_82	PARVA	NNN	15906	0.21830986440181732	0.41700557	Yes	
row_83	ACTN1	NNN	15922	0.21781155467033386	0.4212717	Yes	
row_84	PFN1	NNN	16001	0.21603527665138245	0.42442662	Yes	
row_85	IRS1	NNN	16060	0.2146129161119461	0.42789304	Yes	
row_86	NF2	NNN	16098	0.21420037746429443	0.43170905	Yes	
row_87	ITGB4	NNN	16147	0.21298882365226746	0.4353123	Yes	
row_88	NFASC	NNN	16250	0.21037441492080688	0.43794036	Yes	
row_89	AKT2	NNN	16392	0.20731405913829803	0.43983978	Yes	
row_90	CD276	NNN	16513	0.20586897432804108	0.44206733	Yes	
row_91	DLG1	NNN	16756	0.2002256065607071	0.44209713	Yes	
row_92	PTPRC	NNN	17009	0.19399769604206085	0.44182706	Yes	
row_93	LDLRAP1	NNN	17028	0.19396552443504333	0.445547	Yes	
row_94	ARPC2	NNN	17279	0.18820661306381226	0.44519085	Yes	
row_95	SDC3	NNN	17402	0.18496374785900116	0.44695026	Yes	
row_96	ACTN4	NNN	17565	0.181014746427536	0.44794554	Yes	
row_97	PECAM1	NNN	17625	0.17928683757781982	0.4506615	Yes	
row_98	CLDN9	NNN	17655	0.17829719185829163	0.45386857	Yes	
row_99	ADAM15	NNN	18529	0.16417449712753296	0.44238877	No	
row_100	ADAM9	NNN	18586	0.1629173755645752	0.44481608	No	
row_101	FSCN1	NNN	18710	0.16171948611736298	0.4460759	No	
row_102	CLDN6	NNN	19036	0.15409845113754272	0.44373253	No	
row_103	MAPK13	NNN	19069	0.15334536135196686	0.4463704	No	
row_104	CNN2	NNN	19260	0.1491980105638504	0.4462276	No	
row_105	PARD6G	NNN	19296	0.14851485192775726	0.44871405	No	
row_106	EPB41L2	NNN	19628	0.14136755466461182	0.44600406	No	
row_107	WNK4	NNN	20029	0.1321197897195816	0.44192538	No	
row_108	TIAL1	NNN	20071	0.1310776174068451	0.44394746	No	
row_109	NF1	NNN	20108	0.1304696947336197	0.44604218	No	
row_110	LAMB3	NNN	20209	0.12820513546466827	0.44699845	No	
