NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSTM3	NNN	236	1.1824756860733032	0.0936093	Yes	
row_1	SCUBE1	NNN	1822	0.70062255859375	0.124490134	Yes	
row_2	AKAP7	NNN	2909	0.626133382320404	0.1577095	Yes	
row_3	GHRL	NNN	3581	0.5701795816421509	0.19336876	Yes	
row_4	LYN	NNN	5055	0.469613254070282	0.20708291	Yes	
row_5	PCSK9	NNN	5718	0.44471538066864014	0.23253709	Yes	
row_6	SLC34A3	NNN	6448	0.4215361475944519	0.25493792	Yes	
row_7	SHROOM2	NNN	8164	0.3798925578594208	0.2571283	Yes	
row_8	EFNA5	NNN	8454	0.36680734157562256	0.2824954	Yes	
row_9	MAL	NNN	8966	0.3571428656578064	0.3032883	Yes	
row_10	NCOA6	NNN	11009	0.34216931462287903	0.29680184	Yes	
row_11	CD160	NNN	11414	0.3292495906352997	0.31711203	Yes	
row_12	SULF2	NNN	11423	0.32896819710731506	0.34413517	Yes	
row_13	FLOT2	NNN	11479	0.32742828130722046	0.3702317	Yes	
row_14	GATA3	NNN	11816	0.315521240234375	0.3905652	Yes	
row_15	PKHD1	NNN	12711	0.29230770468711853	0.39949033	Yes	
row_16	IL2RG	NNN	13020	0.28271451592445374	0.41759166	Yes	
row_17	TMEM8B	NNN	13237	0.27753061056137085	0.43682995	Yes	
row_18	MDGA1	NNN	14630	0.24427661299705505	0.43331844	Yes	
row_19	SLC2A4	NNN	15041	0.23431988060474396	0.4456893	Yes	
row_20	B4GALT1	NNN	15106	0.23266856372356415	0.46380946	Yes	
row_21	CX3CL1	NNN	15473	0.22842639684677124	0.47644222	Yes	
row_22	BRCA1	NNN	16330	0.20884926617145538	0.4791235	Yes	
row_23	PLAUR	NNN	16355	0.2083115428686142	0.4959132	Yes	
row_24	RTN4RL1	NNN	17056	0.19327525794506073	0.4999624	Yes	
row_25	ADIPOR2	NNN	17059	0.19321148097515106	0.5158797	Yes	
row_26	CROCC	NNN	17924	0.17241379618644714	0.51541686	Yes	
row_27	AFAP1L2	NNN	18035	0.16940948367118835	0.5275319	Yes	
row_28	ADAM10	NNN	18426	0.16653701663017273	0.5346469	Yes	
row_29	NTNG1	NNN	21659	0.09638640284538269	0.4876263	No	
row_30	APP	NNN	22546	0.07650777697563171	0.47887135	No	
row_31	GAS1	NNN	23751	0.04385419934988022	0.4620112	No	
row_32	ATP6V0A4	NNN	24503	0.017875226214528084	0.450712	No	
row_33	SLC22A12	NNN	29392	0.0	0.36756438	No	
row_34	EPHB4	NNN	47573	-0.007004763465374708	0.058890633	No	
row_35	DCBLD2	NNN	47576	-0.007219227030873299	0.059452623	No	
row_36	ATP8B1	NNN	47652	-0.011895321309566498	0.059158895	No	
row_37	IL2RB	NNN	48996	-0.07489731907844543	0.042497143	No	
row_38	SRPX	NNN	50068	-0.12049340456724167	0.034226622	No	
row_39	RHCG	NNN	52336	-0.2320508062839508	0.0148215145	No	
row_40	THY1	NNN	52923	-0.266860693693161	0.026885029	No	
row_41	LYPD3	NNN	53391	-0.30912283062934875	0.044461913	No	
row_42	HSPB1	NNN	57525	-0.5817012786865234	0.022181824	No	
