NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLDC	NNN	653	0.9736651182174683	0.036186796	Yes	
row_1	TP53INP1	NNN	700	0.9485530257225037	0.08148433	Yes	
row_2	FADS2	NNN	2807	0.638166069984436	0.07664371	Yes	
row_3	CPEB2	NNN	2846	0.6326646208763123	0.106731646	Yes	
row_4	ALDOC	NNN	4011	0.54072105884552	0.11318931	Yes	
row_5	DHCR7	NNN	4071	0.5357645750045776	0.13821246	Yes	
row_6	SC5D	NNN	4196	0.5260977745056152	0.16165975	Yes	
row_7	ETHE1	NNN	4806	0.4858441650867462	0.17489718	Yes	
row_8	ACSS2	NNN	5121	0.46692606806755066	0.19223627	Yes	
row_9	SCD	NNN	6149	0.4352854788303375	0.19590354	Yes	
row_10	ACAT2	NNN	6357	0.42592594027519226	0.21307191	Yes	
row_11	ADH4	NNN	6784	0.4166666567325592	0.22606327	Yes	
row_12	ABCA2	NNN	7432	0.410714328289032	0.23500419	Yes	
row_13	MVK	NNN	7784	0.39469578862190247	0.24820463	Yes	
row_14	IDI1	NNN	7935	0.3901468813419342	0.26460496	Yes	
row_15	PDK3	NNN	8122	0.38285914063453674	0.28003857	Yes	
row_16	ATXN2	NNN	8749	0.3581450283527374	0.2867831	Yes	
row_17	LPL	NNN	9610	0.3571428656578064	0.28949645	Yes	
row_18	STARD4	NNN	10641	0.34902864694595337	0.2889223	Yes	
row_19	FDFT1	NNN	11148	0.3366750180721283	0.29666615	Yes	
row_20	LSS	NNN	12129	0.30640190839767456	0.2948722	Yes	
row_21	HSD17B7	NNN	12238	0.30349013209342957	0.30777758	Yes	
row_22	TMEM97	NNN	12262	0.3025302588939667	0.32208297	Yes	
row_23	S100A11	NNN	12617	0.29471397399902344	0.33037528	Yes	
row_24	LDLR	NNN	12632	0.29436200857162476	0.34443703	Yes	
row_25	PCYT2	NNN	13115	0.28008535504341125	0.34984022	Yes	
row_26	ACTG1	NNN	13365	0.27460551261901855	0.3589427	Yes	
row_27	FABP5	NNN	13424	0.27242010831832886	0.37118965	Yes	
row_28	PLSCR1	NNN	13461	0.2711760997772217	0.38375062	Yes	
row_29	HMGCR	NNN	13496	0.27006956934928894	0.39629185	Yes	
row_30	CTNNB1	NNN	13614	0.26732757687568665	0.4072873	Yes	
row_31	HMGCS1	NNN	13769	0.2624218463897705	0.4174147	Yes	
row_32	NSDHL	NNN	14510	0.2476329207420349	0.4168504	Yes	
row_33	ERRFI1	NNN	15016	0.23497945070266724	0.4196709	Yes	
row_34	FASN	NNN	15434	0.22943593561649323	0.42371982	Yes	
row_35	EBP	NNN	15441	0.22931785881519318	0.4347579	Yes	
row_36	SQLE	NNN	15648	0.2246779054403305	0.44216672	Yes	
row_37	FDPS	NNN	15821	0.22014857828617096	0.44993415	Yes	
row_38	TRIB3	NNN	15855	0.21953140199184418	0.4600373	Yes	
row_39	PLAUR	NNN	16355	0.2083115428686142	0.4616644	Yes	
row_40	FBXO6	NNN	16769	0.20000000298023224	0.4643514	Yes	
row_41	LGALS3	NNN	17074	0.19299007952213287	0.46855295	Yes	
row_42	SREBF2	NNN	17735	0.17683006823062897	0.46591058	Yes	
row_43	CD9	NNN	17920	0.17242687940597534	0.4711555	Yes	
row_44	PPARG	NNN	18062	0.16873890161514282	0.47695306	Yes	
row_45	ALCAM	NNN	19058	0.15353122353553772	0.4674774	Yes	
row_46	ECH1	NNN	19248	0.14943960309028625	0.4715205	Yes	
row_47	CHKA	NNN	19425	0.14560891687870026	0.47559875	Yes	
row_48	CXCL16	NNN	19683	0.1406187117099762	0.478056	Yes	
row_49	GPX8	NNN	20125	0.1300812065601349	0.47686985	Yes	
row_50	ANXA5	NNN	20291	0.12758997082710266	0.48025995	Yes	
row_51	LGMN	NNN	20562	0.1212259829044342	0.48155388	Yes	
row_52	GUSB	NNN	20828	0.11570005863904953	0.48266444	Yes	
row_53	STX5	NNN	20985	0.11134127527475357	0.48541838	Yes	
row_54	MVD	NNN	21906	0.0909661203622818	0.47417977	No	
row_55	NFIL3	NNN	22206	0.08465011417865753	0.4732033	No	
row_56	PNRC1	NNN	23280	0.056697532534599304	0.457696	No	
row_57	TM7SF2	NNN	23907	0.03858185559511185	0.44891623	No	
row_58	GSTM2	NNN	23945	0.037181079387664795	0.45009276	No	
row_59	JAG1	NNN	24696	0.008267289958894253	0.43772995	No	
row_60	AVPR1A	NNN	31283	0.0	0.32564119	No	
row_61	ANXA13	NNN	44193	0.0	0.105939694	No	
row_62	ATF5	NNN	47692	-0.014084506779909134	0.047090583	No	
row_63	ANTXR2	NNN	47985	-0.030191786587238312	0.04358767	No	
row_64	SEMA3B	NNN	48492	-0.05276203900575638	0.037539095	No	
row_65	CBS	NNN	49156	-0.08201254904270172	0.030239476	No	
row_66	GNAI1	NNN	50586	-0.14431829750537872	0.01292991	No	
row_67	PMVK	NNN	52737	-0.2532154321670532	-0.0113603445	No	
row_68	TNFRSF12A	NNN	53516	-0.32323959469795227	-0.008898435	No	
row_69	ATF3	NNN	53639	-0.3351139724254608	0.0053049545	No	
row_70	CYP51A1	NNN	53689	-0.34220969676971436	0.021095457	No	
row_71	MAL2	NNN	56953	-0.47206243872642517	-0.011505699	No	
row_72	CLU	NNN	58521	-0.8937197923660278	0.0052417805	No	
