NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDE6G	NNN	837	0.9019724726676941	0.0169228	Yes	
row_1	POLH	NNN	1690	0.7229580283164978	0.027400529	Yes	
row_2	TK2	NNN	4153	0.529629647731781	0.003758346	Yes	
row_3	ERCC1	NNN	5288	0.4593406617641449	3.1597307E-4	Yes	
row_4	ARL6IP1	NNN	5300	0.4585733413696289	0.015983788	Yes	
row_5	DCTN4	NNN	5623	0.4487989842891693	0.026013993	Yes	
row_6	ERCC4	NNN	7549	0.4057868719100952	0.007240785	Yes	
row_7	TP53	NNN	8076	0.3844040334224701	0.011568216	Yes	
row_8	RFC5	NNN	8127	0.38257262110710144	0.023943704	Yes	
row_9	DGCR8	NNN	8230	0.37691858410835266	0.035237584	Yes	
row_10	PRIM1	NNN	8360	0.37122127413749695	0.04587438	Yes	
row_11	MRPL40	NNN	8371	0.370779424905777	0.058523744	Yes	
row_12	AGO4	NNN	8455	0.3667621910572052	0.069790244	Yes	
row_13	PCNA	NNN	8570	0.3626245856285095	0.08038542	Yes	
row_14	AK1	NNN	8654	0.36040133237838745	0.09143198	Yes	
row_15	RRM2B	NNN	8745	0.358388215303421	0.10228966	Yes	
row_16	BRF2	NNN	10790	0.3435114622116089	0.07933542	Yes	
row_17	GTF2H5	NNN	11215	0.33488643169403076	0.08368893	Yes	
row_18	POLR3GL	NNN	11540	0.3251063823699951	0.08940835	Yes	
row_19	POLR2A	NNN	11547	0.3246680498123169	0.10053157	Yes	
row_20	RPA3	NNN	11846	0.3148777484893799	0.1063404	Yes	
row_21	SMAD5	NNN	11965	0.31100478768348694	0.115082644	Yes	
row_22	TARBP2	NNN	12064	0.30838441848754883	0.12407511	Yes	
row_23	RAD51	NNN	12066	0.3082352876663208	0.13471536	Yes	
row_24	TAF9	NNN	12242	0.30327868461608887	0.14221916	Yes	
row_25	ERCC8	NNN	12306	0.3012048304080963	0.15155981	Yes	
row_26	UPF3B	NNN	12443	0.2993595004081726	0.15959269	Yes	
row_27	LIG1	NNN	12515	0.2971515655517578	0.16865687	Yes	
row_28	NME4	NNN	12555	0.2961156666278839	0.17823054	Yes	
row_29	XPC	NNN	12726	0.29190850257873535	0.18542641	Yes	
row_30	NPR2	NNN	12747	0.29086893796920776	0.19514245	Yes	
row_31	SDCBP	NNN	12795	0.2890952527523041	0.20433706	Yes	
row_32	ERCC3	NNN	12901	0.2858334183692932	0.21243054	Yes	
row_33	RFC3	NNN	12933	0.28501155972480774	0.22175659	Yes	
row_34	DDB2	NNN	13121	0.279941588640213	0.22824901	Yes	
row_35	RFC4	NNN	13360	0.2747252881526947	0.233692	Yes	
row_36	AK3	NNN	13415	0.2725951075553894	0.24219684	Yes	
row_37	TAF6	NNN	13457	0.2712477445602417	0.2508766	Yes	
row_38	POLR2I	NNN	13493	0.270189493894577	0.25962204	Yes	
row_39	RFC2	NNN	13568	0.2684699296951294	0.26764342	Yes	
row_40	MPC2	NNN	13640	0.26669299602508545	0.2756545	Yes	
row_41	SUPT4H1	NNN	13806	0.26124197244644165	0.28187528	Yes	
row_42	CANT1	NNN	13931	0.25911465287208557	0.28872117	Yes	
row_43	POLR2E	NNN	13997	0.2573936879634857	0.29651296	Yes	
row_44	POLD3	NNN	14088	0.254797101020813	0.30378896	Yes	
row_45	SNAPC5	NNN	14212	0.2515723407268524	0.31039113	Yes	
row_46	DDB1	NNN	14428	0.24969053268432617	0.31536046	Yes	
row_47	HPRT1	NNN	14618	0.24476110935211182	0.32060242	Yes	
row_48	TMED2	NNN	14637	0.2439872771501541	0.3287316	Yes	
row_49	CSTF3	NNN	14775	0.24068868160247803	0.33471888	Yes	
row_50	RNMT	NNN	14910	0.23727844655513763	0.34063938	Yes	
row_51	NUDT21	NNN	14955	0.2365076094865799	0.3480669	Yes	
row_52	SRSF6	NNN	15026	0.23471634089946747	0.3549894	Yes	
row_53	SF3A3	NNN	15110	0.23256589472293854	0.36161605	Yes	
row_54	TYMS	NNN	15127	0.23212851583957672	0.36936927	Yes	
row_55	DUT	NNN	15335	0.23185747861862183	0.37385836	Yes	
row_56	FEN1	NNN	15583	0.2258566915988922	0.37745833	Yes	
row_57	USP11	NNN	15787	0.22123512625694275	0.38164833	Yes	
row_58	ZWINT	NNN	15800	0.22097378969192505	0.38908404	Yes	
row_59	POLR2K	NNN	16304	0.20930232107639313	0.38774925	Yes	
row_60	REV3L	NNN	16587	0.20433159172534943	0.39000857	Yes	
row_61	POLR3C	NNN	16686	0.20233812928199768	0.39533445	Yes	
row_62	VPS37B	NNN	17476	0.1833445280790329	0.3882285	Yes	
row_63	POM121	NNN	17669	0.17791011929512024	0.39110798	Yes	
row_64	NCBP2	NNN	17739	0.17673355340957642	0.39604276	Yes	
row_65	POLA2	NNN	18118	0.16704119741916656	0.39537686	Yes	
row_66	ADCY6	NNN	18123	0.16694815456867218	0.40108097	Yes	
row_67	RPA2	NNN	18540	0.1639595478773117	0.39966094	Yes	
row_68	POLA1	NNN	18884	0.1575956642627716	0.3992649	Yes	
row_69	TSG101	NNN	19034	0.1541135609149933	0.40205434	Yes	
row_70	SURF1	NNN	19038	0.1540718972682953	0.40733027	Yes	
row_71	POLD1	NNN	19302	0.14842365682125092	0.40798035	Yes	
row_72	NFX1	NNN	19360	0.14735692739486694	0.41210392	Yes	
row_73	GTF2H1	NNN	19529	0.14349953830242157	0.4142026	Yes	
row_74	GPX4	NNN	19589	0.14216166734695435	0.41811246	Yes	
row_75	UMPS	NNN	19694	0.14031381905078888	0.4211916	Yes	
row_76	RAE1	NNN	19796	0.13752277195453644	0.4242254	Yes	
row_77	ADA	NNN	19986	0.13299784064292908	0.42560312	Yes	
row_78	DAD1	NNN	20078	0.13100233674049377	0.42858183	Yes	
