NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BRCA2	NNN	1918	0.6882147789001465	-0.018104428	Yes	
row_1	GINS4	NNN	2895	0.6276150345802307	-0.021429513	Yes	
row_2	E2F8	NNN	2917	0.625	-0.008522894	Yes	
row_3	PMS2	NNN	3864	0.5517762899398804	-0.012945911	Yes	
row_4	RRM2	NNN	3902	0.548263430595398	-0.0019407962	Yes	
row_5	CHEK2	NNN	3983	0.5435473322868347	0.008230875	Yes	
row_6	HMMR	NNN	4675	0.49490228295326233	0.006949724	Yes	
row_7	BARD1	NNN	4724	0.4911699891090393	0.016555509	Yes	
row_8	PLK1	NNN	4892	0.47952350974082947	0.023884606	Yes	
row_9	SPAG5	NNN	4956	0.47516509890556335	0.032894887	Yes	
row_10	CIT	NNN	5323	0.4570603668689728	0.03635336	Yes	
row_11	ESPL1	NNN	5631	0.4484594166278839	0.04063551	Yes	
row_12	TUBB	NNN	6142	0.4360073506832123	0.04119129	Yes	
row_13	ASF1B	NNN	6206	0.4333253502845764	0.049313582	Yes	
row_14	HELLS	NNN	6330	0.42730844020843506	0.056284893	Yes	
row_15	SPC24	NNN	6582	0.41701769828796387	0.0608548	Yes	
row_16	MYBL2	NNN	7448	0.40982502698898315	0.05480049	Yes	
row_17	UBR7	NNN	7491	0.4080652892589569	0.06274482	Yes	
row_18	KIF2C	NNN	7562	0.4050337076187134	0.070147276	Yes	
row_19	AURKA	NNN	7648	0.4011993110179901	0.077212535	Yes	
row_20	STMN1	NNN	7696	0.3990830183029175	0.084880956	Yes	
row_21	ZW10	NNN	7759	0.39573460817337036	0.09222249	Yes	
row_22	HMGB3	NNN	7824	0.39281365275382996	0.09946792	Yes	
row_23	TRIP13	NNN	8014	0.38699689507484436	0.104458064	Yes	
row_24	KIF18B	NNN	8030	0.38652774691581726	0.11240576	Yes	
row_25	TP53	NNN	8076	0.3844040334224701	0.11979675	Yes	
row_26	MCM6	NNN	8166	0.3796635866165161	0.12633672	Yes	
row_27	PRIM2	NNN	8286	0.3746151328086853	0.13225791	Yes	
row_28	PLK4	NNN	8323	0.37287455797195435	0.13955769	Yes	
row_29	MLH1	NNN	8341	0.3719538152217865	0.14716198	Yes	
row_30	NCAPD2	NNN	8354	0.37155604362487793	0.15484308	Yes	
row_31	MELK	NNN	8405	0.3691983222961426	0.16182607	Yes	
row_32	PA2G4	NNN	8411	0.36891278624534607	0.16957046	Yes	
row_33	WDR90	NNN	8428	0.3678591251373291	0.17710489	Yes	
row_34	KPNA2	NNN	8476	0.3661509156227112	0.18407437	Yes	
row_35	PCNA	NNN	8570	0.3626245856285095	0.1901845	Yes	
row_36	CBX5	NNN	8590	0.36221951246261597	0.19754808	Yes	
row_37	MCM4	NNN	8663	0.36012884974479675	0.20396338	Yes	
