NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STC1	NNN	1031	0.8424193263053894	0.0015053967	Yes	
row_1	LHX9	NNN	1080	0.8315233588218689	0.019529475	Yes	
row_2	HS6ST2	NNN	1227	0.7947859764099121	0.03504962	Yes	
row_3	FBP2	NNN	1465	0.7477397918701172	0.047951624	Yes	
row_4	CASP6	NNN	3373	0.590753436088562	0.0288135	Yes	
row_5	IGFBP3	NNN	3526	0.5768874883651733	0.039293624	Yes	
row_6	CHST6	NNN	3706	0.5662319660186768	0.04907179	Yes	
row_7	SRD5A3	NNN	4034	0.5390837788581848	0.055710543	Yes	
row_8	CAPN5	NNN	4042	0.5383800864219666	0.06779112	Yes	
row_9	GAL3ST1	NNN	4048	0.5380333662033081	0.079897955	Yes	
row_10	MIOX	NNN	4438	0.5057415962219238	0.08472371	Yes	
row_11	HMMR	NNN	4675	0.49490228295326233	0.09191334	Yes	
row_12	ALDH7A1	NNN	4687	0.49412423372268677	0.10292284	Yes	
row_13	LCT	NNN	4866	0.4818853437900543	0.110806726	Yes	
row_14	GLCE	NNN	4957	0.4749999940395355	0.12003547	Yes	
row_15	GPC3	NNN	5105	0.4676065444946289	0.1281245	Yes	
row_16	CENPA	NNN	5146	0.46550893783569336	0.13799095	Yes	
row_17	MPI	NNN	5284	0.4596586525440216	0.14607045	Yes	
row_18	AGL	NNN	5285	0.45962560176849365	0.1564858	Yes	
row_19	CD44	NNN	5355	0.4553600549697876	0.16562766	Yes	
row_20	IDH1	NNN	5618	0.44905009865760803	0.17133482	Yes	
row_21	TGFA	NNN	6091	0.43808671832084656	0.17321187	Yes	
row_22	PMM2	NNN	6264	0.4307783842086792	0.18003997	Yes	
row_23	DSC2	NNN	6488	0.41928720474243164	0.18573785	Yes	
row_24	SDC2	NNN	6961	0.4166666567325592	0.18712951	Yes	
row_25	IL13RA1	NNN	7326	0.4160192012786865	0.1903485	Yes	
row_26	AURKA	NNN	7648	0.4011993110179901	0.19396506	Yes	
row_27	STMN1	NNN	7696	0.3990830183029175	0.20220688	Yes	
row_28	PDK3	NNN	8122	0.38285914063453674	0.20363407	Yes	
row_29	KIF20A	NNN	8276	0.37514209747314453	0.20952548	Yes	
row_30	MERTK	NNN	8342	0.3718692660331726	0.21684362	Yes	
row_31	ME2	NNN	8777	0.3572453260421753	0.21753688	Yes	
row_32	GPR87	NNN	9094	0.3571428656578064	0.22024037	Yes	
row_33	ARPP19	NNN	10785	0.34364861249923706	0.19920377	Yes	
row_34	CHPF2	NNN	11069	0.3397201597690582	0.20207529	Yes	
row_35	CLDN3	NNN	11385	0.3302253186702728	0.20418587	Yes	
row_36	VLDLR	NNN	11541	0.32510289549827576	0.20890926	Yes	
row_37	NANP	NNN	11881	0.31354790925979614	0.21023259	Yes	
row_38	MIF	NNN	11883	0.3135313391685486	0.21732031	Yes	
row_39	ISG20	NNN	12095	0.3074339032173157	0.22068821	Yes	
row_40	GOT2	NNN	12156	0.3055426776409149	0.22658862	Yes	
row_41	AK4	NNN	12185	0.30482691526412964	0.2330186	Yes	
row_42	GLRX	NNN	12201	0.30399104952812195	0.23965137	Yes	
row_43	ALDOB	NNN	12264	0.3025015592575073	0.24544875	Yes	
row_44	PGM2	NNN	12288	0.30157122015953064	0.25189024	Yes	
row_45	B4GALT4	NNN	12323	0.30069929361343384	0.25812435	Yes	
row_46	NT5E	NNN	12463	0.2987796366214752	0.26252413	Yes	
row_47	COG2	NNN	12587	0.29539617896080017	0.26712012	Yes	
row_48	FUT8	NNN	12625	0.2945011854171753	0.27316263	Yes	
row_49	UGP2	NNN	12653	0.29403793811798096	0.27936518	Yes	
row_50	MXI1	NNN	12736	0.291293203830719	0.28456748	Yes	
row_51	SDC1	NNN	12785	0.28956907987594604	0.2903106	Yes	
row_52	ADORA2B	NNN	13071	0.2808988690376282	0.29181507	Yes	
row_53	ANGPTL4	NNN	13197	0.278632789850235	0.29599708	Yes	
row_54	AK3	NNN	13415	0.2725951075553894	0.29847318	Yes	
row_55	LDHA	NNN	13441	0.2717263996601105	0.30420426	Yes	
row_56	EFNA3	NNN	13448	0.27137213945388794	0.31025136	Yes	
row_57	IDUA	NNN	13509	0.26979342103004456	0.31534168	Yes	
row_58	CTH	NNN	13669	0.2654867172241211	0.3186459	Yes	
row_59	ELF3	NNN	13673	0.26541364192962646	0.32460916	Yes	
row_60	TGFBI	NNN	13691	0.2648055851459503	0.33031982	Yes	
row_61	PGAM1	NNN	13802	0.26140296459198	0.33436725	Yes	
row_62	PAXIP1	NNN	14080	0.2550322413444519	0.33542204	Yes	
row_63	GPC1	NNN	14108	0.2541707456111908	0.34072116	Yes	
row_64	PAM	NNN	14119	0.25394880771636963	0.34630522	Yes	
row_65	CDK1	NNN	14209	0.25162675976753235	0.35048926	Yes	
row_66	EGLN3	NNN	14283	0.2504778206348419	0.35492018	Yes	
row_67	NSDHL	NNN	14510	0.2476329207420349	0.35667711	Yes	
row_68	NASP	NNN	14528	0.24720053374767303	0.36198884	Yes	
row_69	NDUFV3	NNN	14663	0.24333620071411133	0.36521754	Yes	
row_70	RBCK1	NNN	14757	0.2411646991968155	0.36909628	Yes	
row_71	GALE	NNN	14798	0.24020227789878845	0.37385717	Yes	
row_72	ANG	NNN	14959	0.23648086190223694	0.37648708	Yes	
row_73	SDHC	NNN	14980	0.2359074056148529	0.38149172	Yes	
row_74	B4GALT1	NNN	15106	0.23266856372356415	0.38463217	Yes	
row_75	GCLC	NNN	15374	0.23082144558429718	0.3853089	Yes	
row_76	GPC4	NNN	15393	0.23028883337974548	0.39022034	Yes	
row_77	ENO2	NNN	15468	0.22857142984867096	0.39413777	Yes	
row_78	DEPDC1	NNN	15481	0.22822542488574982	0.39910483	Yes	
row_79	CLN6	NNN	15838	0.2198900580406189	0.3980159	Yes	
row_80	ECD	NNN	15935	0.21752937138080597	0.40130788	Yes	
row_81	CHST1	NNN	15991	0.21611693501472473	0.40526712	Yes	
row_82	TFF3	NNN	16303	0.20934255421161652	0.4047067	Yes	
row_83	ME1	NNN	16335	0.20881670713424683	0.40890986	Yes	
row_84	EXT1	NNN	16380	0.207667738199234	0.41286525	Yes	
row_85	GNE	NNN	16718	0.20145875215530396	0.4116827	Yes	
row_86	HS2ST1	NNN	16833	0.19809168577194214	0.41422722	Yes	
row_87	PFKP	NNN	16904	0.19648654758930206	0.41748583	Yes	
row_88	PGLS	NNN	17354	0.18618042767047882	0.41404682	Yes	
row_89	PKM	NNN	17398	0.1850137710571289	0.41750595	Yes	
row_90	SDC3	NNN	17402	0.18496374785900116	0.42164615	Yes	
row_91	B3GNT3	NNN	17438	0.18450523912906647	0.4252302	Yes	
row_92	B3GAT1	NNN	17521	0.1820341795682907	0.42795664	Yes	
row_93	CYB5A	NNN	17569	0.1809210479259491	0.43125477	Yes	
row_94	HDLBP	NNN	17575	0.1807989925146103	0.4352665	Yes	
row_95	CLDN9	NNN	17655	0.17829719185829163	0.43795943	Yes	
row_96	PGK1	NNN	17697	0.1776302605867386	0.44128534	Yes	
row_97	SLC37A4	NNN	17778	0.1755031943321228	0.4438979	Yes	
row_98	GNPDA1	NNN	17922	0.17241379618644714	0.44536594	Yes	
row_99	ZNF292	NNN	18020	0.16988417506217957	0.4475612	Yes	
row_100	B4GALT2	NNN	18029	0.16961652040481567	0.45126835	Yes	
row_101	BIK	NNN	18115	0.16713526844978333	0.453606	Yes	
row_102	PLOD1	NNN	18461	0.16565901041030884	0.45147577	Yes	
row_103	MED24	NNN	18492	0.16489124298095703	0.45470062	Yes	
row_104	XYLT2	NNN	18494	0.16488045454025269	0.45841983	Yes	
row_105	ALDOA	NNN	18551	0.16371434926986694	0.46117458	Yes	
row_106	TPBG	NNN	18667	0.16287878155708313	0.46290413	Yes	
row_107	DLD	NNN	19198	0.15062379837036133	0.4572779	Yes	
row_108	TPST1	NNN	19482	0.1446051150560379	0.455728	Yes	
row_109	HK2	NNN	19582	0.14232349395751953	0.45726463	Yes	
row_110	PYGL	NNN	19594	0.14203035831451416	0.4602955	Yes	
row_111	TXN	NNN	19598	0.1419343203306198	0.46346062	Yes	
row_112	ENO1	NNN	19700	0.14005932211875916	0.46491185	Yes	
row_113	G6PD	NNN	19766	0.13853904604911804	0.4669426	Yes	
row_114	ALDH9A1	NNN	19823	0.13682396709918976	0.469088	Yes	
row_115	TALDO1	NNN	19866	0.1357407569885254	0.47144762	Yes	
row_116	QSOX1	NNN	19941	0.13413624465465546	0.4732251	Yes	
row_117	EXT2	NNN	19969	0.13349947333335876	0.47578976	Yes	
row_118	ERO1A	NNN	20064	0.13124075531959534	0.4771605	Yes	
row_119	PPFIA4	NNN	20087	0.13086052238941193	0.47975066	Yes	
row_120	PC	NNN	20179	0.1287958174943924	0.4811172	Yes	
row_121	AKR1A1	NNN	20190	0.12863436341285706	0.48386157	Yes	
row_122	CHST12	NNN	20336	0.12660422921180725	0.48425743	Yes	
row_123	SLC25A13	NNN	20392	0.12502069771289825	0.4861524	Yes	
row_124	PLOD2	NNN	20489	0.12283757328987122	0.48729864	Yes	
row_125	RRAGD	NNN	20558	0.12128350138664246	0.4888872	Yes	
row_126	GYS2	NNN	20571	0.12106667459011078	0.49142596	Yes	
row_127	GUSB	NNN	20828	0.11570005863904953	0.48968157	Yes	
row_128	BPNT1	NNN	20949	0.1123817041516304	0.49018154	Yes	
row_129	PPIA	NNN	20951	0.1122201606631279	0.49270746	Yes	
row_130	GYS1	NNN	20962	0.11197482794523239	0.4950743	Yes	
row_131	SOX9	NNN	21070	0.10970620810985565	0.49573535	Yes	
row_132	GALK1	NNN	21071	0.10965652763843536	0.49822024	Yes	
row_133	PKP2	NNN	21381	0.10321003943681717	0.49528885	Yes	
row_134	FAM162A	NNN	21469	0.10034602135419846	0.4960789	Yes	
row_135	SLC16A3	NNN	21579	0.09834472835063934	0.4964484	Yes	
row_136	P4HA1	NNN	21601	0.09802572429180145	0.49831155	Yes	
row_137	STC2	NNN	21636	0.09715449810028076	0.49993324	Yes	
row_138	GMPPA	NNN	21663	0.09628933668136597	0.50167173	Yes	
row_139	MET	NNN	21954	0.08981755375862122	0.49876097	Yes	
row_140	PYGB	NNN	21960	0.08967523276805878	0.5007078	Yes	
row_141	VCAN	NNN	22215	0.08453293889760971	0.49829122	Yes	
