NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC4A1	NNN	657	0.9731590151786804	0.012762433	Yes	
row_1	EPB42	NNN	845	0.8992117643356323	0.031719234	Yes	
row_2	UCP2	NNN	2081	0.6645097136497498	0.027022762	Yes	
row_3	ABCG2	NNN	2281	0.6479889750480652	0.039587744	Yes	
row_4	CTNS	NNN	4149	0.5303810238838196	0.020809565	Yes	
row_5	FBXO34	NNN	4211	0.5247399806976318	0.03269265	Yes	
row_6	IGSF3	NNN	4378	0.5100423693656921	0.042423047	Yes	
row_7	GATA1	NNN	4412	0.507305920124054	0.054354284	Yes	
row_8	GCLM	NNN	4875	0.4809286892414093	0.058319572	Yes	
row_9	YPEL5	NNN	5249	0.4616895914077759	0.06332888	Yes	
row_10	CCDC28A	NNN	5345	0.4559347927570343	0.07293756	Yes	
row_11	AQP3	NNN	5540	0.45305800437927246	0.08078702	Yes	
row_12	KHNYN	NNN	5677	0.44660845398902893	0.08946679	Yes	
row_13	GYPB	NNN	5834	0.44117647409439087	0.09767169	Yes	
row_14	SLC11A2	NNN	7507	0.4071260988712311	0.07918356	Yes	
row_15	MOCOS	NNN	7746	0.39666855335235596	0.08489385	Yes	
row_16	ACP5	NNN	7921	0.390625	0.09154679	Yes	
row_17	NFE2	NNN	7945	0.3896823823451996	0.10075171	Yes	
row_18	ALDH6A1	NNN	8139	0.38187575340270996	0.10686513	Yes	
row_19	UROS	NNN	8377	0.37027707695961	0.1119425	Yes	
row_20	OSBP2	NNN	8564	0.3628409802913666	0.11770651	Yes	
row_21	TFDP2	NNN	8603	0.3615279793739319	0.12596223	Yes	
row_22	GYPC	NNN	8980	0.3571428656578064	0.12834556	Yes	
row_23	BNIP3L	NNN	10505	0.35391372442245483	0.11107096	Yes	
row_24	ANK1	NNN	10522	0.3534103333950043	0.119501956	Yes	
row_25	EIF2AK1	NNN	10698	0.3468320071697235	0.12505929	Yes	
row_26	DCAF11	NNN	10765	0.3441742956638336	0.1324101	Yes	
row_27	PRDX2	NNN	11132	0.33741822838783264	0.1344782	Yes	
row_28	CLCN3	NNN	11155	0.33647841215133667	0.14238985	Yes	
row_29	TFRC	NNN	11536	0.32529571652412415	0.14392065	Yes	
row_30	XPO7	NNN	11749	0.31779009103775024	0.14813171	Yes	
row_31	LAMP2	NNN	11758	0.3174992501735687	0.1558147	Yes	
row_32	ENDOD1	NNN	11869	0.31399521231651306	0.16167186	Yes	
row_33	MBOAT2	NNN	11891	0.3132571876049042	0.16902868	Yes	
row_34	CIR1	NNN	12045	0.3089102804660797	0.17402728	Yes	
row_35	UBAC1	NNN	12049	0.3087557554244995	0.1815802	Yes	
row_36	KAT2B	NNN	12114	0.30674847960472107	0.18804339	Yes	
row_37	ADIPOR1	NNN	12305	0.3012169301509857	0.19222149	Yes	
row_38	RNF19A	NNN	12510	0.2972651720046997	0.1960635	Yes	
row_39	MXI1	NNN	12736	0.291293203830719	0.19940029	Yes	
row_40	SDCBP	NNN	12795	0.2890952527523041	0.20553105	Yes	
row_41	FTCD	NNN	12849	0.28801941871643066	0.21172056	Yes	
row_42	TNRC6B	NNN	12871	0.2870771884918213	0.2184326	Yes	
row_43	CDC27	NNN	12932	0.2850279211997986	0.22442907	Yes	
row_44	CAT	NNN	13105	0.2803921699523926	0.22840127	Yes	
row_45	ADD1	NNN	13340	0.27514123916625977	0.23118679	Yes	
