NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MEFV	NNN	7	2.5986340045928955	0.04272943	Yes	
row_1	GPR19	NNN	123	1.340237021446228	0.062867284	Yes	
row_2	SLC12A3	NNN	211	1.2177270650863647	0.0814626	Yes	
row_3	SLC5A5	NNN	833	0.9036529660224915	0.08577196	Yes	
row_4	NPHS1	NNN	941	0.8621358275413513	0.09816285	Yes	
row_5	WNT16	NNN	1058	0.8344079256057739	0.10994305	Yes	
row_6	TFF2	NNN	1142	0.8143384456634521	0.12195512	Yes	
row_7	YPEL1	NNN	1174	0.8055081367492676	0.13470842	Yes	
row_8	PRODH	NNN	1619	0.7352941036224365	0.1392604	Yes	
row_9	ITGB1BP2	NNN	1713	0.7180156707763672	0.14951366	Yes	
row_10	CACNG1	NNN	1921	0.6877548694610596	0.15732372	Yes	
row_11	CPB1	NNN	2110	0.6604088544845581	0.1650069	Yes	
row_12	ARPP21	NNN	2258	0.6479889750480652	0.17318454	Yes	
row_13	FGF16	NNN	2331	0.6479889750480652	0.18264128	Yes	
row_14	PAX3	NNN	2532	0.6432107090950012	0.18983625	Yes	
row_15	GRID2	NNN	2552	0.6432107090950012	0.2001181	Yes	
row_16	CALCB	NNN	2643	0.6432107090950012	0.20918906	Yes	
row_17	ZBTB16	NNN	2656	0.6432107090950012	0.21959029	Yes	
row_18	ZC2HC1C	NNN	2850	0.6319702863693237	0.22671928	Yes	
row_19	GDNF	NNN	2900	0.6270166635513306	0.23622246	Yes	
row_20	NR6A1	NNN	2903	0.6268393397331238	0.24652429	Yes	
row_21	NOS1	NNN	3492	0.5809081196784973	0.24607474	Yes	
row_22	TCL1A	NNN	3531	0.5767238140106201	0.25493625	Yes	
row_23	ATP4A	NNN	3725	0.5636364221572876	0.26093847	Yes	
row_24	RYR2	NNN	3989	0.5426254868507385	0.26540044	Yes	
row_25	RIBC2	NNN	4127	0.5324215292930603	0.27184305	Yes	
row_26	KRT4	NNN	4344	0.5143687129020691	0.27664065	Yes	
row_27	TFCP2L1	NNN	4354	0.5126694440841675	0.28494054	Yes	
row_28	KCNN1	NNN	4418	0.5071831345558167	0.29222903	Yes	
row_29	MYO15A	NNN	4472	0.5026533603668213	0.2996134	Yes	
row_30	SCGB1A1	NNN	4545	0.5	0.30662993	Yes	
row_31	BARD1	NNN	4724	0.4911699891090393	0.3116931	Yes	
row_32	SLC25A23	NNN	5110	0.4672791659832001	0.312832	Yes	
row_33	KCND1	NNN	5131	0.4661232829093933	0.3201768	Yes	
row_34	CAPN9	NNN	5272	0.46064549684524536	0.32538474	Yes	
row_35	TGM1	NNN	5307	0.458089679479599	0.3323583	Yes	
row_36	KCNQ2	NNN	5327	0.45698118209838867	0.33956942	Yes	
row_37	UGT2B17	NNN	5391	0.4545454680919647	0.34598994	Yes	
row_38	EGF	NNN	5394	0.4545454680919647	0.35345083	Yes	
row_39	CACNA1F	NNN	6098	0.4376072287559509	0.3486771	Yes	
row_40	IFI44L	NNN	6170	0.4339560270309448	0.3546217	Yes	
row_41	TFAP2B	NNN	6176	0.4339560270309448	0.36169192	Yes	
row_42	MFSD6	NNN	6247	0.4318936765193939	0.36761957	Yes	
row_43	RGS11	NNN	6249	0.43173539638519287	0.3747214	Yes	
row_44	CLSTN3	NNN	6259	0.43091654777526855	0.38167328	Yes	
row_45	EDN1	NNN	6320	0.4277271628379822	0.3877028	Yes	
row_46	TNNI3	NNN	6322	0.4275669753551483	0.39473587	Yes	
row_47	RYR1	NNN	7435	0.4105875790119171	0.38254127	Yes	
row_48	MAST3	NNN	8063	0.38507822155952454	0.37819755	Yes	
row_49	GPR3	NNN	8192	0.37854889035224915	0.38225642	Yes	
row_50	HNF1A	NNN	8202	0.37837427854537964	0.38834193	Yes	
row_51	FGF22	NNN	8596	0.36195501685142517	0.38760772	Yes	
row_52	LGALS7	NNN	8738	0.35871946811676025	0.39111793	Yes	
row_53	AMBN	NNN	9145	0.3571428656578064	0.39008266	Yes	
row_54	CLPS	NNN	9349	0.3571428656578064	0.3925095	Yes	
row_55	CCNA1	NNN	9976	0.3571428656578064	0.3877222	Yes	
row_56	YBX2	NNN	10708	0.34636226296424866	0.3809664	Yes	
row_57	CELSR2	NNN	10727	0.34570249915122986	0.3863597	Yes	
row_58	MAGIX	NNN	10776	0.34391534328460693	0.39121187	Yes	
row_59	DTNB	NNN	10781	0.343779981136322	0.39681223	Yes	
row_60	THRB	NNN	10821	0.3430703282356262	0.40180397	Yes	
row_61	THNSL2	NNN	11986	0.31056851148605347	0.3870733	Yes	
row_62	MSH5	NNN	11994	0.310391366481781	0.39207196	Yes	
row_63	GAMT	NNN	12025	0.30931103229522705	0.39666054	Yes	
row_64	PROP1	NNN	12094	0.307437002658844	0.40057015	Yes	
row_65	KLK8	NNN	12417	0.30000001192092896	0.40002525	Yes	
row_66	KRT15	NNN	12455	0.2990795075893402	0.40432572	Yes	
row_67	FGGY	NNN	12661	0.2937227189540863	0.40567273	Yes	
row_68	DCC	NNN	12799	0.2890889346599579	0.40810302	Yes	
row_69	ITIH3	NNN	12913	0.28554442524909973	0.41088417	Yes	
row_70	ASB7	NNN	13104	0.2803947925567627	0.4122672	Yes	
row_71	BMPR1B	NNN	13319	0.27525511384010315	0.41315618	Yes	
row_72	MYH7	NNN	13330	0.27525511384010315	0.4175243	Yes	
row_73	DLK2	NNN	13445	0.2715654969215393	0.42005792	Yes	
row_74	IDUA	NNN	13509	0.26979342103004456	0.42343208	Yes	
row_75	SPHK2	NNN	13617	0.2672474682331085	0.4260139	Yes	
row_76	MTHFR	NNN	13717	0.2636594772338867	0.42867294	Yes	
row_77	PCDHB1	NNN	14274	0.25080621242523193	0.42332608	No	
row_78	SGK1	NNN	14647	0.24372230470180511	0.42100048	No	
row_79	CD207	NNN	15463	0.22871355712413788	0.4108722	No	
row_80	KLK7	NNN	16106	0.21395576000213623	0.403451	No	
row_81	SKIL	NNN	16214	0.2117108553647995	0.40511706	No	
row_82	PDK2	NNN	16668	0.2026578038930893	0.4007329	No	
row_83	HSD11B2	NNN	16754	0.2003983110189438	0.40258762	No	
row_84	ADRA2C	NNN	16839	0.19804011285305023	0.40442052	No	
row_85	FGFR3	NNN	16949	0.19568079710006714	0.40578812	No	
row_86	CCDC106	NNN	17214	0.1897321492433548	0.4044142	No	
row_87	NRIP2	NNN	17311	0.1875498741865158	0.40586945	No	
row_88	EDAR	NNN	17319	0.18731988966464996	0.40883878	No	
row_89	LFNG	NNN	17350	0.18626827001571655	0.41139853	No	
row_90	KCNE2	NNN	17483	0.1831970363855362	0.41216803	No	
row_91	TG	NNN	18272	0.1666666716337204	0.40147713	No	
row_92	NTF3	NNN	18322	0.1666666716337204	0.4033896	No	
row_93	SERPINB2	NNN	18390	0.1666666716337204	0.4049951	No	
row_94	SPTBN2	NNN	19518	0.1438528299331665	0.3881465	No	
row_95	ENTPD7	NNN	19710	0.1398337185382843	0.38719475	No	
row_96	CPEB3	NNN	19799	0.13742071390151978	0.38795987	No	
row_97	SLC29A3	NNN	19812	0.1370489001274109	0.390015	No	
row_98	CAMK1D	NNN	20089	0.13077794015407562	0.3874643	No	
row_99	HTR1D	NNN	20224	0.12771867215633392	0.38728496	No	
row_100	SNN	NNN	20652	0.11999999731779099	0.38198128	No	
row_101	MX1	NNN	20690	0.11918182671070099	0.38331544	No	
row_102	VPS50	NNN	20744	0.11804722249507904	0.38435805	No	
row_103	COL2A1	NNN	20773	0.11741682887077332	0.38581657	No	
row_104	GTF3C5	NNN	21016	0.11094674468040466	0.38351876	No	
row_105	CPA2	NNN	21756	0.09383266419172287	0.37246257	No	
row_106	GPRC5C	NNN	21826	0.09277208894491196	0.37281552	No	
row_107	PTPRJ	NNN	21841	0.09236752241849899	0.3740998	No	
row_108	KMT2D	NNN	21978	0.08935993164777756	0.37325382	No	
row_109	CLDN16	NNN	22062	0.08712389320135117	0.37327486	No	
row_110	PLAG1	NNN	23082	0.062365591526031494	0.3569245	No	
row_111	P2RY4	NNN	23814	0.04212183505296707	0.3451521	No	
row_112	GP1BA	NNN	23966	0.03655167296528816	0.34317955	No	
row_113	UPK3B	NNN	23983	0.03618640825152397	0.34350336	No	
row_114	NR4A2	NNN	24233	0.02817971259355545	0.33972138	No	
row_115	CDKAL1	NNN	24264	0.02700127102434635	0.33965498	No	
row_116	SLC6A14	NNN	24563	0.015027837827801704	0.33482048	No	
row_117	ZNF112	NNN	24576	0.014367504976689816	0.33485273	No	
row_118	MYOT	NNN	25773	0.0	0.31445536	No	
row_119	INSL5	NNN	26775	0.0	0.29738364	No	
row_120	PTGFR	NNN	26853	0.0	0.29607043	No	
row_121	TSHB	NNN	27079	0.0	0.29223314	No	
row_122	FSHB	NNN	28963	0.0	0.2601192	No	
row_123	NPY4R	NNN	30309	0.0	0.23718068	No	
row_124	KRT1	NNN	31169	0.0	0.22253072	No	
row_125	IFNG	NNN	31330	0.0	0.21980198	No	
row_126	NGB	NNN	32932	0.0	0.19249748	No	
row_127	KRT13	NNN	34845	0.0	0.15988895	No	
row_128	KLHDC8A	NNN	35995	0.0	0.14029315	No	
row_129	ABCB11	NNN	37526	0.0	0.11419952	No	
row_130	EFHD1	NNN	37915	0.0	0.107582316	No	
row_131	SCN10A	NNN	38159	0.0	0.103438035	No	
row_132	CCR8	NNN	38164	0.0	0.10336981	No	
row_133	SIDT1	NNN	38568	0.0	0.09649678	No	
row_134	CD80	NNN	38597	0.0	0.09601925	No	
row_135	EPHA5	NNN	39473	0.0	0.081096426	No	
row_136	PAX4	NNN	41841	0.0	0.040728044	No	
row_137	SMPX	NNN	42203	0.0	0.03457131	No	
row_138	NUDT11	NNN	42428	0.0	0.030751066	No	
row_139	IRS4	NNN	42790	0.0	0.024594333	No	
row_140	CD40LG	NNN	43047	0.0	0.020228341	No	
row_141	TEX15	NNN	43595	0.0	0.01089944	No	
row_142	CYP11B2	NNN	44309	0.0	-0.0012605324	No	
row_143	SSTR4	NNN	44865	0.0	-0.010725869	No	
row_144	VPREB1	NNN	46711	0.0	-0.042191718	No	
row_145	SOX10	NNN	46944	0.0	-0.0461484	No	
row_146	CLDN8	NNN	47245	0.0	-0.0512648	No	
row_147	IGFBP2	NNN	47624	-0.010127314366400242	-0.05754447	No	
row_148	CHRNG	NNN	47817	-0.02104898728430271	-0.06047189	No	
row_149	TCF7L1	NNN	48139	-0.03773531690239906	-0.06532422	No	
row_150	TENM2	NNN	48285	-0.04485209286212921	-0.06705758	No	
row_151	CKM	NNN	48972	-0.07439389079809189	-0.0775304	No	
row_152	P2RX6	NNN	49318	-0.0890638679265976	-0.08194569	No	
row_153	KCNMB1	NNN	49422	-0.0936989113688469	-0.082157314	No	
row_154	SLC38A3	NNN	49605	-0.10114462673664093	-0.083593495	No	
row_155	PNMT	NNN	49932	-0.11627907305955887	-0.08723599	No	
row_156	IL12B	NNN	49977	-0.11836405843496323	-0.08603469	No	
row_157	OXT	NNN	50133	-0.12362520396709442	-0.08663971	No	
row_158	BTG2	NNN	50313	-0.1296602487564087	-0.08755453	No	
row_159	STAG3	NNN	50335	-0.1311589479446411	-0.08575	No	
row_160	EDN2	NNN	50496	-0.14067897200584412	-0.086159095	No	
row_161	COPZ2	NNN	50665	-0.14780811965465546	-0.08658707	No	
row_162	SHOX2	NNN	51329	-0.16915249824523926	-0.095105164	No	
row_163	AKR1B10	NNN	51422	-0.17541418969631195	-0.09378179	No	
row_164	PKP1	NNN	51544	-0.18468575179576874	-0.092800125	No	
row_165	PDE6B	NNN	51874	-0.20672646164894104	-0.095002405	No	
row_166	C5	NNN	52104	-0.22368420660495758	-0.0952196	No	
row_167	SERPINA10	NNN	52144	-0.22565896809101105	-0.092163846	No	
row_168	ARHGDIG	NNN	52466	-0.23917827010154724	-0.09369458	No	
row_169	SLC30A3	NNN	52827	-0.259631484746933	-0.095553204	No	
row_170	ATP6V1B1	NNN	52998	-0.2735562324523926	-0.09394184	No	
row_171	CNTFR	NNN	53291	-0.30000001192092896	-0.093975104	No	
row_172	CALML5	NNN	53293	-0.30000001192092896	-0.089045465	No	
row_173	LYPD3	NNN	53391	-0.30912283062934875	-0.08560265	No	
row_174	CDH16	NNN	53938	-0.3569052815437317	-0.08902949	No	
row_175	SPRR3	NNN	54023	-0.3571428656578064	-0.08457316	No	
row_176	RSAD2	NNN	54082	-0.3571428656578064	-0.07967341	No	
row_177	ACTC1	NNN	55010	-0.3571428656578064	-0.08959416	No	
row_178	GP2	NNN	55070	-0.3571428656578064	-0.08471147	No	
row_179	SLC6A3	NNN	55411	-0.36321642994880676	-0.08452098	No	
row_180	BRDT	NNN	55505	-0.37519901990890503	-0.07992042	No	
row_181	TAS2R4	NNN	55560	-0.38306450843811035	-0.07452503	No	
row_182	ALOX12B	NNN	55801	-0.41213735938072205	-0.07182243	No	
row_183	HTR1B	NNN	56009	-0.4166666567325592	-0.06848233	No	
row_184	SLC16A7	NNN	56448	-0.4345678389072418	-0.068786696	No	
row_185	TLX1	NNN	57037	-0.48883551359176636	-0.07075444	No	
row_186	PDCD1	NNN	57055	-0.4920802414417267	-0.06293047	No	
row_187	TGFB2	NNN	57280	-0.526358962059021	-0.058071595	No	
row_188	ABCG4	NNN	57421	-0.5627985000610352	-0.051179275	No	
row_189	SYNPO	NNN	57588	-0.5979644060134888	-0.044150528	No	
row_190	CYP39A1	NNN	57744	-0.6345356106758118	-0.036331158	No	
row_191	IL5	NNN	57817	-0.6432107090950012	-0.02695321	No	
row_192	CHST2	NNN	57953	-0.6462751030921936	-0.018599173	No	
row_193	SNCB	NNN	58357	-0.7509671449661255	-0.013089522	No	
row_194	KRT5	NNN	58787	-1.280991792678833	7.1627187E-4	No	
