NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCAT1	NNN	714	0.9410038590431213	0.010819957	Yes	
row_1	STC1	NNN	1031	0.8424193263053894	0.026018476	Yes	
row_2	INSIG1	NNN	1833	0.698475182056427	0.029427495	Yes	
row_3	IFI30	NNN	2131	0.6579416990280151	0.04044161	Yes	
row_4	FADS2	NNN	2807	0.638166069984436	0.044525657	Yes	
row_5	RRM2	NNN	3902	0.548263430595398	0.03926655	Yes	
row_6	DHCR7	NNN	4071	0.5357645750045776	0.049494866	Yes	
row_7	SC5D	NNN	4196	0.5260977745056152	0.060237356	Yes	
row_8	PLK1	NNN	4892	0.47952350974082947	0.060103238	Yes	
row_9	EEF1E1	NNN	4926	0.47716301679611206	0.07120181	Yes	
row_10	IDH1	NNN	5618	0.44905009865760803	0.07039118	Yes	
row_11	ELOVL6	NNN	6046	0.4407995939254761	0.07388141	Yes	
row_12	ADD3	NNN	6075	0.4389246106147766	0.08413075	Yes	
row_13	DHCR24	NNN	6115	0.43660834431648254	0.09413588	Yes	
row_14	SCD	NNN	6149	0.4352854788303375	0.104211	Yes	
row_15	DHFR	NNN	6579	0.4170973002910614	0.10708787	Yes	
row_16	GGA2	NNN	7408	0.411774218082428	0.10302972	Yes	
row_17	GAPDH	NNN	7418	0.4114198088645935	0.112930916	Yes	
row_18	AURKA	NNN	7648	0.4011993110179901	0.11883024	Yes	
row_19	ACSL3	NNN	7800	0.3939061164855957	0.12588161	Yes	
row_20	IDI1	NNN	7935	0.3901468813419342	0.13313106	Yes	
row_21	PIK3R3	NNN	8461	0.36666667461395264	0.13313816	Yes	
row_22	ACACA	NNN	8644	0.36081814765930176	0.1388522	Yes	
row_23	MCM4	NNN	8663	0.36012884974479675	0.1473464	Yes	
row_24	NFYC	NNN	8768	0.3574851453304291	0.15430926	Yes	
row_25	MLLT11	NNN	10548	0.35240963101387024	0.13258104	Yes	
row_26	STARD4	NNN	10641	0.34902864694595337	0.1395419	Yes	
row_27	BUB1	NNN	10675	0.34766697883605957	0.14747572	Yes	
row_28	ACLY	NNN	11440	0.3285955786705017	0.14247629	Yes	
row_29	TFRC	NNN	11536	0.32529571652412415	0.14880596	Yes	
row_30	VLDLR	NNN	11541	0.32510289549827576	0.15668294	Yes	
row_31	M6PR	NNN	11562	0.32421478629112244	0.16426532	Yes	
row_32	SRD5A1	NNN	11642	0.32237377762794495	0.17079647	Yes	
row_33	SLC9A3R1	NNN	11915	0.3123167157173157	0.17379023	Yes	
