NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLO1	NNN	4973	0.4740428924560547	-0.06872527	Yes	
row_1	U2AF1	NNN	6489	0.4192269444465637	-0.08033749	Yes	
row_2	TFDP1	NNN	7371	0.4135270416736603	-0.08133082	Yes	
row_3	MCM6	NNN	8166	0.3796635866165161	-0.08198946	Yes	
row_4	PA2G4	NNN	8411	0.36891278624534607	-0.07363314	Yes	
row_5	UBE2L3	NNN	8458	0.36673006415367126	-0.061974175	Yes	
row_6	KPNA2	NNN	8476	0.3661509156227112	-0.049840298	Yes	
row_7	PCNA	NNN	8570	0.3626245856285095	-0.039122175	Yes	
row_8	MCM4	NNN	8663	0.36012884974479675	-0.028471684	Yes	
row_9	PSMB2	NNN	10446	0.35600998997688293	-0.04678234	Yes	
row_10	CAD	NNN	11081	0.3392046093940735	-0.046085138	Yes	
row_11	PRDX3	NNN	11187	0.3358784317970276	-0.036479186	Yes	
row_12	CDK2	NNN	11328	0.3315262794494629	-0.027617797	Yes	
row_13	MRPL23	NNN	11447	0.32841187715530396	-0.018486895	Yes	
row_14	SRSF2	NNN	11849	0.3145597577095032	-0.01465231	Yes	
row_15	CCNA2	NNN	11861	0.31435078382492065	-0.0041737254	Yes	
row_16	EIF4E	NNN	12080	0.3079008460044861	0.0025558134	Yes	
row_17	GOT2	NNN	12156	0.3055426776409149	0.011644071	Yes	
row_18	MCM5	NNN	12285	0.3016442060470581	0.019696184	Yes	
row_19	PRDX4	NNN	12917	0.2855266332626343	0.018623212	Yes	
row_20	YWHAQ	NNN	12952	0.2845689654350281	0.027699033	Yes	
row_21	RNPS1	NNN	12976	0.28395867347717285	0.036941737	Yes	
row_22	VDAC3	NNN	13054	0.2818532884120941	0.04519209	Yes	
row_23	VBP1	NNN	13211	0.2781588137149811	0.051969808	Yes	
row_24	UBE2E1	NNN	13338	0.27519139647483826	0.059158463	Yes	
row_25	RFC4	NNN	13360	0.2747252881526947	0.068121985	Yes	
row_26	STARD7	NNN	13369	0.274488240480423	0.07729916	Yes	
row_27	EIF4G2	NNN	13387	0.27400222420692444	0.08630636	Yes	
row_28	LDHA	NNN	13441	0.2717263996601105	0.094622396	Yes	
row_29	XPO1	NNN	13508	0.26980268955230713	0.102651455	Yes	
row_30	NOP56	NNN	13655	0.26604169607162476	0.10918857	Yes	
row_31	LSM2	NNN	13737	0.2630557119846344	0.11673289	Yes	
row_32	POLE3	NNN	13925	0.2592393159866333	0.12233998	Yes	
row_33	PSMA2	NNN	14150	0.2531845271587372	0.12711062	Yes	
row_34	HPRT1	NNN	14618	0.24476110935211182	0.12745132	Yes	
row_35	SRSF3	NNN	14635	0.24401849508285522	0.13545819	Yes	
row_36	SRSF1	NNN	14878	0.23815298080444336	0.13941184	Yes	
row_37	UBA2	NNN	15071	0.23340436816215515	0.14405705	Yes	
