NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC23A2	NNN	3133	0.6136385202407837	-0.029003143	Yes	
row_1	PEX11A	NNN	3960	0.5452865362167358	-0.02143404	Yes	
row_2	EHHADH	NNN	4147	0.5307477116584778	-0.0035437031	Yes	
row_3	IDH2	NNN	4453	0.5046257376670837	0.011283878	Yes	
row_4	SCGB1A1	NNN	4545	0.5	0.029571975	Yes	
row_5	SLC25A17	NNN	4600	0.4993804097175598	0.04846553	Yes	
row_6	ERCC1	NNN	5288	0.4593406617641449	0.054991625	Yes	
row_7	UGT2B17	NNN	5391	0.4545454680919647	0.07128899	Yes	
row_8	IDH1	NNN	5618	0.44905009865760803	0.085256815	Yes	
row_9	DHCR24	NNN	6115	0.43660834431648254	0.09413339	Yes	
row_10	FABP6	NNN	6227	0.43289801478385925	0.10941863	Yes	
row_11	ABCB9	NNN	6242	0.4322766661643982	0.12633096	Yes	
row_12	SLC35B2	NNN	6277	0.4299544394016266	0.14281057	Yes	
row_13	PEX11B	NNN	7433	0.4107142984867096	0.1394382	Yes	
row_14	PEX13	NNN	7437	0.41042113304138184	0.1556707	Yes	
row_15	CRAT	NNN	7469	0.4087616503238678	0.17136058	Yes	
row_16	VPS4B	NNN	7679	0.4000000059604645	0.1836718	Yes	
row_17	IDI1	NNN	7935	0.3901468813419342	0.19480881	Yes	
row_18	NR1I2	NNN	9073	0.3571428656578064	0.18961747	Yes	
row_19	MSH2	NNN	10611	0.3500494360923767	0.1773334	Yes	
row_20	YWHAH	NNN	10677	0.3476327359676361	0.19001901	Yes	
row_21	TOP2A	NNN	11493	0.3269638121128082	0.18911341	Yes	
row_22	ESR2	NNN	11747	0.3179747462272644	0.19742101	Yes	
row_23	ACSL1	NNN	11752	0.3177486062049866	0.20995967	Yes	
row_24	HMGCL	NNN	11783	0.3167281746864319	0.22201513	Yes	
row_25	HSD3B7	NNN	11904	0.3127833306789398	0.23238152	Yes	
row_26	ACOX1	NNN	12464	0.29877185821533203	0.23471661	Yes	
row_27	SEMA3C	NNN	12727	0.29186028242111206	0.24183486	Yes	
row_28	BCL10	NNN	12814	0.28883683681488037	0.25183013	Yes	
row_29	ERCC3	NNN	12901	0.2858334183692932	0.26170623	Yes	
row_30	SIAH1	NNN	12998	0.2834091782569885	0.27131587	Yes	
row_31	CAT	NNN	13105	0.2803921699523926	0.28063554	Yes	
row_32	FADS1	NNN	13355	0.2748233675956726	0.28729922	Yes	
row_33	ATXN1	NNN	13378	0.2742373049259186	0.29780504	Yes	
row_34	CADM1	NNN	13783	0.262030690908432	0.3013218	Yes	
row_35	NUDT19	NNN	13936	0.25898078083992004	0.30900866	Yes	
row_36	IDE	NNN	14161	0.2529376745223999	0.3152297	Yes	
row_37	ISOC1	NNN	14330	0.25	0.3222878	Yes	
row_38	CRABP1	NNN	14464	0.24891608953475952	0.32989886	Yes	
row_39	SLC27A2	NNN	14505	0.24779735505580902	0.3390492	Yes	
row_40	SCP2	NNN	14541	0.24693745374679565	0.34825054	Yes	
row_41	ABCD3	NNN	14681	0.24305130541324615	0.35552675	Yes	
row_42	ECI2	NNN	14967	0.23622047901153564	0.36004582	Yes	
row_43	ACSL4	NNN	15053	0.2341708540916443	0.36788923	Yes	
row_44	MVP	NNN	15586	0.22575387358665466	0.36778706	Yes	
