NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BNIP3	NNN	2937	0.6229491829872131	-0.018257555	Yes	
row_1	ABCA1	NNN	3237	0.6002529263496399	0.007241841	Yes	
row_2	GOSR2	NNN	4916	0.4779622256755829	0.0030307283	Yes	
row_3	SEC24D	NNN	5739	0.4431428015232086	0.0116190845	Yes	
row_4	VPS4B	NNN	7679	0.4000000059604645	-0.001008822	Yes	
row_5	ZW10	NNN	7759	0.39573460817337036	0.01781356	Yes	
row_6	KIF1B	NNN	8181	0.37883830070495605	0.02995211	Yes	
row_7	SEC22B	NNN	8384	0.3700711131095886	0.04537248	Yes	
row_8	VAMP7	NNN	8444	0.3670307397842407	0.06307257	Yes	
row_9	AP2B1	NNN	8466	0.36654388904571533	0.08139482	Yes	
row_10	ATP7A	NNN	8504	0.3653624951839447	0.09938446	Yes	
row_11	VAMP4	NNN	8510	0.3651411831378937	0.117907636	Yes	
row_12	MAPK1	NNN	10447	0.35595107078552246	0.10308599	Yes	
row_13	OCRL	NNN	11006	0.3423455059528351	0.11103228	Yes	
row_14	CLCN3	NNN	11155	0.33647841215133667	0.12566008	Yes	
row_15	M6PR	NNN	11562	0.32421478629112244	0.1352703	Yes	
row_16	PPT1	NNN	11737	0.31830987334251404	0.14852953	Yes	
row_17	LAMP2	NNN	11758	0.3174992501735687	0.16436939	Yes	
row_18	STX12	NNN	11996	0.3103219270706177	0.17614894	Yes	
row_19	ARFGAP3	NNN	12236	0.3035212755203247	0.18754785	Yes	
row_20	GNAS	NNN	12319	0.3007793128490448	0.20148005	Yes	
row_21	DNM1L	NNN	12430	0.29973772168159485	0.21488243	Yes	
row_22	COG2	NNN	12587	0.29539617896080017	0.22728041	Yes	
row_23	GBF1	NNN	12688	0.2929057776927948	0.24050489	Yes	
row_24	AP3B1	NNN	12714	0.2922535240650177	0.25497305	Yes	
row_25	CTSC	NNN	13271	0.2762618064880371	0.25958565	Yes	
row_26	AP1G1	NNN	13304	0.2754475772380829	0.27307817	Yes	
row_27	RAB9A	NNN	13929	0.25918635725975037	0.27566284	Yes	
row_28	PAM	NNN	14119	0.25394880771636963	0.2853867	Yes	
row_29	VAMP3	NNN	14145	0.2534950375556946	0.29787967	Yes	
row_30	SEC31A	NNN	14517	0.24742178618907928	0.30417225	Yes	
row_31	ARFGEF2	NNN	14558	0.2465880960226059	0.31605786	Yes	
row_32	CLN5	NNN	14636	0.24399326741695404	0.32718125	Yes	
row_33	TMED2	NNN	14637	0.2439872771501541	0.33961532	Yes	
row_34	STX7	NNN	14639	0.24395135045051575	0.35203052	Yes	
row_35	KRT18	NNN	15604	0.22559338808059692	0.3471145	Yes	
row_36	ARF1	NNN	15812	0.22054624557495117	0.35482967	Yes	
row_37	TMX1	NNN	16011	0.2158602923154831	0.36245924	Yes	
row_38	BET1	NNN	16021	0.21561771631240845	0.37329432	Yes	
row_39	TPD52	NNN	16024	0.21556967496871948	0.3842461	Yes	
row_40	TMED10	NNN	16471	0.20660756528377533	0.38718182	Yes	
row_41	ARFIP1	NNN	16489	0.20637694001197815	0.39740974	Yes	
row_42	MON2	NNN	16691	0.20219328999519348	0.40429175	Yes	
row_43	SNX2	NNN	16748	0.20048309862613678	0.41355532	Yes	
row_44	GLA	NNN	16952	0.1955307275056839	0.42006376	Yes	
row_45	AP2M1	NNN	17047	0.19343078136444092	0.42832094	Yes	
row_46	RAB22A	NNN	17094	0.1924298256635666	0.43734437	Yes	
row_47	CLTC	NNN	17124	0.19166040420532227	0.44661802	Yes	
row_48	ATP1A1	NNN	17300	0.18774248659610748	0.45320627	Yes	
row_49	YIPF6	NNN	17371	0.18565815687179565	0.46147597	Yes	
row_50	CAV2	NNN	17490	0.18305084109306335	0.46879557	Yes	
row_51	ICA1	NNN	17759	0.17607127130031586	0.47320563	Yes	
row_52	RPS6KA3	NNN	17976	0.17092669010162354	0.47823885	Yes	
row_53	AP3S1	NNN	18015	0.1700420379638672	0.48625755	Yes	
row_54	ADAM10	NNN	18426	0.16653701663017273	0.4877641	Yes	
row_55	SCRN1	NNN	18474	0.16536587476730347	0.49539128	Yes	
row_56	COPB1	NNN	18505	0.1645616888999939	0.5032669	Yes	
row_57	RAB2A	NNN	18559	0.16355811059474945	0.51069975	Yes	
row_58	SNAP23	NNN	18958	0.15601332485675812	0.5118743	Yes	
row_59	TSG101	NNN	19034	0.1541135609149933	0.51845133	Yes	
row_60	ARCN1	NNN	19099	0.15254901349544525	0.5251359	Yes	
row_61	SCAMP1	NNN	19301	0.14847509562969208	0.5292803	Yes	
row_62	LMAN1	NNN	19567	0.14268489181995392	0.53204	Yes	
row_63	ANP32E	NNN	20025	0.13216723501682281	0.5309948	Yes	
row_64	CD63	NNN	20456	0.12357371300458908	0.52997136	Yes	
row_65	AP2S1	NNN	20664	0.11965581774711609	0.5325449	Yes	
row_66	VPS45	NNN	20822	0.11581067740917206	0.5357738	Yes	
row_67	STX16	NNN	20984	0.11135360598564148	0.5387075	Yes	
row_68	RAB14	NNN	21243	0.1059304028749466	0.5397133	Yes	
row_69	ARFGEF1	NNN	21366	0.10362694412469864	0.54291725	Yes	
row_70	STAM	NNN	21976	0.08941517770290375	0.5371054	Yes	
row_71	IGF2R	NNN	22019	0.0882101058959961	0.5408857	Yes	
row_72	EGFR	NNN	22298	0.08274941891431808	0.54036963	Yes	
row_73	COPB2	NNN	22311	0.08218695223331451	0.5443537	Yes	
row_74	USO1	NNN	22380	0.08034894615411758	0.54729074	Yes	
row_75	NAPG	NNN	22554	0.0761997401714325	0.54822856	Yes	
row_76	TOM1L1	NNN	22647	0.07355061918497086	0.5504105	Yes	
row_77	ERGIC3	NNN	22740	0.07067990303039551	0.5524461	Yes	
row_78	ATP6V1H	NNN	22942	0.06588579714298248	0.55238163	No	
row_79	RAB5A	NNN	23307	0.05584642291069031	0.54903036	No	
row_80	RER1	NNN	23320	0.05548594892024994	0.55165374	No	
row_81	TSPAN8	NNN	23604	0.0476766936480999	0.54926515	No	
row_82	COPE	NNN	23624	0.04725414887070656	0.5513498	No	
row_83	NAPA	NNN	23842	0.04098360612988472	0.5497439	No	
row_84	CLTA	NNN	24349	0.02394738793373108	0.54234934	No	
row_85	SCAMP3	NNN	24424	0.02101144753396511	0.5421602	No	
row_86	SGMS1	NNN	24452	0.019933555275201797	0.5427164	No	
row_87	DST	NNN	24784	0.0031625553965568542	0.53724205	No	
row_88	SSPN	NNN	30998	0.0	0.43146187	No	
row_89	SH3GL2	NNN	44434	0.0	0.2027226	No	
row_90	GOLGA4	NNN	48936	-0.07305052131414413	0.12981306	No	
row_91	SOD1	NNN	49745	-0.10589417815208435	0.12145293	No	
row_92	YKT6	NNN	50541	-0.14139524102210999	0.11512333	No	
row_93	GALC	NNN	52416	-0.23566225171089172	0.095227115	No	
row_94	ATP6V1B1	NNN	52998	-0.2735562324523926	0.099276185	No	
