NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	195	0.576618	1.6021868	0.0	0.009541677	0.009	20944	tags=79%, list=36%, signal=122%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	191	0.5469675	1.5172288	0.0	0.025228923	0.045	22617	tags=83%, list=38%, signal=135%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	198	0.54997325	1.5098066	0.0	0.017181601	0.046	22346	tags=83%, list=38%, signal=133%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	193	0.5435804	1.4965143	0.0	0.017138148	0.061	23938	tags=84%, list=41%, signal=141%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	95	0.5524461	1.4529938	0.0010537407	0.03608564	0.152	22740	tags=82%, list=39%, signal=134%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	198	0.50942814	1.4123416	0.0010162601	0.051923603	0.252	23393	tags=82%, list=40%, signal=135%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	97	0.51874036	1.3755395	0.0174482	0.07827103	0.406	23079	tags=78%, list=39%, signal=129%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	147	0.48721188	1.3268952	0.011506276	0.13547511	0.644	22589	tags=73%, list=38%, signal=118%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	43	0.5346469	1.2990898	0.08382527	0.17230354	0.785	18426	tags=67%, list=31%, signal=98%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	193	0.45386857	1.2614309	0.026612077	0.24948238	0.918	17655	tags=51%, list=30%, signal=73%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	196	0.45331457	1.2562872	0.024489796	0.24061586	0.926	22627	tags=69%, list=38%, signal=112%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	73	0.48541838	1.2424909	0.113507375	0.26122576	0.955	20985	tags=74%, list=36%, signal=115%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	193	0.44346416	1.2312498	0.043788187	0.27571353	0.974	22595	tags=69%, list=38%, signal=112%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	184	0.44640926	1.228747	0.04923077	0.2629975	0.977	24506	tags=74%, list=42%, signal=127%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	57	0.48302758	1.2153898	0.1662896	0.28801763	0.986	23313	tags=74%, list=40%, signal=122%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	36	0.5162557	1.1958634	0.19059107	0.33327806	0.994	17014	tags=47%, list=29%, signal=66%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	54	0.47941136	1.1939676	0.1659039	0.3209354	0.995	21127	tags=67%, list=36%, signal=104%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	104	0.4491424	1.189269	0.1404073	0.31822795	0.996	19823	tags=63%, list=34%, signal=96%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	195	0.42867294	1.1855228	0.0859454	0.31303775	0.996	13717	tags=39%, list=23%, signal=51%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	194	0.42709792	1.1817687	0.11347517	0.30950233	0.996	21667	tags=62%, list=37%, signal=98%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		104	0.4397787	1.1684602	0.15692641	0.33965117	0.997	19344	tags=62%, list=33%, signal=92%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		133	0.41911617	1.1416918	0.17634636	0.41274253	1.0	16237	tags=47%, list=28%, signal=65%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		196	0.40511626	1.1208199	0.19713993	0.47594422	1.0	20899	tags=58%, list=36%, signal=90%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		193	0.40607685	1.1147691	0.20081967	0.4796635	1.0	22642	tags=66%, list=38%, signal=107%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		112	0.41564924	1.1091472	0.24920467	0.48180553	1.0	17809	tags=54%, list=30%, signal=77%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		196	0.40389833	1.1089844	0.2	0.46379736	1.0	19773	tags=54%, list=34%, signal=80%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		156	0.3986054	1.099527	0.253886	0.48230228	1.0	21465	tags=59%, list=36%, signal=93%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		160	0.40460065	1.0962038	0.25614753	0.47624546	1.0	17318	tags=48%, list=29%, signal=67%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		195	0.3930262	1.0844163	0.28265306	0.50064915	1.0	21649	tags=57%, list=37%, signal=91%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		108	0.4032832	1.0756879	0.32306057	0.5152777	1.0	23318	tags=70%, list=40%, signal=116%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		197	0.38569197	1.0683846	0.31038028	0.52393514	1.0	17616	tags=47%, list=30%, signal=67%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		198	0.38311404	1.0640906	0.32215446	0.5231503	1.0	19031	tags=51%, list=32%, signal=74%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		194	0.38715467	1.0634288	0.30612245	0.5095288	1.0	22444	tags=62%, list=38%, signal=101%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		87	0.39578232	1.0430206	0.40175632	0.5674194	1.0	21518	tags=63%, list=37%, signal=100%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		195	0.37664706	1.0414168	0.38022426	0.5573625	1.0	17216	tags=40%, list=29%, signal=56%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		197	0.37494534	1.0401815	0.3926755	0.5460542	1.0	19823	tags=53%, list=34%, signal=79%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		197	0.37530628	1.0339317	0.39344263	0.5509587	1.0	17808	tags=45%, list=30%, signal=64%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		155	0.3720818	1.0174929	0.45322245	0.5891602	1.0	21190	tags=57%, list=36%, signal=89%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		199	0.35824466	0.9944278	0.52566737	0.64834076	1.0	17235	tags=40%, list=29%, signal=57%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		42	0.4096704	0.9738694	0.52163464	0.69612	1.0	21245	tags=64%, list=36%, signal=101%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		140	0.3532134	0.9584846	0.5904366	0.72533065	1.0	19925	tags=53%, list=34%, signal=80%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		198	0.33655053	0.93143827	0.68533605	0.7846335	1.0	20565	tags=54%, list=35%, signal=82%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		95	0.34354594	0.9091784	0.6850649	0.8251561	1.0	21817	tags=63%, list=37%, signal=100%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		138	0.32679915	0.88551164	0.75655824	0.8631502	1.0	18739	tags=47%, list=32%, signal=69%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		200	0.3153331	0.86974245	0.8408163	0.8761838	1.0	20916	tags=56%, list=36%, signal=86%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		32	0.33220902	0.7695798	0.82460415	1.0	1.0	22431	tags=63%, list=38%, signal=101%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		40	0.3128728	0.7462647	0.89810425	1.0	1.0	10709	tags=30%, list=18%, signal=37%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		198	0.25934938	0.71457106	0.9876923	1.0	1.0	23613	tags=55%, list=40%, signal=92%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		47	0.2904871	0.7064571	0.94255567	0.99888086	1.0	20493	tags=53%, list=35%, signal=82%	
