NAME	TITLE	SCORE	
RNU6-933P	NNN	3.2160535	
RP11-168L7.1	NNN	3.2160535	
GPR1-AS	NNN	3.2142856	
RFPL4AP6	NNN	2.7941177	
FCMR	NNN	2.7586207	
KCNJ15	NNN	2.7445626	
RP11-12J10.4	NNN	2.7341363	
MEFV	NNN	2.598634	
EEF1A1P24	NNN	2.5	
DPRXP2	NNN	2.5	
RP11-711C17.2	NNN	2.5	
RP11-26F2.2	NNN	2.5	
LINC00316	NNN	2.5	
LINC00884	NNN	2.479548	
NAALADL2	NNN	2.317073	
RP11-356C4.5	NNN	2.2916667	
ERN2	NNN	2.2670412	
CTD-2265O21.3	NNN	2.2595308	
AC004985.12	NNN	2.1818182	
SCARNA5	NNN	2.1175709	
RP11-282K24.3	NNN	2.060087	
RHOH	NNN	2.0521393	
AP000266.7	NNN	2.0505102	
RP11-95M15.1	NNN	2.0	
RP11-902B17.1	NNN	2.0	
RP11-157D18.2	NNN	1.9675423	
RNF150	NNN	1.9675423	
SLC26A4-AS1	NNN	1.9675423	
MOB3B	NNN	1.9675423	
RPL21P4	NNN	1.9675423	
CYP51A1P2	NNN	1.9590291	
RP11-538D16.2	NNN	1.9439669	
ANKRD30BL	NNN	1.9296321	
AR	NNN	1.9296321	
MRRFP1	NNN	1.9296321	
RP11-369K16.1	NNN	1.9296321	
RP11-151A10.3	NNN	1.9069446	
RP5-887A10.1	NNN	1.8857499	
CD40	NNN	1.8857499	
RP11-12M5.4	NNN	1.877393	
PDE7B	NNN	1.8371173	
SOCS5P2	NNN	1.8333334	
LINC01347	NNN	1.8029516	
RP11-654C22.2	NNN	1.7935973	
CTD-2373J6.2	NNN	1.7857143	
RP11-91N2.3	NNN	1.7857143	
CTD-2044J15.1	NNN	1.766142	
AC092839.4	NNN	1.7320508	
RP11-108K3.1	NNN	1.7243783	
CRHR2	NNN	1.7142857	
RP11-1260E13.2	NNN	1.7142857	
RN7SL452P	NNN	1.7090815	
EXOC3L1	NNN	1.7064	
RP11-932O9.9	NNN	1.706188	
FAM151A	NNN	1.7021277	
TMEM191B	NNN	1.7001519	
RNU6-379P	NNN	1.6947379	
TSPAN7	NNN	1.6856377	
RPL12P9	NNN	1.6767333	
PCAT19	NNN	1.6549604	
RP3-393E18.1	NNN	1.6462238	
SFRP1	NNN	1.6243557	
GK-IT1	NNN	1.617647	
RNU6-780P	NNN	1.6050048	
RP5-857K21.4	NNN	1.5709323	
AC133644.2	NNN	1.5693902	
RP11-909N17.2	NNN	1.5615528	
RP11-927P21.6	NNN	1.554078	
RP11-9E13.4	NNN	1.5517242	
SEMA5A	NNN	1.5512818	
CTD-2263F21.1	NNN	1.5455306	
MROH3P	NNN	1.544741	
RP11-302I18.1	NNN	1.5428864	
RP5-875H18.4	NNN	1.5371099	
RP11-363J20.1	NNN	1.5365862	
RP11-328J14.1	NNN	1.5354598	
TCHH	NNN	1.5347619	
CTA-243E7.2	NNN	1.5347619	
YWHAZP5	NNN	1.5342689	
AC116609.2	NNN	1.5119742	
CRYGB	NNN	1.5119742	
RP11-777J24.1	NNN	1.5119742	
DPY19L2P1	NNN	1.5	
PHF21B	NNN	1.4981021	
BEST3	NNN	1.47966	
RP11-307C12.12	NNN	1.4514511	
AGPAT4-IT1	NNN	1.4461621	
CTC-523E23.4	NNN	1.4414319	
RP11-173P15.10	NNN	1.4377201	
CRLF2	NNN	1.4370657	
CTD-2240E14.4	NNN	1.4370657	
RP11-863K10.7	NNN	1.4366213	
LINC00605	NNN	1.4366213	
ZNF521	NNN	1.4366213	
MYPN	NNN	1.4335009	
