gene_name	gene_biotype
DDX11L1	transcribed_unprocessed_pseudogene
WASH7P	unprocessed_pseudogene
MIR6859-1	miRNA
RP11-34P13.3	lincRNA
MIR1302-2	miRNA
FAM138A	lincRNA
OR4G4P	unprocessed_pseudogene
OR4G11P	unprocessed_pseudogene
OR4F5	protein_coding
RP11-34P13.7	lincRNA
RP11-34P13.8	lincRNA
CICP27	processed_pseudogene
RP11-34P13.15	processed_pseudogene
RP11-34P13.16	processed_pseudogene
RP11-34P13.14	antisense
RP11-34P13.13	processed_transcript
RNU6-1100P	snRNA
RP11-34P13.9	lincRNA
FO538757.3	protein_coding
FO538757.2	protein_coding
MIR6859-2	miRNA
FO538757.1	miRNA
AP006222.2	lincRNA
RPL23AP21	processed_pseudogene
RPL23AP24	processed_pseudogene
RP5-857K21.15	lincRNA
RP4-669L17.2	lincRNA
RP4-669L17.10	lincRNA
WBP1LP7	processed_pseudogene
OR4F29	protein_coding
SEPT14P13	transcribed_unprocessed_pseudogene
CICP7	processed_pseudogene
RP4-669L17.8	unprocessed_pseudogene
U6	snRNA
RP5-857K21.4	lincRNA
RP5-857K21.2	lincRNA
MTND1P23	unprocessed_pseudogene
MTND2P28	unprocessed_pseudogene
AC114498.1	miRNA
MTCO1P12	unprocessed_pseudogene
MIR6723	miRNA
MTCO2P12	unprocessed_pseudogene
MTATP8P1	unprocessed_pseudogene
MTATP6P1	unprocessed_pseudogene
MTCO3P12	unprocessed_pseudogene
WBP1LP6	processed_pseudogene
OR4F16	protein_coding
CICP3	processed_pseudogene
RP11-206L10.2	transcribed_unprocessed_pseudogene
RNU6-1199P	snRNA
RP11-206L10.4	antisense
RP11-206L10.9	lincRNA
RP11-206L10.8	transcribed_unprocessed_pseudogene
FAM87B	lincRNA
LINC01128	processed_transcript
LINC00115	lincRNA
FAM41C	lincRNA
TUBB8P11	unprocessed_pseudogene
FAM166AP3	transcribed_unprocessed_pseudogene
RP11-54O7.16	lincRNA
RP11-54O7.1	lincRNA
RP11-54O7.2	lincRNA
RP11-54O7.3	lincRNA
SAMD11	protein_coding
NOC2L	protein_coding
KLHL17	protein_coding
AL645608.1	miRNA
PLEKHN1	protein_coding
PERM1	protein_coding
RP11-54O7.17	lincRNA
HES4	protein_coding
ISG15	protein_coding
RP11-54O7.10	processed_pseudogene
RP11-54O7.11	antisense
AGRN	protein_coding
RP11-54O7.14	sense_intronic
RP11-465B22.3	transcribed_unprocessed_pseudogene
RP11-54O7.18	lincRNA
RNF223	protein_coding
C1orf159	protein_coding
LINC01342	lincRNA
MIR200B	miRNA
MIR200A	miRNA
MIR429	miRNA
RP11-465B22.8	lincRNA
TTLL10-AS1	antisense
TTLL10	protein_coding
TNFRSF18	protein_coding
TNFRSF4	protein_coding
SDF4	protein_coding
B3GALT6	protein_coding
FAM132A	protein_coding
RP5-902P8.12	lincRNA
UBE2J2	protein_coding
RP5-902P8.10	lincRNA
SCNN1D	protein_coding
ACAP3	protein_coding
MIR6726	miRNA
PUSL1	protein_coding
CPSF3L	protein_coding
MIR6727	miRNA
RP5-890O3.9	sense_intronic
CPTP	protein_coding
TAS1R3	protein_coding
DVL1	protein_coding
MIR6808	miRNA
MXRA8	protein_coding
AURKAIP1	protein_coding
NDUFB4P8	processed_pseudogene
CCNL2	protein_coding
RP4-758J18.2	processed_transcript
MRPL20	protein_coding
RN7SL657P	misc_RNA
RP4-758J18.13	lincRNA
ANKRD65	protein_coding
RP4-758J18.7	antisense
