"Name"	"Score"	"freq_dw"
"RP11-45M22.2"	"RP11-45M22.2"	0.000804697551593501	1
"RAP1AP"	"RAP1AP"	0.00303321069247461	2
"GRHL2"	"GRHL2"	0.00408843455875387	1
"HSPA4L"	"HSPA4L"	0.00449101721799562	1
"AQP3"	"AQP3"	0.00449101721799562	1
"LDHAP4"	"LDHAP4"	0.00449101721799562	1
"IPPK"	"IPPK"	0.00666165568575514	2
"ARL2BP"	"ARL2BP"	0.00715009690165688	1
"TFRC"	"TFRC"	0.00791448138430988	1
"APOD"	"APOD"	0.00897755014558217	1
"SNORA71C"	"SNORA71C"	0.00897755014558217	1
"ADAM21"	"ADAM21"	0.00897755014558217	1
"CTB-186G2.4"	"CTB-186G2.4"	0.0114475202245924	1
"NR4A3"	"NR4A3"	0.012629344658337	1
"SDC1"	"SDC1"	0.013459601022665	3
"NKX1-2"	"NKX1-2"	0.013459601022665	1
"WNT16"	"WNT16"	0.0142878903768226	1
"PCDHAC2"	"PCDHAC2"	0.0153297718738695	1
"RP11-737O24.3"	"RP11-737O24.3"	0.0161435765070921	1
"HSPA8"	"HSPA8"	0.0179371720891493	2
"TMEM109"	"TMEM109"	0.0179371720891493	1
"CNKSR3"	"CNKSR3"	0.0179371720891493	1
"MCTS2P"	"MCTS2P"	0.0196053217749229	1
"SNORD11"	"SNORD11"	0.0216860164720742	1
"ABHD11-AS1"	"ABHD11-AS1"	0.0221142889785104	1
"THEM6"	"THEM6"	0.0224102655849404	2
"TOMM7"	"TOMM7"	0.0224102655849404	2
"ACTG1P3"	"ACTG1P3"	0.0224102655849404	3
"RP11-447D11.3"	"RP11-447D11.3"	0.0233587676699675	2
"BEST1"	"BEST1"	0.0256853192258907	1
"RP11-566K19.8"	"RP11-566K19.8"	0.0264898457980464	1
"ITGB1P1"	"ITGB1P1"	0.0268788837499437	1
"WASF3"	"WASF3"	0.0268788837499437	1
"LAP3"	"LAP3"	0.0275669352465392	1
"KLHL11"	"KLHL11"	0.0313430288240644	1
"ADCK2"	"ADCK2"	0.0313430288240644	1
"RP11-106M3.2"	"RP11-106M3.2"	0.0313430288240644	1
"LYNX1"	"LYNX1"	0.0330688926564132	1
"RP11-345J4.5"	"RP11-345J4.5"	0.0358027030472079	1
"KLF15"	"KLF15"	0.0358027030472079	1
"FLNA"	"FLNA"	0.0358027030472079	1
"LIPG"	"LIPG"	0.039613304605773	1
"TRHDE-AS1"	"TRHDE-AS1"	0.0402579086592793	1
"RP11-367J11.2"	"RP11-367J11.2"	0.0402579086592793	2
"NFIA"	"NFIA"	0.0412859344754627	2
"LPAR6"	"LPAR6"	0.0425053713989919	1
"FAM46B"	"FAM46B"	0.0442869058376479	3
"TMEM140"	"TMEM140"	0.0447086479001842	2
"RAD23B"	"RAD23B"	0.0447086479001842	1
"RP11-30L15.4"	"RP11-30L15.4"	0.0447086479001842	2
"MCAM"	"MCAM"	0.0454938101177104	3
"RP11-298J20.4"	"RP11-298J20.4"	0.0461030132145975	1
"KHK"	"KHK"	0.0491549230098276	2
"RP11-451F20.1"	"RP11-451F20.1"	0.0506953077506979	2
"PRKG1-AS1"	"PRKG1-AS1"	0.0535967362281149	1
"URB2"	"URB2"	0.0535967362281149	2
"FAM198B"	"FAM198B"	0.0550317580636146	2
"ANK1"	"ANK1"	0.0577189157068369	1
"DHRS2"	"DHRS2"	0.0580340897949515	2
"ZNF695"	"ZNF695"	0.0580340897949515	3
"CTD-3113P16.11"	"CTD-3113P16.11"	0.0580340897949515	1
"SOX6"	"SOX6"	0.058400084721083	1
"PRKG1"	"PRKG1"	0.0594396531425908	1
"RP11-93M12.1"	"RP11-93M12.1"	0.0604321316616753	1
"LAMA4"	"LAMA4"	0.0624669859502427	2
"TMIE"	"TMIE"	0.0624669859502427	1
"FAM83A"	"FAM83A"	0.0624669859502427	1
"EDRF1-AS1"	"EDRF1-AS1"	0.0668954269338936	2
"TM4SF1"	"TM4SF1"	0.0713194149858097	2
"MPRIP"	"MPRIP"	0.0713194149858097	1
"RP11-416I2.1"	"RP11-416I2.1"	0.0757389523458962	1
"CLOCK"	"CLOCK"	0.0757389523458962	1
"RP11-34P13.13"	"RP11-34P13.13"	0.0757389523458962	1
"BLK"	"BLK"	0.0778471086553335	1
"HSP90AA2P"	"HSP90AA2P"	0.0797639516666231	1
"B3GALT5"	"B3GALT5"	0.0801540412540584	2
"RP1-12G14.9"	"RP1-12G14.9"	0.0801540412540584	1
"EIF2AK2"	"EIF2AK2"	0.0801540412540584	1
"EML1"	"EML1"	0.0818521974578556	1
"CTD-2561B21.11"	"CTD-2561B21.11"	0.0845646839502016	1
"MBOAT1"	"MBOAT1"	0.0845646839502016	1
"PDXP"	"PDXP"	0.0889708826742312	1
"AL353644.4"	"AL353644.4"	0.0889708826742312	1
"VANGL2"	"VANGL2"	0.0889708826742312	1
"KBTBD8"	"KBTBD8"	0.0894992072705735	1
"AC009487.6"	"AC009487.6"	0.0903337202016051	2
"MIR3648-1"	"MIR3648-1"	0.0924607342737568	1
"KRT81"	"KRT81"	0.0933726396660524	3
"LLGL2"	"LLGL2"	0.0933726396660524	2
"RP11-1100L3.8"	"RP11-1100L3.8"	0.0937072744247243	1
"TMEM75"	"TMEM75"	0.0937921485430053	1
"ZNF670-ZNF695"	"ZNF670-ZNF695"	0.0977699571655705	2
"CD274"	"CD274"	0.0977699571655705	1
"TRIM14"	"TRIM14"	0.0977699571655705	1
"SLCO5A1"	"SLCO5A1"	0.101578881035067	2
"NR1I3"	"NR1I3"	0.102162837412691	1
"RPL7"	"RPL7"	0.102162837412691	1
"MAPK4"	"MAPK4"	0.102162837412691	1
"RP11-568J23.5"	"RP11-568J23.5"	0.104166324067448	2
"TM4SF18"	"TM4SF18"	0.104906478001209	2
"SUSD4"	"SUSD4"	0.105060658149306	2
"OR51I1"	"OR51I1"	0.106551282647319	1
"ITGB4"	"ITGB4"	0.106551282647319	1
"CERS6"	"CERS6"	0.106551282647319	1
"FOS"	"FOS"	0.109584417556331	2
"PLAC9"	"PLAC9"	0.110499555878608	1
"RP11-676M6.1"	"RP11-676M6.1"	0.110499555878608	1
"RP5-1021I20.5"	"RP5-1021I20.5"	0.110935295109359	1
"LINC00973"	"LINC00973"	0.110935295109359	2
"REEP1"	"REEP1"	0.110935295109359	2
"CCNB3"	"CCNB3"	0.111418145894952	1
"DDN"	"DDN"	0.113795109879492	1
"Z83844.1"	"Z83844.1"	0.115314877038718	1
"EXTL3"	"EXTL3"	0.115314877038718	1
"WDR3"	"WDR3"	0.115314877038718	2
"RP11-611O2.1"	"RP11-611O2.1"	0.116865878930707	1
"NPM1P6"	"NPM1P6"	0.118890589434809	1
"GPRC5B"	"GPRC5B"	0.1196900306753	2
"HRK"	"HRK"	0.1196900306753	1
"IFIH1"	"IFIH1"	0.119840043106271	1
"TGFB2"	"TGFB2"	0.121574844160763	1
"CTD-3035K23.3"	"CTD-3035K23.3"	0.122708827577174	1
"MYH10"	"MYH10"	0.124060758259011	1
"SPCS2P4"	"SPCS2P4"	0.124060758259011	3
"PARD3B"	"PARD3B"	0.124060758259011	1
"NT5E"	"NT5E"	0.124638325306769	2
"IL1RAPL1"	"IL1RAPL1"	0.128427062029756	1
"CCDC47"	"CCDC47"	0.128427062029756	1
"NR2F2"	"NR2F2"	0.128427062029756	1
"ZNRF2P1"	"ZNRF2P1"	0.130507903067387	3
"HSPA8P1"	"HSPA8P1"	0.131368883839387	1
"AC078899.1"	"AC078899.1"	0.131497943822871	2
"LINC00861"	"LINC00861"	0.13278894422744	2
"PRRG1"	"PRRG1"	0.13278894422744	2
"RP5-894A10.6"	"RP5-894A10.6"	0.13278894422744	1
"DPP4"	"DPP4"	0.13549159342903	1
"ZNF488"	"ZNF488"	0.137146407091969	1
"SMIM12"	"SMIM12"	0.137146407091969	1
"STS"	"STS"	0.137146407091969	2
"ABALON"	"ABALON"	0.138521866112387	2
"IL20RA"	"IL20RA"	0.140558664265436	2
"HIST2H3D"	"HIST2H3D"	0.141499452863248	2
"CAB39"	"CAB39"	0.141499452863248	1
"RP11-326C3.16"	"RP11-326C3.16"	0.141499452863248	1
"TNFSF18"	"TNFSF18"	0.141582034811773	1
"ITPR1"	"ITPR1"	0.144671978572301	3
"NUFIP1P"	"NUFIP1P"	0.145226873298621	2
"AC026954.6"	"AC026954.6"	0.145848083781182	1
"SLC25A48"	"SLC25A48"	0.145848083781182	1
"ZNF350"	"ZNF350"	0.145848083781182	1
"C8orf33"	"C8orf33"	0.150192302085676	2
"TCN1"	"TCN1"	0.150192302085676	1
"TCAF1P1"	"TCAF1P1"	0.154364426972761	1
"PRUNE2"	"PRUNE2"	0.154532110016637	1
"PUSL1"	"PUSL1"	0.154532110016637	1
