"Name"	"Score"	"freq_dw"
"GAL"	"GAL"	6.15975829215109e-05	3
"AC093843.1"	"AC093843.1"	0.000177115412780541	2
"NPW"	"NPW"	0.000449745247879206	3
"RP11-544A12.4"	"RP11-544A12.4"	0.00116731840171613	1
"FOXP4-AS1"	"FOXP4-AS1"	0.0012721509714445	1
"SSTR5-AS1"	"SSTR5-AS1"	0.00162790788500434	1
"CD44"	"CD44"	0.00193682504755624	1
"PTRH1"	"PTRH1"	0.00233898854811855	1
"C11orf86"	"C11orf86"	0.00239497642090783	3
"RP11-272L14.2"	"RP11-272L14.2"	0.00247794323724089	1
"CISH"	"CISH"	0.00253655584046604	3
"AC114765.1"	"AC114765.1"	0.00258365409528629	2
"CASC8"	"CASC8"	0.00285747605164514	2
"RP11-230G5.2"	"RP11-230G5.2"	0.00364250395470227	2
"FABP6"	"FABP6"	0.00387525936207951	2
"TAF4B"	"TAF4B"	0.00410369676321269	1
"LINC00460"	"LINC00460"	0.00484145336525743	1
"TERT"	"TERT"	0.00537846641691089	3
"RP11-218E20.5"	"RP11-218E20.5"	0.00585457477539756	1
"HYMAI"	"HYMAI"	0.00643960652413182	1
"RCAN3"	"RCAN3"	0.00662114486745161	1
"TEX19"	"TEX19"	0.00662114486745161	1
"ELL3"	"ELL3"	0.00662114486745161	2
"MET"	"MET"	0.00662114486745161	3
"RSPO4"	"RSPO4"	0.00676184049403794	1
"RP11-69M1.6"	"RP11-69M1.6"	0.00812742714115842	1
"IL6R"	"IL6R"	0.00815360242896815	2
"CAPN13"	"CAPN13"	0.00827566184505012	1
"RP11-325K4.3"	"RP11-325K4.3"	0.00848792015672482	2
"CTD-2021J15.1"	"CTD-2021J15.1"	0.00864896203947645	1
"AC009502.4"	"AC009502.4"	0.00916350466627679	3
"SNORD11"	"SNORD11"	0.00929517594490975	2
"PPARGC1B"	"PPARGC1B"	0.00997199975888081	3
"MIR100HG"	"MIR100HG"	0.0112694313648473	1
"LINC00973"	"LINC00973"	0.0116447866503642	1
"SLC7A5P1"	"SLC7A5P1"	0.0116447866503642	1
"RP5-1158E12.3"	"RP5-1158E12.3"	0.011879511156269	3
"WDR3"	"WDR3"	0.0120733121329681	2
"RP11-57H14.3"	"RP11-57H14.3"	0.0125093308144426	3
"CNKSR3"	"CNKSR3"	0.0126717199347122	1
"AC067956.1"	"AC067956.1"	0.0129979409736243	2
"LLGL2"	"LLGL2"	0.0132340664139496	1
"AC005534.8"	"AC005534.8"	0.0132340664139496	3
"TSPEAR-AS2"	"TSPEAR-AS2"	0.0132340664139496	3
"ZP3"	"ZP3"	0.0132340664139496	2
"USP2-AS1"	"USP2-AS1"	0.0162656577898654	3
"JUNB"	"JUNB"	0.0167685239970405	3
"SAMD13"	"SAMD13"	0.016950863066315	1
"ZNF804A"	"ZNF804A"	0.0171468758043896	2
"PEG10"	"PEG10"	0.0189771624672971	3
"TRIB1"	"TRIB1"	0.0196140874176301	1
"AC004069.2"	"AC004069.2"	0.0198387714511073	1
"GRIN3A"	"GRIN3A"	0.0198387714511073	2
"SCG2"	"SCG2"	0.0198387714511073	1
"GRIK4"	"GRIK4"	0.0204939906595171	1
"HELLPAR"	"HELLPAR"	0.021055386878222	1
"GPR143"	"GPR143"	0.0213794799381103	1
"RP11-70L8.4"	"RP11-70L8.4"	0.0218362349021241	1
"RP5-1061H20.4"	"RP5-1061H20.4"	0.0225330686597228	1
"FTCDNL1"	"FTCDNL1"	0.022783068998732	1
"OR51B5"	"OR51B5"	0.0232440511312486	3
"NLRP4"	"NLRP4"	0.0237259590822364	4
"HS3ST1"	"HS3ST1"	0.0239693022205724	1
"RP11-745A24.1"	"RP11-745A24.1"	0.0251876447794157	1
"SATB1"	"SATB1"	0.0259739672852126	1
"RP11-248J18.2"	"RP11-248J18.2"	0.026435266787716	1
"TONSL-AS1"	"TONSL-AS1"	0.026435266787716	3
"RP11-380B4.3"	"RP11-380B4.3"	0.026435266787716	3
"TMEM97"	"TMEM97"	0.026435266787716	3
"LAMA4"	"LAMA4"	0.0267525514008656	1
"RP11-589F5.4"	"RP11-589F5.4"	0.0270153668296328	2
"COL24A1"	"COL24A1"	0.0280831802503723	2
"RP11-90B9.2"	"RP11-90B9.2"	0.0283545182892702	3
"AC006159.5"	"AC006159.5"	0.0285587963466629	3
"NR2F1"	"NR2F1"	0.0286270779339635	3
"PITPNC1"	"PITPNC1"	0.0302991433204243	1
"BEST1"	"BEST1"	0.0303399701859626	3
"DUSP2"	"DUSP2"	0.0303399701859626	3
