"Name" "Score" "freq_dw"
"DDIAS" "DDIAS" 0.000109081417974486 1
"SMIM5" "SMIM5" 0.000251212746623496 NA
"ZNF692" "ZNF692" 0.000275484820884626 NA
"RP11-66N24.3" "RP11-66N24.3" 0.000288924351256241 NA
"RP11-148K1.12" "RP11-148K1.12" 0.000394273659500017 NA
"ANKRD18DP" "ANKRD18DP" 0.000454964346700608 1
"RP13-516M14.10" "RP13-516M14.10" 0.000557542249759932 NA
"AC007325.4" "AC007325.4" 0.000592511807792044 4
"ZNF33B" "ZNF33B" 0.000898225219687371 NA
"RP11-420A23.1" "RP11-420A23.1" 0.000968394916600286 NA
"NPR2" "NPR2" 0.000976794845588072 NA
"LPIN3" "LPIN3" 0.00100643364935721 NA
"LINC00115" "LINC00115" 0.001070925555688 NA
"PI4KAP2" "PI4KAP2" 0.00136303472247981 NA
"FCHO2" "FCHO2" 0.00142082993942302 5
"REV3L" "REV3L" 0.00176930486828653 NA
"LENG8" "LENG8" 0.00192926468978447 NA
"SRPK3" "SRPK3" 0.00206988180247769 NA
"CAMK4" "CAMK4" 0.0022707020387935 1
"CFAP43" "CFAP43" 0.00228383018025393 1
"PCLO" "PCLO" 0.00257076498156155 NA
"AC012314.8" "AC012314.8" 0.00259349982412354 2
"EML6" "EML6" 0.00276001074431135 1
"ZNF684" "ZNF684" 0.0027804863358691 NA
"PNLDC1" "PNLDC1" 0.00371757235783232 NA
"FERMT3" "FERMT3" 0.00373235351346761 1
"RP11-685G9.2" "RP11-685G9.2" 0.00386953415296231 NA
"LAMA4" "LAMA4" 0.00390206412414289 NA
"AP1G2" "AP1G2" 0.00391482740709554 2
"RP11-510N19.5" "RP11-510N19.5" 0.0041016430369014 NA
"RICTOR" "RICTOR" 0.00430691784842811 NA
"CATSPER3" "CATSPER3" 0.00435447592744983 1
"RP5-894A10.2" "RP5-894A10.2" 0.00435447592744983 NA
"RBBP6" "RBBP6" 0.00478753572798443 NA
"LINC00894" "LINC00894" 0.00482636966500771 NA
"CDK5RAP3" "CDK5RAP3" 0.00486839875186479 1
"DNASE1L2" "DNASE1L2" 0.0048904209756057 1
"LACC1" "LACC1" 0.00517570117329146 NA
"AC074212.6" "AC074212.6" 0.00523812169270627 2
"RBM44" "RBM44" 0.00546632793555428 NA
"ENGASE" "ENGASE" 0.00547110334607003 1
"GIPR" "GIPR" 0.00563661852407498 1
"DDX12P" "DDX12P" 0.00594765282204413 1
"RP11-818O24.3" "RP11-818O24.3" 0.00621057050597018 NA
"ZNF138" "ZNF138" 0.0063261652560345 NA
"AHSA2" "AHSA2" 0.00638407256537003 1
"AGL" "AGL" 0.00650488697066958 3
"TCIRG1" "TCIRG1" 0.00655375609458482 NA
"NAP1L4P1" "NAP1L4P1" 0.00676321912774397 NA
"ANKRD19P" "ANKRD19P" 0.0072780972298648 2
"RP11-495P10.10" "RP11-495P10.10" 0.0072780972298648 NA
"MICE" "MICE" 0.00743369686791827 NA
"OSBPL7" "OSBPL7" 0.00788900293582679 NA
"ZNF443" "ZNF443" 0.00793388317284695 NA
"NHEJ1" "NHEJ1" 0.00793388317284695 NA
"ABHD12B" "ABHD12B" 0.00793388317284695 1
"CTD-2537I9.16" "CTD-2537I9.16" 0.00793388317284695 4
"CD46P1" "CD46P1" 0.00793388317284695 2
"PLCH1" "PLCH1" 0.00793388317284695 NA
"RP4-761J14.8" "RP4-761J14.8" 0.00795135942920886 NA
"RP11-296E7.1" "RP11-296E7.1" 0.00802057005872381 NA
"ATG9B" "ATG9B" 0.00871894546986609 4
"GOLGA8B" "GOLGA8B" 0.00884781609139747 1
"PAM16" "PAM16" 0.00910235164126352 NA
"AC027601.1" "AC027601.1" 0.0093085719164821 3
