"Name" "Score" "freq_up"
"AL353644.1" "AL353644.1" 1.54387929347312e-16 6
"DKK4" "DKK4" 2.26752114375532e-12 5
"MMP1" "MMP1" 7.82268507985754e-10 4
"RN7SK" "RN7SK" 1.3241253829341e-08 6
"IL10" "IL10" 3.93764050771288e-08 4
"MLC1" "MLC1" 3.93764050771288e-08 4
"SLC14A1" "SLC14A1" 6.30153981038944e-08 4
"GJA1" "GJA1" 1.96446460585096e-07 5
"BTN1A1" "BTN1A1" 4.46919520474165e-07 5
"ASB2" "ASB2" 6.25396363361268e-07 4
"NRP1" "NRP1" 9.75942151787722e-07 6
"KCNJ5" "KCNJ5" 1.54147437599223e-06 5
"PCDHB9" "PCDHB9" 2.49437316223696e-06 5
"GALNT10" "GALNT10" 3.97202012797309e-06 6
"TMEM200A" "TMEM200A" 5.0200841537963e-06 5
"SLC4A8" "SLC4A8" 1.40702034182758e-05 4
"FN1" "FN1" 2.22557129863771e-05 4
"ANKRD22" "ANKRD22" 2.60444381205707e-05 6
"DRAXIN" "DRAXIN" 2.63472483064947e-05 5
"RP11-61K9.3" "RP11-61K9.3" 5.29575814756675e-05 6
"FRAT1" "FRAT1" 5.42217858803888e-05 6
"MT-TE" "MT-TE" 6.69466512845208e-05 6
"GRHL3" "GRHL3" 6.74752152463163e-05 4
"PCDHB10" "PCDHB10" 7.72643820459554e-05 5
"FGF9" "FGF9" 8.4209102026837e-05 4
"CORO2B" "CORO2B" 0.000100072719157733 5
"SEMA5B" "SEMA5B" 0.000103847484029673 4
"AC097713.3" "AC097713.3" 0.000128457164666801 5
"TMPRSS2" "TMPRSS2" 0.00017575331565926 4
"RP11-638I2.4" "RP11-638I2.4" 0.000178044968574759 5
"PAQR8" "PAQR8" 0.000189714887559293 5
"RP11-710M11.1" "RP11-710M11.1" 0.000194368906321874 4
"CCR1" "CCR1" 0.000205862480372064 4
"VIM" "VIM" 0.000333317545681733 5
"AC114498.1" "AC114498.1" 0.00037287374893741 5
"SH3BGRL2" "SH3BGRL2" 0.000445780566671327 4
"AC006262.11" "AC006262.11" 0.000584105764804751 4
"TNFRSF1B" "TNFRSF1B" 0.000636566450278723 4
"EFR3B" "EFR3B" 0.000664063236932165 4
"BMF" "BMF" 0.000721675417726437 4
"FP236383.3" "FP236383.3" 0.000814901549330598 4
"C17orf97" "C17orf97" 0.000867452618116036 6
"PCDHB7" "PCDHB7" 0.000881797353378604 4
"AL353644.3" "AL353644.3" 0.000916722679721234 4
"RP11-549B18.1" "RP11-549B18.1" 0.0010932824450523 5
"TRPV2" "TRPV2" 0.00111741917335092 5
"PCDHB3" "PCDHB3" 0.00123401693854282 4
"RTN1" "RTN1" 0.00123401693854282 4
"FP236383.10" "FP236383.10" 0.00141989303945827 5
"TESC" "TESC" 0.00168025022851704 4
"MT-TC" "MT-TC" 0.00169534578868896 5
"CPLX2" "CPLX2" 0.0017362570246612 4
"CTC-548K16.1" "CTC-548K16.1" 0.00183010086479934 6
"AL353644.10" "AL353644.10" 0.00197408398529125 5
"TCF21" "TCF21" 0.00248863400282739 3
"NKD1" "NKD1" 0.00259565699922083 4
"MYBPH" "MYBPH" 0.00279861311080673 4
