"Name"	"Score"	"freq_dw"
"NPW"	"NPW"	4.41792790000278e-05	1
"RP11-272L14.2"	"RP11-272L14.2"	6.844687253362e-05	1
"SNORD11"	"SNORD11"	8.80826548787867e-05	1
"BEST1"	"BEST1"	0.000203007402078382	1
"RP11-544A12.4"	"RP11-544A12.4"	0.000250490876711414	1
"NFIA"	"NFIA"	0.000266471370846893	5
"GAL"	"GAL"	0.000291939995893916	2
"CD44"	"CD44"	0.000469138791172529	2
"RP11-93M12.1"	"RP11-93M12.1"	0.000560781287251659	1
"PRKG1-AS1"	"PRKG1-AS1"	0.000597858006775013	2
"FABP6"	"FABP6"	0.000764327178120515	4
"LINC00973"	"LINC00973"	0.000826417219045952	3
"WDR3"	"WDR3"	0.000872439494876074	1
"BLK"	"BLK"	0.000918121261945912	1
"WNT16"	"WNT16"	0.000966491882148535	2
"EML1"	"EML1"	0.00101215864667622	1
"LINC00460"	"LINC00460"	0.00102518599381824	3
"SOX6"	"SOX6"	0.001049530174531	1
"CNKSR3"	"CNKSR3"	0.00112783589831674	3
"TERT"	"TERT"	0.00117767240310537	2
"SLCO5A1"	"SLCO5A1"	0.00153896653522455	1
"DDN"	"DDN"	0.00191754886641864	2
"BHMG1"	"BHMG1"	0.00195243691736011	1
"PDE3B"	"PDE3B"	0.00200094976074772	3
"DPP4"	"DPP4"	0.00202555693328918	2
"AC093843.1"	"AC093843.1"	0.00203686245928	2
"APOD"	"APOD"	0.00226139650123409	4
"PPARGC1B"	"PPARGC1B"	0.00265418513148914	1
"TAF4B"	"TAF4B"	0.00280242737597614	5
"LPAR6"	"LPAR6"	0.0028360777254239	3
"NUFIP1P"	"NUFIP1P"	0.00307176130890336	1
"MIR100HG"	"MIR100HG"	0.00311690801604547	3
"CTD-3076O17.2"	"CTD-3076O17.2"	0.0032927826661368	2
"VGF"	"VGF"	0.00359187518967333	1
"MYRIP"	"MYRIP"	0.00370933144265546	1
"NT5E"	"NT5E"	0.00391171746530195	1
"RP11-45M22.2"	"RP11-45M22.2"	0.00414556235747875	3
"TNFSF18"	"TNFSF18"	0.00447829649650712	3
"SSTR5-AS1"	"SSTR5-AS1"	0.00458909711761489	1
"HYMAI"	"HYMAI"	0.00485830293216448	3
"LLGL2"	"LLGL2"	0.00505471665284048	2
"FOS"	"FOS"	0.00540583059792316	4
"UNC13A"	"UNC13A"	0.00569021081728716	2
"FOXP4-AS1"	"FOXP4-AS1"	0.00581558486593694	3
"DKK1"	"DKK1"	0.00596565266125497	1
"CA12"	"CA12"	0.00650620362670562	1
"GAPDHP55"	"GAPDHP55"	0.0065677791017933	1
"PTRH1"	"PTRH1"	0.00658344768901156	2
"CISH"	"CISH"	0.00713677064878508	1
"CTD-3149D2.2"	"CTD-3149D2.2"	0.00727537402502434	1
"SNORD17"	"SNORD17"	0.00747822936838422	1
"ZNRF2P1"	"ZNRF2P1"	0.00752135626157213	3
"IL6R"	"IL6R"	0.00762508293453322	4
"LAMA4"	"LAMA4"	0.00782602602161944	1
"RP11-362K14.5"	"RP11-362K14.5"	0.00794246254650189	5
"HS3ST1"	"HS3ST1"	0.00838032901230858	1
"RP11-376N17.4"	"RP11-376N17.4"	0.00886674832117227	1
"CASC8"	"CASC8"	0.0090694125965932	1
"PRKG1"	"PRKG1"	0.00934417865431316	5
"ENO1-IT1"	"ENO1-IT1"	0.00942264513262182	2
"CD33"	"CD33"	0.0096733349407306	3
"RP11-745A24.1"	"RP11-745A24.1"	0.00967409096040808	4
"RP11-230G5.2"	"RP11-230G5.2"	0.0102286366270632	2
"LINC00861"	"LINC00861"	0.0102708384086207	1
"RP11-93B14.10"	"RP11-93B14.10"	0.0107011861864886	1
"C11orf86"	"C11orf86"	0.0108015323807946	2
"LINC01468"	"LINC01468"	0.0114064383429341	1
"MS4A15"	"MS4A15"	0.0122384750441339	1
"CTD-2091N23.1"	"CTD-2091N23.1"	0.0131407018958997	3
"RCAN3"	"RCAN3"	0.01380670172539	1
"TEX19"	"TEX19"	0.01380670172539	1
"ELL3"	"ELL3"	0.01380670172539	1
"HSPA4L"	"HSPA4L"	0.01380670172539	3
"MET"	"MET"	0.01380670172539	2
"AQP3"	"AQP3"	0.01380670172539	2
"LDHAP4"	"LDHAP4"	0.01380670172539	2
"CTC-444N24.7"	"CTC-444N24.7"	0.0147951077734032	1
"RAP1AP"	"RAP1AP"	0.0154565309467232	1
"GFY"	"GFY"	0.0159553491170286	3
"CCAT1"	"CCAT1"	0.0171529732080292	2
"GPR143"	"GPR143"	0.017991322369735	2
"RSPO4"	"RSPO4"	0.0189076420503254	1
"TMEM75"	"TMEM75"	0.0190428001796249	1
"CASC19"	"CASC19"	0.0197550203682176	1
"CCDC102B"	"CCDC102B"	0.0199737066363002	1
"S100P"	"S100P"	0.0202245042927756	3
"RP11-417L19.6"	"RP11-417L19.6"	0.0207580657607098	2
"GRHL2"	"GRHL2"	0.0207580657607098	1
"RP11-69M1.6"	"RP11-69M1.6"	0.0226910798209664	4
"CAB39"	"CAB39"	0.0236884052937761	3
"RP11-325K4.3"	"RP11-325K4.3"	0.0236884052937761	1
"DSC3"	"DSC3"	0.0252075193372919	2
"RP11-218E20.5"	"RP11-218E20.5"	0.0257443881755999	2
"AC114765.1"	"AC114765.1"	0.0259515112995446	1
"RP4-530I15.9"	"RP4-530I15.9"	0.0264560680308912	1
"SATB1"	"SATB1"	0.0264560680308912	3
"RP11-611O2.1"	"RP11-611O2.1"	0.0267561287071248	1
"MYC"	"MYC"	0.0269675359179543	3
"AC005534.8"	"AC005534.8"	0.0275900550324039	1
"TSPEAR-AS2"	"TSPEAR-AS2"	0.0275900550324039	3
"ZP3"	"ZP3"	0.0275900550324039	3
"SNORA71C"	"SNORA71C"	0.0275900550324039	1
"ADAM21"	"ADAM21"	0.0275900550324039	2
"SOD1P3"	"SOD1P3"	0.0288128600416682	1
"RP11-329A14.1"	"RP11-329A14.1"	0.0289807806653776	3
"SYTL5"	"SYTL5"	0.0299065023877521	1
"TFRC"	"TFRC"	0.0301342495451379	1
"CPA4"	"CPA4"	0.0310291605064475	1
"AC006159.5"	"AC006159.5"	0.0312027349765629	1
"SGPP2"	"SGPP2"	0.0316015023510943	1
"RGS2"	"RGS2"	0.0320084844896752	4
"HSPA8P1"	"HSPA8P1"	0.0320301430644623	1
"SLC7A5P1"	"SLC7A5P1"	0.0323986219768111	5
"SMG1P3"	"SMG1P3"	0.0323986219768111	4
"IPPK"	"IPPK"	0.0335779429562097	1
"STEAP3-AS1"	"STEAP3-AS1"	0.0344516597461639	1
"RP11-57H14.3"	"RP11-57H14.3"	0.0347771840504228	1
"CAPN13"	"CAPN13"	0.0359718122657947	2
"ARL2BP"	"ARL2BP"	0.0359962853229062	1
"ARMC4"	"ARMC4"	0.036190569269451	1
"RP11-506K6.4"	"RP11-506K6.4"	0.0375331291193476	1
"CTD-2021J15.1"	"CTD-2021J15.1"	0.0375331291193476	1
"PITPNC1"	"PITPNC1"	0.0377412885656944	1
"RP11-818F20.5"	"RP11-818F20.5"	0.0392650019338051	3
"AC009502.4"	"AC009502.4"	0.0396795818563292	1
"AC004069.2"	"AC004069.2"	0.0413500928339449	1
"GRIN3A"	"GRIN3A"	0.0413500928339449	4
"SCG2"	"SCG2"	0.0413500928339449	1
"SDC1"	"SDC1"	0.0413500928339449	1
