"Name"	"Score"	"freq_up"
"WFDC9"	"WFDC9"	1.00530585664711e-11	6
"APOBEC1"	"APOBEC1"	1.81032162749764e-11	5
"KB-1615E4.2"	"KB-1615E4.2"	1.53081985822318e-10	6
"AC097713.3"	"AC097713.3"	1.89327725595904e-10	5
"ALB"	"ALB"	2.65682769640236e-10	6
"KB-173C10.2"	"KB-173C10.2"	5.7676980433257e-10	5
"SLC14A1"	"SLC14A1"	6.79325139972022e-10	6
"LINC01060"	"LINC01060"	8.33978433950136e-10	6
"RP11-725P16.2"	"RP11-725P16.2"	1.07594818984293e-09	6
"IGFL3"	"IGFL3"	1.30637294410378e-09	5
"KRT74"	"KRT74"	1.37372532726627e-09	6
"RP11-1136G4.2"	"RP11-1136G4.2"	1.54656738728419e-09	6
"LINC00303"	"LINC00303"	2.70654286627153e-09	6
"TBC1D3"	"TBC1D3"	3.32841172282185e-09	4
"KB-1615E4.3"	"KB-1615E4.3"	5.74031392803096e-09	6
"RP11-485G7.5"	"RP11-485G7.5"	2.11833903137133e-08	6
"CXCL13"	"CXCL13"	2.5232898117356e-08	6
"RP11-645C24.4"	"RP11-645C24.4"	3.52351018423502e-08	3
"RP4-683M8.2"	"RP4-683M8.2"	3.52351018423502e-08	4
"KRT6C"	"KRT6C"	3.67006987537395e-08	5
"RP11-48G14.3"	"RP11-48G14.3"	4.28598245832368e-08	7
"RP11-445P17.8"	"RP11-445P17.8"	6.33665614233888e-08	5
"CTA-363E6.1"	"CTA-363E6.1"	6.75696471000423e-08	6
"CASP1"	"CASP1"	7.50133069538545e-08	4
"RP11-10J18.3"	"RP11-10J18.3"	1.23143704632741e-07	5
"RP4-799D16.1"	"RP4-799D16.1"	2.38367901322655e-07	6
"CTD-2547L24.4"	"CTD-2547L24.4"	2.44428585807032e-07	6
"RP11-1017G21.6"	"RP11-1017G21.6"	2.68185712977943e-07	7
"RP11-330M19.1"	"RP11-330M19.1"	6.66411962333861e-07	3
"TRABD2B"	"TRABD2B"	6.66411962333861e-07	4
"CTA-384D8.35"	"CTA-384D8.35"	9.18970942136306e-07	5
"AC118754.4"	"AC118754.4"	9.18970942136306e-07	4
"PSMC1P7"	"PSMC1P7"	1.07138734593211e-06	6
"RP11-180I4.2"	"RP11-180I4.2"	1.18813837479284e-06	4
"RP1-67K17.4"	"RP1-67K17.4"	1.52161255452902e-06	5
"SLC39A12"	"SLC39A12"	1.63373739707988e-06	6
"ADRB3"	"ADRB3"	1.72968582298967e-06	4
"SMOC1"	"SMOC1"	2.1937513867206e-06	4
"RPL12P41"	"RPL12P41"	2.24442437399733e-06	4
"IGFL2"	"IGFL2"	2.32190800484215e-06	5
"TMPRSS2"	"TMPRSS2"	2.35370088180107e-06	6
"RP11-335O4.3"	"RP11-335O4.3"	2.39513450244224e-06	5
"AC009238.7"	"AC009238.7"	2.52220478346312e-06	5
"KRT75"	"KRT75"	2.69955958110825e-06	6
"AC006262.4"	"AC006262.4"	2.88606659559545e-06	4
"RP11-4K3__A.3"	"RP11-4K3__A.3"	3.22030749325567e-06	6
"SAMD9L"	"SAMD9L"	3.23355040848178e-06	5
"CCR3"	"CCR3"	3.83902101169695e-06	6
"RP11-738B7.1"	"RP11-738B7.1"	3.95785282918479e-06	7
"AC069294.1"	"AC069294.1"	4.17381419797237e-06	5
"GJA5"	"GJA5"	5.30895713531422e-06	3
"AMBP"	"AMBP"	5.60541114511039e-06	6
"NCF1"	"NCF1"	7.7737129602029e-06	5
"AC093159.1"	"AC093159.1"	9.84148450993585e-06	6
"AC005152.3"	"AC005152.3"	1.03223053911338e-05	5
"C4BPB"	"C4BPB"	1.03472968334827e-05	4
"RP11-380O24.1"	"RP11-380O24.1"	1.12522335887898e-05	7
"C8orf31"	"C8orf31"	1.19719986118227e-05	3
"HYAL4"	"HYAL4"	1.26128796656516e-05	4
"RP11-167N5.5"	"RP11-167N5.5"	1.27161915939795e-05	7
"CTSLP2"	"CTSLP2"	1.34941970807733e-05	5
"RP11-380L11.4"	"RP11-380L11.4"	1.34941970807733e-05	7
"AC006262.11"	"AC006262.11"	1.37577890115171e-05	4
"UNC93A"	"UNC93A"	1.37577890115171e-05	3
"CTD-2015A6.2"	"CTD-2015A6.2"	1.37577890115171e-05	5
"APOL6"	"APOL6"	1.50718275062351e-05	4
"RP11-1055B8.10"	"RP11-1055B8.10"	1.50718275062351e-05	4
"AC019117.2"	"AC019117.2"	1.53466298614011e-05	5
"APOL3"	"APOL3"	1.64272001655612e-05	4
"KRT43P"	"KRT43P"	1.66281767027737e-05	6
"SLC35F1"	"SLC35F1"	1.6689828057244e-05	5
"RBM22P2"	"RBM22P2"	1.85504815880227e-05	7
"GABRR1"	"GABRR1"	2.26614514203312e-05	3
"RP5-1024N4.2"	"RP5-1024N4.2"	2.26614514203312e-05	3
"MME"	"MME"	2.27741371848118e-05	4
"RP11-426C22.8"	"RP11-426C22.8"	2.40124454092543e-05	6
"SKINTL"	"SKINTL"	2.58419589471198e-05	5
"KRT71"	"KRT71"	2.63367427598801e-05	5
"IL36G"	"IL36G"	2.75712876336342e-05	5
"CLDN11"	"CLDN11"	2.8140977996005e-05	6
"LINC01460"	"LINC01460"	2.83915828053378e-05	5
"RP11-347C18.3"	"RP11-347C18.3"	3.0014565538792e-05	5
"AC006262.10"	"AC006262.10"	3.13961740054678e-05	4
"KRT6B"	"KRT6B"	3.17102879674645e-05	5
"ZNF300"	"ZNF300"	3.53294987602875e-05	5
"RP5-875H18.9"	"RP5-875H18.9"	3.66060434429192e-05	6
"RP11-707O23.1"	"RP11-707O23.1"	3.69738006468019e-05	6
"RP11-206P5.2"	"RP11-206P5.2"	3.79188917858373e-05	6
"CA6"	"CA6"	4.21160379758677e-05	3
"RP11-255E6.6"	"RP11-255E6.6"	4.2125429246236e-05	4
"RP11-370I10.11"	"RP11-370I10.11"	4.2125429246236e-05	4
"AC132008.1"	"AC132008.1"	4.374699943547e-05	6
"TRPM5"	"TRPM5"	4.81899683120969e-05	6
"RP11-435O5.7"	"RP11-435O5.7"	4.89748311993857e-05	6
"CTD-3220F14.3"	"CTD-3220F14.3"	4.90002281678699e-05	6
"RP11-675F6.3"	"RP11-675F6.3"	5.04635073246879e-05	3
"PDLIM4"	"PDLIM4"	5.23499058260275e-05	6
"AC007950.2"	"AC007950.2"	5.32150130875425e-05	5
"ANKRD1"	"ANKRD1"	5.98399461243861e-05	3
"KIF25"	"KIF25"	5.98879730773915e-05	4
"TMEM200A"	"TMEM200A"	6.45081503805123e-05	5
"ADAM23"	"ADAM23"	6.85074425537849e-05	7
"AC005754.8"	"AC005754.8"	6.9739070005799e-05	5
"LINC01487"	"LINC01487"	7.03035728477856e-05	3
"RARRES3"	"RARRES3"	7.16480425044529e-05	4
"PRSS33"	"PRSS33"	7.7620704414754e-05	5
"KMO"	"KMO"	8.1912352692268e-05	3
"BRINP3"	"BRINP3"	8.1912352692268e-05	4
"RP11-677M14.2"	"RP11-677M14.2"	8.36698644264981e-05	5
"CCR1"	"CCR1"	0.000104085440378646	6
"CTD-2007H13.3"	"CTD-2007H13.3"	0.00010568598927106	4
"BMPER"	"BMPER"	0.000112501328720366	7
"GPR1"	"GPR1"	0.000124185475126606	3
"CMAHP"	"CMAHP"	0.00012825484418707	5
"RP11-315O6.1"	"RP11-315O6.1"	0.00013041123293592	6
"ARHGEF38"	"ARHGEF38"	0.000133115537495274	5
"PAEP"	"PAEP"	0.000133115537495274	6
"AC097713.4"	"AC097713.4"	0.000146864471532438	4
"AC064875.2"	"AC064875.2"	0.000150460020768699	5
"SLC26A9"	"SLC26A9"	0.000159652994450114	6
"GPR55"	"GPR55"	0.000165015817265331	5
"MAP2K6"	"MAP2K6"	0.000175951169938693	5
"TNFSF10"	"TNFSF10"	0.000189244393090376	3
"RP11-77P16.4"	"RP11-77P16.4"	0.0002020122485989	7
"RP11-789C1.2"	"RP11-789C1.2"	0.000203376753148371	4
"SERPINF1"	"SERPINF1"	0.00022032986286206	6
"C6orf15"	"C6orf15"	0.000234911394005058	4
"GLUD1P7"	"GLUD1P7"	0.000245605935499664	7
"NPPC"	"NPPC"	0.000257184905390388	5
"RPS23P6"	"RPS23P6"	0.000273555903132113	4
"RP11-499E14.1"	"RP11-499E14.1"	0.000286069383521352	4
"AC007193.6"	"AC007193.6"	0.000287311320625502	5
"IGFL1"	"IGFL1"	0.000297920182284553	4
"LINC00868"	"LINC00868"	0.000297920182284553	5
"NUTF2P6"	"NUTF2P6"	0.000301515172667548	5
"PHOSPHO1"	"PHOSPHO1"	0.000301515172667548	3
"KRT5"	"KRT5"	0.000310129967208798	4
"RP11-277P12.9"	"RP11-277P12.9"	0.000335654151155375	4
"ATP6V0A4"	"ATP6V0A4"	0.000342270411241187	5
"U91328.22"	"U91328.22"	0.000348608452887186	6
"SLCO6A1"	"SLCO6A1"	0.000353677930378699	6
"TMEM211"	"TMEM211"	0.000362951960862845	5
"FGF9"	"FGF9"	0.000363999403645858	6
"NCF4"	"NCF4"	0.000373540421049988	5
"IGFL4"	"IGFL4"	0.000379500627028896	5
"IFNWP2"	"IFNWP2"	0.000384011754032582	5
"RBMS3"	"RBMS3"	0.000385884633315589	5
"RP1-153G14.4"	"RP1-153G14.4"	0.000452730569446284	7
"AC019117.1"	"AC019117.1"	0.000461774693444723	4
"GBP1"	"GBP1"	0.000466863477305942	6
"ABCA1"	"ABCA1"	0.000495919088217808	4
"CCL28"	"CCL28"	0.000504738230457008	4
"C11orf96"	"C11orf96"	0.000525942111891312	6
"ITGB2-AS1"	"ITGB2-AS1"	0.000530074616726917	3
"AC004947.2"	"AC004947.2"	0.000566276769628644	5
"KRT86"	"KRT86"	0.00059531736637371	3
"RP13-20L14.4"	"RP13-20L14.4"	0.000608643581259616	6
"RNU6-118P"	"RNU6-118P"	0.000616664371843836	6
"SAA1"	"SAA1"	0.00061818217480772	4
"RP11-424M24.3"	"RP11-424M24.3"	0.000641616614827897	4
"RP11-713M15.2"	"RP11-713M15.2"	0.00065593840528684	6
"AP000240.9"	"AP000240.9"	0.000662351198126798	6
"PDZD3"	"PDZD3"	0.0006816358408782	6
"DAPP1"	"DAPP1"	0.000684102817898658	4
"FN1"	"FN1"	0.000690220729357184	5
"RP11-295P9.12"	"RP11-295P9.12"	0.000695275119501425	6
"DOCK9-AS2"	"DOCK9-AS2"	0.000714863411722153	5
"KRT6A"	"KRT6A"	0.000749351007029278	5
"AC104809.4"	"AC104809.4"	0.000794553429996269	4
