"","x"
"1","MAT2A"
"2","ING4"
"3","ABO"
"4","AC009237.8"
"5","FOSL1"
"6","AC156455.1"
"7","GTF2IRD2B"
"8","GRB10"
"9","GSDMD"
"10","RP11-284F21.10"
"11","MID1"
"12","TP53INP2"
"13","HYAL1"
"14","NEO1"
"15","KRT43P"
"16","XRCC2"
"17","RNF125"
"18","LRP2BP"
"19","RP11-1299A16.3"
"20","LINC00640"
"21","CTB-55O6.8"
"22","STMN3"
"23","TERT"
"24","RP11-147L13.11"
"25","SLC22A23"
"26","RP11-1055B8.4"
"27","SNHG4"
"28","JMJD6"
"29","BCCIP"
"30","LINC01411"
"31","LINC00941"
"32","C20orf195"
"33","LINC00973"
"34","PHC2"
"35","BCL2L11"
"36","HOXA-AS2"
"37","ZNF92"
"38","RP11-212P7.2"
"39","HRAT92"
"40","SERPINE2"
"41","AC009502.4"
"42","TRHDE-AS1"
"43","ZC4H2"
"44","PRSS30P"
"45","CKS2"
"46","HTR7P1"
"47","MLH3"
"48","ZBTB22"
"49","MMACHC"
"50","KIAA1549"
"51","RAD51-AS1"
"52","ZFP36L1"
"53","LIF"
"54","RP11-479G22.8"
"55","PNRC1"
"56","SLC1A5"
"57","ZNF708"
"58","RP11-147L13.15"
"59","PAOX"
"60","C11orf68"
"61","ADM2"
"62","PLEK2"
"63","MAMDC4"
"64","B3GNT9"
"65","GALNT9"
"66","EDRF1"
"67","IGFBP3"
"68","ZMYND11"
"69","BAIAP2-AS1"
"70","NR2F2"
"71","CYB5R2"
"72","RP4-614O4.13"
"73","SH3PXD2A-AS1"
"74","CTPS2"
"75","KB-1615E4.2"
"76","GBAS"
"77","DLGAP1"
"78","RP11-1020A11.2"
"79","MYPOP"
"80","ZNF646"
"81","LETM2"
"82","GRTP1"
"83","LINC-PINT"
"84","PRKD3"
"85","CRLF3"
"86","TUBGCP5"
"87","ZBTB5"
"88","RP4-794I6.4"
"89","IER3"
"90","ZNF623"
"91","PDE7B"
"92","TAF2"
"93","OXSM"
"94","RP11-1148L6.5"
"95","HLTF"
"96","SNHG8"
"97","KIAA1462"
"98","KDM5B"
"99","TPCN1"
"100","MUS81"
"101","KIAA0907"
"102","NR5A1"
"103","KB-1615E4.3"
"104","SRSF1"
"105","CCDC30"
"106","ICAM5"
"107","ERCC1"
"108","TBX1"
"109","NCOA2"
"110","AC009299.3"
"111","ZNF207"
