"","x"
"1","MICAL1"
"2","PLXNB1"
"3","DMPK"
"4","KIAA0556"
"5","TP53INP1"
"6","MEIS2"
"7","FGF9"
"8","ZNF280D"
"9","ADAMTS7"
"10","GAL3ST4"
"11","PHLDB1"
"12","NINL"
"13","ABTB2"
"14","GNG2"
"15","PLCG1"
"16","PALM3"
"17","TPBG"
"18","COL9A2"
"19","ZNF117"
"20","PYROXD2"
"21","CYTH2"
"22","ABCA1"
"23","SLC6A16"
"24","SHC2"
"25","TEAD2"
"26","EFR3B"
"27","GPC2"
"28","SCARB1"
"29","TRIB2"
"30","LMBR1L"
"31","VCAN"
"32","SLC25A29"
"33","SLC9A8"
"34","SEMA6C"
"35","EIF3M"
"36","PLAT"
"37","RGS12"
"38","PROCR"
"39","ITGA7"
"40","FBL"
"41","CSRNP2"
"42","SOX4"
"43","C17orf62"
"44","RAB15"
"45","GUCY1B2"
"46","ABCC3"
"47","VAPA"
"48","IRF3"
"49","ESD"
"50","NPM1P27"
"51","CAPS2"
"52","CAPS"
"53","COL1A1"
"54","ACRBP"
"55","STAG3"
"56","PLEKHB1"
"57","HIP1R"
"58","NARF"
"59","NPW"
"60","HEXDC"
"61","SKIL"
"62","KIAA0895L"
"63","EXD3"
"64","C20orf96"
"65","ARNT2"
"66","SLC35E2B"
"67","USP33"
"68","ADAMTS10"
"69","C11orf95"
"70","TAF1B"
"71","MLLT6"
"72","GLO1"
"73","TKT"
"74","IP6K2"
"75","TMC4"
"76","ENPEP"
"77","CDK5RAP3"
"78","ASAP3"
"79","MFAP2"
"80","FCHSD1"
"81","TMEM94"
"82","NOXA1"
"83","PACS2"
"84","RPS7P1"
"85","EIF3K"
"86","AXIN2"
"87","GRPEL2"
"88","SLC38A5"
"89","PLEKHG4B"
"90","TRIM38"
"91","KIAA0226L"
"92","LRP8"
"93","ECHDC2"
"94","SBDS"
"95","LIMD2"
"96","SBK1"
"97","OLFM2"
"98","RPL12"
"99","TNFAIP2"
"100","MARCKSL1"
"101","PCSK4"
"102","ZNF266"
"103","ADCY6"
"104","RPL4"
"105","RGL3"
"106","EIF2A"
"107","TIA1"
"108","KCNMB4"
"109","P3H1"
"110","TNRC6C-AS1"
"111","ZNF362"
"112","PRSS3"
"113","NCKAP5L"
"114","DFNA5"
"115","YPEL1"
"116","RPL27"
"117","OLA1"
"118","LINC00926"
"119","SCML1"
"120","PLCB4"
"121","TMEM91"
"122","RFX3"
"123","EIF3H"
"124","IGSF9"
"125","SEMA4C"
"126","UTP23"
"127","MEX3A"
"128","CAT"
"129","COL4A3"
"130","IFT80"
"131","ZSWIM8"
"132","RPL5"
"133","RPL35A"
"134","UQCRH"
"135","KRCC1"
"136","STK36"
"137","RPS24"
"138","RPL32"
"139","BTC"
"140","SLC44A5"
"141","EEF1B2"
"142","ERAP2"
"143","RGL2"
"144","RHPN1"
"145","GSE1"
"146","C20orf194"
"147","SHANK1"
"148","VWA5B2"
"149","CCDC40"
"150","EVL"
"151","BCAM"
"152","KIAA0232"
"153","PPA1"
"154","ZNF211"
"155","TMEM59L"
"156","RPS14"
"157","RPL22"
"158","RPL29"
"159","CLIP3"
"160","CTD-2228K2.7"
"161","PKD2"
"162","SOX9-AS1"
"163","EPB41L4A-AS1"
"164","MEGF8"
"165","TNRC18"
"166","KLHL24"
"167","TBL3"
"168","SOWAHC"
"169","GTPBP2"
"170","CCNB1IP1"
"171","RPL24"
"172","SLC22A17"
"173","RPL6"
"174","FGFR1"
"175","GNB2L1"
"176","MCCC2"
"177","ZNF114"
"178","ADORA2B"
"179","RPS18"
"180","RPL3"
"181","GRIPAP1"
"182","IGSF1"
"183","FARP1"
"184","C1R"
"185","STAT6"
"186","IFNWP19"
"187","GABBR1"
"188","USP20"
"189","CC2D1A"
"190","ST20"
"191","PARVB"
"192","RPS2"
"193","RNFT2"
"194","LINC01338"
"195","ZRSR2"
"196","DCLK2"
"197","HGFAC"
"198","SNX19"
"199","TET2"
"200","PAX2"
"201","HMGA1"
"202","MEGF6"
"203","INPP5J"
"204","COL4A5"
"205","KDM6B"
"206","CBLB"
"207","ZKSCAN1"
"208","CTC-301O7.4"
"209","BTF3"
"210","RP11-206P5.2"
"211","IFNE"
"212","RPL7A"
"213","PKP4"
"214","SLC26A9"
"215","ACP1"
"216","NR4A2"
"217","RPS25"
"218","MRPL15"
"219","HDAC7"
"220","GGA1"
"221","NISCH"
"222","FRMD4B"
"223","RPL10A"
"224","SPRY1"
"225","PHC1"
"226","UBE2Q2P1"
"227","PLS1"
"228","NEIL1"
"229","MAP3K12"
"230","MYBL1"
"231","RDH16"
"232","ZNF862"
"233","ZNF503"
"234","ICA1"
"235","B4GALNT4"
"236","GSAP"
"237","OSMR"
"238","GLRX3"
"239","NAMPT"
"240","HOXC4"
"241","WDR27"
"242","EPOR"
"243","OR2A1-AS1"
"244","SPRY2"
"245","GSTM2"
"246","VPS13C"
"247","VDAC3"
"248","ZNF75D"
"249","PTPRS"
"250","TRIM72"
"251","COL24A1"
"252","IMMT"
"253","PRELID3B"
"254","TMEM44"
"255","RPL35"
"256","RPS3A"
"257","CAP2"
"258","HOXC8"
"259","AC074212.6"
"260","SDHB"
"261","SH2D5"
"262","ATP6V1B1"
"263","ODF2L"
"264","ZNF473"
"265","CAPN5"
"266","PLPP5"
"267","SGK2"
"268","CLEC2D"
"269","ZNF133"
"270","NDRG4"
"271","ADAM22"
"272","PIGZ"
"273","ARAP1"
"274","CCDC124"
"275","RPL7P9"
"276","NSA2"
"277","WBP1"
"278","ZBTB21"
"279","SYTL5"
"280","NPEPL1"
"281","ADAM19"
"282","SMARCE1"
"283","SH3BP2"
"284","HDAC6"
"285","RPL15"
"286","MTMR9LP"
"287","RP11-285F7.2"
"288","CHCHD10"
"289","DENND6B"
"290","RNF146"
"291","VPRBP"
"292","RWDD1"
"293","LPAR6"
"294","SLC25A34"
"295","MAP3K14-AS1"
"296","TSC2"
"297","SRGAP2"
"298","ZBTB17"
"299","CCDC92"
"300","ANKRD6"
"301","RP11-4O1.2"
"302","SLC22A31"
"303","ZNF711"
"304","SNRPB"
"305","SH3BP5-AS1"
"306","MOV10"
"307","ZNF585B"
"308","HPX"
"309","RPS28P7"
"310","BDH2"
"311","ASIC3"
"312","NUP37"
"313","ZNF224"
"314","DBH-AS1"
"315","LAMB1"
"316","HOXA10"
"317","VDAC1"
"318","CEP162"
"319","AP1G2"
"320","NLGN3"
"321","TRIM45"
"322","CDH24"
"323","HLA-DMB"
"324","KLHL21"
"325","CD37"
"326","RPS23"
"327","RPL18A"
"328","LRRC75A-AS1"
"329","RASSF8-AS1"
"330","MXD4"
"331","AHNAK"
"332","ACP2"
"333","QRICH2"
"334","CTHRC1"
"335","SMO"
"336","DUSP7"
"337","MPI"
"338","RPL19"
"339","DZANK1"
"340","WDR6"
"341","AC019117.2"
"342","AASS"
"343","ITM2B"
"344","RPL23"
